Key,English [en-GB]
141_T,"For each hex you cannot push the target because of a wall or obstacle, the target suffers 2 damage and you gain <sprite name=XP1>."
142_B,The movement must end in a hex adjacent to an obstacle.
142_T_1,Destroy all obstacles within <nobr>Range <sprite name=Range> 2.</nobr>
142_T_2,where X is twice the number of hexes the destroyed obstacles occupied.
143_B,"At the start of your next five turns, perform a <nobr>""Heal <sprite name=Heal> 2,</nobr> <nobr>Range <sprite name=Range> 2"" action.</nobr>"
144_B,All allies and enemies adjacent to any hexes you enter during the movement suffer <nobr>2 damage.</nobr>
144_T,All allies and enemies adjacent to the target suffer damage equal to the damage the target suffered.
145_T,"You may push the targets into hexes containing obstacles. In each case, the obstacle is destroyed, the target suffers 2 damage, and you gain <sprite name=XP1>."
146_B_1,Force one enemy within <nobr>Range <sprite name=Range> 5 </nobr> to perform
146_B_2,targeting another enemy with you controlling the action.
146_T,Add +1 Attack <sprite name=Attack> for each negative condition on the target.
149_B,"If you end the movement in the same hex you started in, perform"
150_T,Summon Plague Rat
152_B,Force one enemy within <nobr>Range <sprite name=Range> 4 </nobr> to perform
154_T,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> for each negative condition on the target.
157_B,One ally within <nobr>Range <sprite name=Range> 3</nobr> <nobr>may perform</nobr>
157_T,One adjacent ally may perform
159_T,Summon Monstrous Rat
160_B,Force one normal or elite enemy within <nobr>Range <sprite name=Range> 3</nobr> to perform its turn this round as if its allies were enemies and its enemies were allies.
163_T,Gain one additional gold pile for each adjacent enemy
164_T_1,Kill one normal enemy within <nobr>Range <sprite name=Range> 4.</nobr>
164_T_2,Target all enemies adjacent to the killed enemy
165_B,"You may have two <nobr><color=#A7B3D2>Augments</color> <sprite name=Augment></nobr> active at once. If a third <nobr><color=#A7B3D2>Augment</color> <sprite name=Augment></nobr> is played, discard one of the others."
166_B,Force one enemy within <nobr>Range <sprite name=Range> 5 </nobr> to perform
170_B,All your ranged attacks gain the effects of your <nobr><color=#A7B3D2>Augments</color> <sprite name=Augment></nobr> this round. 
172_B,"Force one normal or elite enemy within <nobr>Range <sprite name=Range> 5</nobr> to perform its turn this round as if its allies were enemies and its enemies were allies, with you controlling the actions."
172_T,This attack gains the effects of your <nobr> <color=#A7B3D2>Augments</color> <sprite name=Augment> </nobr>.
173_B,"All allies within <nobr>Range <sprite name=Range> 2</nobr> add <nobr>+X Attack</nobr> to all their attacks this round, where X is the number of your allies within <nobr>Range <sprite name=Range> 2</nobr> of you."
173_T_1,Summon Rat King
173_T_2,X is half of <nobr>Rat King's</nobr> current health (rounded up).
175_T,"On the next five melee attacks targeting you, gain <nobr>Retaliate <sprite name=Retaliate> *TRetaliate*.</nobr>"
177_T,One adjacent ally may <nobr>Recover <sprite name=Recover></nobr> one of their burned cards.
178_T_1,One adjacent ally may <nobr>Recover <sprite name=Recover></nobr> two of their discarded cards.
178_T_2,"Up to three discarded cards instead, <sprite name=XP1>."
179_B,You and all adjacent allies suffer no damage this round.
184_B,Deduct -1 Move <sprite name=Move> from all your moves.
185_T,Heal all damage on one <nobr>adjacent ally.</nobr>
187_B,"<line-height=110%>At the end of your next five turns when <size=150%><voffset=-3><sprite name=Light></voffset></size> is not Strong, infuse <size=150%><voffset=-3><sprite name=Light></voffset></size>."
190_T,One adjacent ally may immediately perform one extra turn by playing two cards from their hand.
192_B,All allies within <nobr>Range <sprite name=Range> 5</nobr> <nobr>may perform</nobr>
194_B,All attacks targeting you or any ally within <nobr>Range <sprite name=Range> 4</nobr> of you gain Disadvantage this round.
196_T,Deduct <nobr>-1 Attack <sprite name=Attack></nobr> from all your attacks.
197_B,All allies add <nobr>+2 Move <sprite name=Move></nobr> to all their moves this round.
197_T,All allies add <nobr>+1 Attack <sprite name=Attack></nobr> to all their attacks this round.
199_T,"During any of your Attack actions, you may <sprite name=ConsumeLight> to add <nobr>+2 Attack <sprite name=Attack></nobr>, gain Advantage and <sprite name=XP1>."
200_B,"Up to two burned cards instead, <sprite name=XP1>"
202_T,"Kill one normal or elite enemy instead, <sprite name=XP1>"
203_T,"On your next four Attack actions, add <nobr>+3 Attack <sprite name=Attack></nobr>, <nobr>WOUND <sprite name=Wound></nobr>, and gain Advantage."
204_T,"When any ally suffers damage, you may suffer that damage reduced by 1 instead."
205_T,All allies within <nobr>Range <sprite name=Range> 2</nobr> <nobr>Refresh <sprite name=Refresh></nobr> one of their spent or consumed items.
206_B,<nobr>Refresh <sprite name=Refresh></nobr> all of your consumed <nobr>Small Items <sprite name=InvSmallItem></nobr>.
207_B,You and all allies within <nobr>Range <sprite name=Range> 2</nobr> add <nobr>+1 Attack <sprite name=Attack></nobr> to all your attacks this round.
208_T,"Once during each of your Attack actions, if you use an item, add <nobr>+1 Attack <sprite name=Attack></nobr> to the entire Attack action."
215_T,<nobr>Refresh <sprite name=Refresh></nobr> one of your consumed <nobr>Small Items <sprite name=InvSmallItem></nobr>.
216_T,One adjacent ally may <nobr>Refresh <sprite name=Refresh></nobr> all of their spent items.
217_B,<nobr>Recover <sprite name=Recover></nobr> up to two of your discarded cards.
217_T,You or one adjacent ally may <nobr>Refresh <sprite name=Refresh></nobr> one spent or consumed <nobr>One-Hand Item <sprite name=InvOneHand></nobr> or <nobr>Two-Hand Item <sprite name=InvTwoHands></nobr>.
219_B,<nobr>Recover <sprite name=Recover></nobr> up to two of your burned cards.
219_T,"At the end of each of your turns, you may discard a card to allow an adjacent ally to <nobr>Refresh <sprite name=Refresh></nobr> one of their consumed <nobr>Small Items <sprite name=InvSmallItem></nobr>."
221_T,One adjacent ally may <nobr>Refresh <sprite name=Refresh></nobr> all of their spent and consumed items.
223_T,"At the end of each round, <nobr>Refresh <sprite name=Refresh></nobr> one of your spent items."
224_T,You and all enemies with <nobr>Range <sprite name=Range> 4</nobr> suffer 2 damage.
225_B,You and all normal enemies within the targeted area suffer 7 damage.
226_T,"If any adjacent ally performs a ranged attack action, that ally gains <nobr>ADD TARGET<sprite name=Target></nobr> for the attack."
228_B,Any one ally may <nobr>Recover <sprite name=Recover></nobr> all of their discarded cards.
228_T,"Each time you long rest, <nobr>Refresh <sprite name=Refresh></nobr> one of your consumed items."
229_B,"During all your attacks this round, ignore the Shield values of all your targets."
230_T,"At the end of your next five turns, perform a ""<nobr>Heal <sprite name=Heal> 2</nobr>, Affect all adjacent allies"" action."
231_T,Kill one adjacent normal or elite enemy.
232_B,You and all adjacent allies may <nobr>Refresh <sprite name=Refresh></nobr> all of your consumed <nobr>Small Items <sprite name=InvSmallItem></nobr>.
235_B,All attacks targeting you and all summoned allies gain Disadvantage this round.
235_T,2 Shadow Wolves
236_B,Recover <sprite name=Recover> up to four of your <nobr>burned cards.</nobr>
238_T,One adjacent summoned ally performs
245_T,"On any of your Move actions, or the Move actions of any ally you have summoned, you may <sprite name=ConsumeEarth> to add <nobr>+2 Move <sprite name=Move> </nobr> and gain <sprite name=XP1>."
247_T,Kill all normal adjacent enemies whose current hit point value is less than or equal to 5.
250_T,Two summoned allies within <nobr>Range <sprite name=Range> 2</nobr> perform
253_T,3 Nail Spheres
257_B,"Remove all <nobr>CURSE <sprite name=Curse></nobr> cards from your attack modifier deck, then shuffle the attack modifier discard pile back into the deck."
257_T,"The next three times summoned allies would suffer damage, they suffer no damage instead."
258_B,Swap positions with any one summoned ally.
258_T,One summoned ally within <nobr>Range <sprite name=Range> 3</nobr> performs
260_B,All summoned allies within <nobr>Range <sprite name=Range> 3</nobr> perform
261_T,"During your next four Attack actions while <nobr>INVISIBLE <sprite name=Invisible></nobr>, perform ""<nobr>Attack <sprite name=Attack> 2</nobr>, <nobr>Range <sprite name=Range> 3</nobr>"" as the final part of the action."
263_B,"Double the value of all your <nobr>Attack <sprite name=Attack></nobr> abilities this turn, <sprite name=XP1>."
263_T,"Double the value of all your <nobr>Move <sprite name=Move></nobr> abilities this turn, <sprite name=XP1>."
266_T,"Kill one normal target instead, <sprite name=XP1>."
268_T,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> if you are <nobr>INVISIBLE <sprite name=Invisible></nobr>.
270_B,"During your next four Attack actions, perform ""<nobr>Move <sprite name=Move> 2</nobr>"" as the first part of the action."
271_B,Move to any unoccupied hex. You cannot move through a closed door.
274_T,Add <nobr>STUN <sprite name=Stun></nobr> and gain <sprite name=XP1> if you are <nobr>INVISIBLE <sprite name=Invisible></nobr>.
277_T,"<line-height=110%>At the end of your next three turns when <size=150%><voffset=-3><sprite name=Dark></voffset></size> is not Strong, infuse <size=150%><voffset=-3><sprite name=Dark></voffset></size>."
279_B,"During your next four Move actions while <nobr>INVISIBLE <sprite name=Invisible></nobr>, perform ""<nobr>Attack <sprite name=Attack> 2</nobr>, Target all adjacent enemies"" as the final part of the action."
283_T_1,Gain advantage on all of your attacks.
283_T_2,You can target <nobr>INVISIBLE <sprite name=Invisible></nobr> enemies.
286_T,"Add <nobr>POISON <sprite name=Poison></nobr>, <nobr>MUDDLE <sprite name=Muddle></nobr>, <nobr>WOUND <sprite name=Wound></nobr> and gain <sprite name=XP1> if you are <nobr>INVISIBLE <sprite name=Invisible></nobr>."
287_B,"Kill one adjacent normal enemy, <sprite name=XP1>."
287_T,"Kill all normal targets instead, <sprite name=XP2>."
288_T,"On your next five attacks while <nobr>INVISIBLE <sprite name=Invisible></nobr>, add <nobr>STUN <sprite name=Stun></nobr> to the attack."
289_T,<nobr>POISON <sprite name=Poison></nobr> all allies and enemies in the targeted area.
290_B,Deduct <nobr>-1 Range <sprite name=Range></nobr> from all your ranged attacks.
292_T,"Once during each of your Attack actions, you may <nobr>POISON <sprite name=Poison></nobr> one ally within <nobr>Range <sprite name=Range> 2</nobr> (or deal 3 damage if the ally already has <nobr>POISON <sprite name=Poison></nobr>) to add <nobr>+1 Attack <sprite name=Attack></nobr> to the entire Attack action."
298_T,"On your next six Attack actions while <nobr>Air <sprite name=Air></nobr> is currently infused, consume <nobr>Air <sprite name=ConsumeAir></nobr> to add <nobr>+1 Attack <sprite name=Attack></nobr> to the entire Attack action."
300_B,"After each of your Move actions, <nobr>POISON <sprite name=Poison></nobr> all adjacent allies and enemies."
301_T,Remove <nobr>POISON <sprite name=Poison></nobr> from any one enemy to cause it to suffer <nobr>3 damage</nobr>.
304_T,<nobr>POISON <sprite name=Poison></nobr> all allies adjacent to <nobr>the target.</nobr>
305_T,Kill one normal enemy with <nobr>POISON <sprite name=Poison></nobr> within <nobr>Range <sprite name=Range> 3.</nobr>
309_T,All enemies with <nobr>POISON <sprite name=Poison></nobr> suffer <nobr>1 damage.</nobr>
310_B,All allies with <nobr>POISON <sprite name=Poison></nobr> may <nobr>Recover <sprite name=Recover></nobr> up to two of their discarded cards.
310_T,"Once during each of your Move actions, you may suffer 1 damage to deal 3 damage to any one enemy with <nobr>POISON <sprite name=Poison></nobr>."
314_T,"If a <nobr>CURSE <sprite name=Curse></nobr> causes an enemy to deal no damage during its attack, that enemy suffers <nobr>3 damage.</nobr>"
316_B,Double the value of your next Attack action this round.
316_T,"During your next six Attack actions, <nobr>CURSE <sprite name=Curse></nobr> one ally within <nobr>Range <sprite name=Range> 2</nobr> to gain two <nobr>ADD TARGET <sprite name=Target></nobr> effects."
317_B,All enemies with <nobr>POISON <sprite name=Poison></nobr> suffer <nobr>2 damage.</nobr>
318_B_1,All allies with <nobr>POISON <sprite name=Poison></nobr> suffer <nobr>2 damage.</nobr>
318_B_2,"For each two allies damaged, add <nobr>+1 Attack <sprite name=Attack></nobr> to all your attacks this round and gain <sprite name=XP1>."
320_B,"If you have fewer hit points than half your maximum hit point value (rounded up), gain <sprite name=XP1> and perform"
321_T,You may suffer 2 damage to add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1>.
322_B,"On the next three sources of damage to you that would reduce you to less than 1 hit point, suffer <nobr>no damage instead.</nobr>"
322_T,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> if your current hit point value is less than half your maximum hit point value (rounded up).
324_B_1,Add <nobr>+1 Attack <sprite name=Attack></nobr> to all your attacks.
324_B_2,Suffer 1 damage at the start of each of your turns.
324_T,Suffer damage equal to half of your current hit point value (rounded up).
325_B,"The next four times you are healed, add <nobr>+2 Heal <sprite name=Heal></nobr>."
326_T,You may suffer 2 damage to add <nobr>STUN <sprite name=Stun></nobr> and gain <sprite name=XP1>.
329_B,"You may overheal to a maximum of 26 hit points, but your maximum hit point value remains the same for the purpose of all ability effects."
330_T,Reduce your current hit points to 1.<br>This is not considered damage.
331_B,You may suffer 2 damage to <nobr>STUN <sprite name=Stun></nobr> one adjacent enemy.
331_T,"You may suffer 2 damage to gain <nobr>Shield <sprite name=Shield> 1, <sprite name=XP1></nobr>."
332_B,All melee attacks targeting you add <nobr>+1 Attack <sprite name=Attack></nobr>.
332_T,You may suffer up to 3 damage.
333_B,Add <nobr>+2 Move <sprite name=Move></nobr> if you have fewer hit points than half of your maximum hit point value <nobr>(rounded up).</nobr>
334_T,Increase the value of each of your <nobr>Retaliate <sprite name=Retaliate></nobr> abilities by 2 this round.
335_T,Kill one adjacent normal enemy whose current hit point value is less than half the difference between your maximum hit point value and current hit point value.
336_T,You may suffer up to 4 damage.
337_B,Gain advantage on all of your attacks this round. All attacks targeting you gain Disadvantage this round.
337_B_1,Gain advantage on all of your attacks this round.
337_B_2,All attacks targeting you gain Disadvantage this round.
338_B,Add <nobr>+1 Attack <sprite name=Attack></nobr> to all your attacks when you have fewer hit points than half of your maximum hit point value <nobr>(rounded up).</nobr>
338_T,Gain <nobr>Shield <sprite name=Shield> 1</nobr> and <sprite name=XP1> if you have fewer hit points than half of your maximum hit point value <nobr>(rounded up).</nobr>
339_T,You immediately become exhausted.
341_B,"If you short rest during your next turn, gain all the benefits of a <nobr>long rest</nobr>."
341_T,You may suffer 2 damage to ignore the target's Shield value and gain <sprite name=XP1>.
343_B,You are immune to all negative conditions.
343_T,"<nobr>WOUND <sprite name=Wound></nobr> self and all adjacent allies to add <nobr>PUSH <sprite name=Push> 2,</nobr> <nobr>IMMOBILIZE <sprite name=Immobilize>.</nobr>"
345_B,"Add <nobr>+1 Attack <sprite name=Attack></nobr> to all your attacks this round, <sprite name=XP1>."
345_T,"On the next five sources of damage to you, perform an <nobr>""Attack <sprite name=Attack> 3""</nobr> action."
346_T,"On the next five sources of damage to you, suffer no damage instead."
347_B,You may suffer up to 5 damage.
347_T,"Perform a ""<nobr>Heal <sprite name=Heal> 2</nobr>, Self"" action for each enemy damaged."
348_T,All allies add +1 Attack <sprite name=Attack> to one of their attacks each turn.
349_B,"The next time any ally within <nobr>Range <sprite name=Range> 2</nobr> suffers damage this round, they suffer no damage instead."
350_T,All allies add <nobr>+1 Move <sprite name=Move></nobr> to all their Move actions and add <nobr>+1 Range <sprite name=Range></nobr> to all their ranged attacks.
352_B,One ally within <nobr>Range <sprite name=Range> 3</nobr> <nobr>may perform</nobr>
354_B,"Force all enemies in the targeted area to perform a <nobr>""Move <sprite name=Move> 1""</nobr> action with you controlling the actions."
357_T,All allies add <nobr>WOUND <sprite name=Wound></nobr> to all their attacks.
358_T,"The next five times you <nobr>CURSE <sprite name=Curse></nobr> an enemy, <nobr>CURSE <sprite name=Curse></nobr> them an additional time."
360_T,"All allies may perform a <nobr>""Heal <sprite name=Heal> 1, Self""</nobr> action at the beginning of each of their turns."
362_T,"All allies gain <nobr>Retaliate <sprite name=Retaliate>2,</nobr> <nobr>Retaliate Range <sprite name=Range> 2</nobr>."
364_T,All enemies gain Disadvantage on all their attacks.
365_T,Any one ally may perform
366_T_1,"You may have two <nobr><color=#EBB0AA>Songs</color> <sprite name=Song> </nobr>active at once, but you only gain experience from one."
366_T_2,"If a third <nobr><color=#EBB0AA>Song</color> <sprite name=Song></nobr> is played, discard one of the others."
367_T,"All allies may perform a <nobr>""Move <sprite name=Move> 1""</nobr> before any of their Attack actions."
368_T,"At the beginning of each of your turns, you may force one enemy within <nobr>Range <sprite name=Range> 5</nobr> to perform a <nobr>""Move <sprite name=Move> 2""</nobr> action with you controlling the action."
370_T,"At the beginning of each of your turns, <nobr>CURSE <sprite name=Curse></nobr> one enemy within <nobr>Range <sprite name=Range> 5</nobr>."
371_B,All allies within <nobr>Range <sprite name=Range> 3</nobr> <nobr>may perform</nobr>
372_T,"All allies may perform a <nobr>""Heal <sprite name=Heal> 2, Self""</nobr> action at the beginning of each of their turns."
373_B,"Force all enemies in the targeted area to perform a <nobr>""Move <sprite name=Move> 2""</nobr> action with you controlling the actions."
374_T,All allies add <nobr>+1 Attack <sprite name=Attack></nobr> to all their attacks.
375_B,Two allies within <nobr>Range <sprite name=Range> 3</nobr> <nobr>may perform</nobr>
375_T,"Force all enemies moved through to perform an <nobr>""Attack <sprite name=Attack> 3""</nobr> action targeting another enemy with you controlling the actions."
376_B,Add <nobr>+2 Attack <sprite name=Attack></nobr> to all your attacks targeting this enemy.
376_T,"The next four times a <nobr><b><color=#39BEED>Doomed</color> <sprite name=Doom></b></nobr> enemy dies, perform an “<nobr>Attack <sprite name=Attack> 2</nobr>, <nobr>Range <sprite name=Range> 5</nobr>” action."
377_B,"This enemy’s <nobr>Attack <sprite name=Attack></nobr>, <nobr>Move <sprite name=Move></nobr>, and <nobr>Range <sprite name=Range></nobr> are all reduced by 1."
377_T_1,Create one 4 damage <nobr>STUN <sprite name=Stun></nobr> trap in an adjacent empty hex.
377_T_2,Gain <sprite name=XP2> when the trap is sprung by an enemy.
378_B,"When this enemy dies, move to the hex in which it died."
379_B,"When this enemy dies, perform a “<nobr>Heal <sprite name=Heal> 4</nobr>, Self” action."
380_B,This enemy suffers 2 damage at the start of each of its turns.
381_B,All allies add <nobr>+1 Attack <sprite name=Attack></nobr> to all their attacks targeting this enemy.
382_B,"When this enemy dies, all enemies adjacent to the hex in which it died suffer 3 damage."
382_T_1,Create one 3 damage trap in an adjacent empty hex.
