Keys,"Солов'їна [ua-UA]"
085_B,"У наступних 3 випадках отримання шкоди від атак, націлених на вас, замість шкоди отримуйте властивість ""<nobr>Відповідний удар <sprite name=Retaliate> 3,</nobr> <nobr>далекість <sprite name=Range> 3. </nobr>"
086_B_1,"Виберіть клітинку в межах <nobr>далекості <sprite name=Range> 4.</nobr>"
086_B_2,"(цілі: всі вороги в межах <nobr>далекості <sprite name=Range> 4</nobr> від обраної клітини, до якої вони і притягуються)"
087_T_1,"(цілі: всі вороги в одній з вами кімнаті)"
087_T_2,"Усі союзники в одній із вами кімнаті отримують по 2 шкоди."
088_B,"Під час ваших наступних 4 атак, націлених на ворогів, що знаходяться на клітинах, які не є сусідами з жодним із їхніх союзників, додавайте <nobr>+2 <sprite name=Attack> до атаки.</nobr>"
088_T,"Додайте <nobr>+2 <sprite name=Attack>до атаки</nobr> і отримайте <sprite name=XP1>, якщо ЦІЛЬ перебуває на сусідній з <nobr>вашим союзником</nobr> клітині."
090_T,"Під час вашої наступної атаки в стані ""<nobr>НЕВИДИМІСТЬ <sprite name=Invisible></nobr>"", подвійте показник цієї атаки, <sprite name=XP2>."
091_T,"Додайте <nobr>+2 <sprite name=Attack></nobr> до атаки та отримайте <sprite name=XP1>, якщо ЦІЛЬ перебуває в клітці, що не є сусідньою з жодним із її союзників."
092_T,"Знешкодьте 1 пастку, що знаходиться на сусідній клітці."
097_B_1,"Примусьте одного ворога на сусідній клітині виконати під вашим управлінням дію"
097_B_2,"Воно має закінчитися на сусідній із вами клітці."
097_T_1,"Додайте <nobr>+1 <sprite name=Attack></nobr> до атаки за кожного вашого союзника на сусідній з ціллю клітині."
097_T_2,"замість цього додайте <nobr>+2 <sprite name=Attack> до атаки</nobr> за кожного вашого союзника на сусідній з ціллю клітині, <sprite name=XP1>."
098_B,"Коли наступного разу ви повинні будете отримати шкоду в цьому раунді, замість цього не отримуйте шкоди."
098_T,"Додайте +X <sprite name=Attack> до атаки, де Х - подвоєний показник властивості ""ЩИТ <sprite name=Shield>"" цілі."
099_B,"Виконуйте дію ""ЗДОБИЧ <sprite name=Loot>"" на кожній клітині, на яку ви пересунетеся цією дією."
100_T,"Додайте ефект ""РАНА <sprite name=Wound>"" і отримайте <sprite name=XP1>, якщо ЦІЛЬ перебуває на сусідній з вашим союзником клітині."
103_B,"У цьому раунді додавайте +2 <sprite name=Attack> до всіх ваших атак, націлених на ворогів, які перебувають на клітинах, що не є сусідами з жодним із їхніх союзників."
104_B,"У цьому раунді отримуйте Перевагу в усіх ваших атаках."
105_T_1,"Додайте <nobr>+3 <sprite name=Attack> до атаки </nobr> і отримайте <sprite name=XP1>, якщо ЦІЛЬ розташована на сусідній з одним із ваших <nobr>союзників</nobr> клітині."
105_T_2,"Додайте <nobr>+3 <sprite name=Attack> до атаки </nobr> і отримайте <sprite name=XP1>, якщо ЦІЛЬ перебуває на клітці, що не є сусідньою з жодним з її <nobr>її союзників.</nobr>"
106_B,"Під час ваших наступних шести атак, спрямованих на ворогів із <nobr>РОЗЗБРОЄННЯМ <sprite name=Disarm></nobr>, <nobr>ПАРАЛІЧЕМ <sprite name=Immobilize></nobr> або <nobr>ОГЛУШЕННЯМ <sprite name=Stun></nobr>, <nobr>додайте +2 Атаки <sprite name=Attack>.</nobr>"
107_T,"Убийте одного звичайного ворога, що перебуває на клітці, сусідній з вами і <nobr>вашим союзником,</nobr> але не сусідній з жодним із його союзників."
108_T,"Додавайте +2 <sprite name=Attack> до всіх ваших атак, націлених на ворогів у стані ""<nobr>ОТРУЄННЯ <sprite name=Poison>"".</nobr>"
110_T,"додайте +4 <sprite name=Attack> до атаки й отримайте <sprite name=XP2>, якщо ЦІЛЬ перебуває на сусідній із вашим союзником клітині."
111_B,"Під час вашої наступної атаки, націленої на ворога, що перебуває на клітці, сусідній з вашим союзником, але не сусідній з жодним з його союзників, подвійте показник цієї атаки. <sprite name=XP2>."
111_T,"Знешкодьте одну пастку, що перебуває на сусідній клітині. Виберіть як ЦІЛЬ одного ворога в межах <nobr>далекості <sprite name=Range> 3</nobr> і застосуйте до нього ефект <nobr>знешкодженої пастки.</nobr>."
113_B,"Убийте одного ворога, що перебуває на сусідній клітині, у якого поточна кількість ОЗ менша або дорівнює 3."
114_B,"Примусьте одного звичайного або елітного ворога на сусідній клітці зробити свій хід у цьому раунді під вашим управлінням, вважаючи всіх його союзників ворогами, а його ворогів - союзниками."
115_T,"Додавайте ефекти ""<nobr>ОТРУЄННЯ <sprite name=Poison></nobr>"" і ""<nobr>РАНА <sprite name=Wound></nobr>"" до всіх ваших атак."
116_B,"Для наступних 6 ближніх атак, націлених на вас, отримуйте властивість ""<nobr>Відповідний удар <sprite name=Retaliate> *BRetaliate*.</nobr>"
118_B,"Створіть на порожніх сусідніх із вами клітинах 2 перешкоди, кожна з яких складається з 1 клітини."
119_B,"Усі вороги і союзники на сусідніх клітинах отримують по *BDamage* шкоди."
120_T,"Усі вороги і союзники на сусідніх із ціллю клітинах отримують по 1 шкоду."
121_T,"Для ваших наступних 4 здібностей дальньої атаки отримуйте ефект ""ДОДАТИ ЦІЛЬ <sprite name=Target>""."
122_T,"Знищіть 1 перешкоду, що знаходиться на сусідній клітині."
123_B,"Усі союзники отримують <nobr>по *BShieldSubDamage* шкоду.</nobr>"
123_T_2,"Усі сусідні союзники отримують <nobr>*TDamage* шкоди.</nobr>"
124_B_1,"Усі вороги і союзники на сусідніх клітинах отримують <nobr>по *BDamage1* шкоди</nobr>."
124_B_2,"Усі вороги і союзники на сусідніх клітинах отримують <nobr>по *BDamage2* шкоди</nobr>."
124_B_3,"<nobr>замість цього вони отримують по 2 втрати, <sprite name=XP1></nobr>"
125_T,"Усі вороги і союзники в цільовій області отримують ефект ""<nobr>ЗМ'ЯТІННЯ <sprite name=Muddle></nobr>""."
127_B,"У цьому раунді додавайте +1 <sprite name=Attack> до всіх ваших дальніх атак."
127_T,"Ви можете відштовхувати ЦІЛЬ на клітини з перешкодами, які при цьому знищуються. За кожну знищену перешкоду ЦІЛЬ отримує 2 шкоди, а ви отримуєте <sprite name=XP1>."
128_B,"У цьому раунді додавайте +2 <sprite name=Attack> до всіх ваших ближніх атак."
129_B,"Під час наступних 6 здібностей дальньої атаки, за яких стихія <sprite name=Air> сильна або середня, використовуйте <sprite name=ConsumeAir>, щоб додати <nobr>+2 <sprite name=Range>до дальності.</nobr>"
130_T,"цілі: всі вороги на сусідніх зі знищеною перешкодою клітинах"
131_T,"на всіх союзників у цільовій області"
132_B,"Знищуйте всі перешкоди та знешкоджуйте всі пастки на клітинах, через які ви пересуваєтеся."
132_T_1,"Пересуньте 1 перешкоду, що знаходиться на сусідній клітині та складається з 1 клітини, на порожню клітину в межах <nobr>далекості <sprite name=Range> 4</nobr>."
132_T_2,"цілі: всі вороги на сусідніх із пересунутою перешкодою клітинах"
134_T_1,"Створіть 3 перешкоди, що складаються з 1 клітинки, на порожніх клітинах у межах <nobr>далекості <sprite name=Range> 4</nobr>."
134_T_2,"Усі вороги і союзники на клітинах, сусідніх хоча б з однією зі створених перешкод, отримують по 2 шкоди."
136_T_1,"Убийте одного звичайного ворога, що перебуває в межах <nobr>далекості <sprite name=Range> 4.</nobr>"
136_T_2,"Створіть на клітині, на якій було вбито цього ворога, 1 перешкоду, що складається з 1 клітини."
137_B,"Під час наступних ваших 4 ближніх атак, коли це можливо, знищуйте перешкоду на сусідній клітині, щоб додати <nobr>+3 <sprite name=Attack> до атаки</nobr>."
138_T,"Створіть 1 пошкоджувальну пастку (2 шкоди) з ефектом ""ОГЛУШЕННЯ <sprite name=Stun>"" на сусідній порожній клітині."
139_T,"Усі вороги і союзники в цільовій області отримують стан ""ПАРАЛІЧ <sprite name=Immobilize>""."
140_T_1,"Створіть 1 трикутну перешкоду, що складається з 3 клітин, на порожніх клітинах у межах <nobr>далекості <sprite name=Range> 3</nobr>."
140_T_2,"цілі: усі вороги на сусідніх із перешкодою клітинах"
141_B_1,"У цьому раунді додавайте +1 <sprite name=Attack> до всіх ваших дальніх атак."
141_B_1_Alt,"У цьому раунді додавайте +2 <sprite name=Attack> до всіх ваших дальніх атак."
141_B_2,"замість цього додавайте +2 <sprite name=Attack>, <sprite name=XP1>."
141_T,"За кожну клітину, через яку ви не можете відштовхнути ЦІЛЬ через стіну або перешкоду, ЦІЛЬ отримує 2 шкоди, а ви отримуєте <sprite name=XP1>."
142_B,"Цей РУХ має закінчитися на клітці, сусідній із перешкодою."
142_T_1,"Знищіть усі перешкоди в межах <nobr>далекості <sprite name=Range> 2.</nobr>."
142_T_2,"Тут Х - подвоєна кількість клітин, яку займали знищені перешкоди."
143_B,"На початку ваших наступних п’яти ходів виконайте дію <nobr>«ЛІКУВАННЯ <sprite name=Heal> 2,</nobr> <nobr>ДАЛЬНІСТЬ <sprite name=Range> 2».</nobr>"
144_B,"Усі вороги і союзники на клітинах, сусідніх з будь-якими клітинами, на які ви пересувалися під час цього руху, отримують по <nobr>2 шкоди</nobr>."
144_T,"Усі вороги і союзники на сусідніх з ціллю клітинах отримують шкоду, що дорівнює шкоді, яку отримала ЦІЛЬ."
145_T,"Ви можете відштовхувати ЦІЛЬ на клітини з перешкодами, які при цьому знищуються. За кожну знищену перешкоду ЦІЛЬ отримує 2 шкоди, а ви отримуєте <sprite name=XP1>."
146_B_1,"Примусьте одного ворога в межах <nobr>далекості <sprite name=Range> 5 </nobr> виконати дію"
146_B_2,"ціль: інший ворог у межах дальності цього ворога"
146_T,"Додайте +1 <sprite name=Attack> до атаки за кожен жетон негативного стану на цілі."
149_B,"Якщо завершили РУХ в початковій клітинці, виконайте"
150_T,"Прикликати Зграю щурів"
152_B,"Змусити одного ворога в межах <nobr>Дальності <sprite name=Range> 4</nobr> виконати"
154_T,"Додайте <nobr>+2 <sprite name=Attack> до атаки</nobr> і отримайте <sprite name=XP1> за кожен жетон негативного стану в цілі."
157_B,"Один союзник у межах <nobr>далекості <sprite name=Range> 3</nobr> може <nobr>виконати дію</nobr>."
157_T,"Один союзник на сусідній клітині може виконати дію"
159_T,"Прикликати Величезного щура"
160_B,"Примусьте одного звичайного або елітного ворога в межах <nobr>далекості <sprite name=Range> 3</nobr> зробити свій хід у цьому раунді, вважаючи всіх його союзників ворогами, а всіх його ворогів - союзниками."
163_T,"Отримати 1 додатковий жетон монет за кожного ворога, що знаходиться на сусідній клітині."
164_T_1,"Убийте одного звичайного ворога в межах <nobr>далекості <sprite name=Range> 4.</nobr>."
164_T_2,"цілі: всі вороги на сусідніх з убитим ворогом клітинах"
165_B,"У вас можуть бути одночасно 2 діючі здібності з атрибутом ""<nobr><color=#A7B3D2>Аугмент</color> <sprite name=Augment></nobr>"". Якщо ви застосуєте третю здатність з атрибутом <nobr><color=#A7B3D2>Аугмент</color> <sprite name=Augment></nobr>, скиньте одну з попередніх."
166_B,"Змусьте одного ворога в межах <nobr>Дальності <sprite name=Range> 5 </nobr> виконати"
170_B,"У цьому раунді всі ваші дальні атаки отримують ефекти ваших діючих здібностей з атрибутом ""<nobr><color=#A7B3D2>Аугмент</color> <sprite name=Augment></nobr>""."
172_B,"Примусьте одного звичайного або елітного ворога в межах <nobr>далекості <sprite name=Range> 5</nobr> здійснити свій хід у цьому раунді під вашим управлінням, вважаючи всіх його союзників ворогами, а всіх його ворогів - союзниками."
172_T,"Ця АТАКА отримує ефекти ваших діючих здібностей з атрибутом ""<nobr> <color=#A7B3D2>Аугмент</color> <sprite name=Augment>""</nobr>."
173_B,"У цьому раунді всі союзники в межах <nobr>дальностi <sprite name=Range> 2</nobr> додають <nobr>+X </nobr> до всіх своїх атак, де Х - кількість ваших союзників у межах <nobr>дальностi <sprite name=Range> 2</nobr> від вас."
173_T_1,"Покликати щурячого короля"
173_T_2,"Х - половина поточної кількості ОЗ <nobr>Щурячого короля</nobr> (з округленням угору)"
175_T,"Для наступних 5 ближніх атак, націлених на вас, отримуйте властивість <nobr>Відповідний удар <sprite name=Retaliate> *TRetaliate*.</nobr>"
177_T,"Один союзник на сусідній клітці може <nobr>Вернути на руку <sprite name=Recover></nobr> 1 карту зі своєї стопки ""Втрати""."
178_T_1,"Один союзник на сусідній клітці може <nobr>Вернути на руку <sprite name=Recover></nobr> не більш ніж 2 карти зі своєї стопки ""Скидання""."
178_T_2,"замість цього він може повернути на руку не більше 3 карт зі стопки ""Скидання"", <sprite name=XP1>."
179_B,"У цьому раунді ви разом з усіма союзниками на сусідніх клітинах не отримуєте шкоди для однієї атаки"
184_B,"Віднімайте 1 <sprite name=Move> з усіх ваших дій руху."
185_T,"Вилікуйте всю шкоду в одного союзника на сусідній клітині."
187_B,"<line-height=110%>У кінці ваших наступних 5 ходів, у яких стихія <size=150%><voffset=-3><sprite name=Light></voffset></size> не має сильного заряду, підвищуйте заряд <size=150%><voffset=-3><sprite name=Light></voffset></size>."
190_T,"Один союзник на сусідній клітці може негайно зробити один додатковий хід, розігравши 2 карти з руки."
192_B,"Усі союзники в межах <nobr>далекості <sprite name=Range> 5</nobr> можуть виконати дію"
194_B,"У цьому раунді всі атаки, націлені на вас або на будь-якого союзника в межах <nobr>далекості <sprite name=Range> 4</nobr> від вас, проводяться зі Скрутою."
196_T,"Віднімайте <nobr> 1 <sprite name=Attack></nobr> з усіх ваших атак."
197_B,"У цьому раунді всі союзники додають <nobr>+2 <sprite name=Move></nobr> до всіх своїх дій руху."
197_T,"У цьому раунді всі союзники додають <nobr>+1 <sprite name=Attack></nobr> до всіх своїх атак."
199_T,"Під час будь-якої вашої здатності атаки ви можете використовувати <sprite name=ConsumeLight>, щоб додати ефект <nobr>+2 <sprite name=Attack> до атаки </nobr>, Перевагу і отримати <sprite name=XP1>."
200_B,"замість цього він може повернути на руку <sprite name=Recover> не більше 2 карт зі своєї стопки ""Втрати"", <sprite name=XP1>"
202_T,"замість цього вбийте одну ЦІЛЬ цієї атаки, якщо це звичайний або потужний ворог, <sprite name=XP1>"
203_T,"Під час ваших наступних 4 здібностей атаки додавайте ефект <nobr>+3 <sprite name=Attack></nobr> до атаки, ""<nobr>РАНА <sprite name=Wound></nobr>"", і Перевага до всіх атак здатності."
204_T,"Коли будь-який союзник отримує шкоду, ви можете замість нього отримати цю шкоду, зменшену на 1."
205_T,"Усі союзники в межах <nobr> дальності <sprite name=Range> 2</nobr> <nobr>розгортають <sprite name=Refresh> 1</nobr> свою повернуту або витрачену карту предмета."
206_B,"<nobr>Розгорніть <sprite name=Refresh></nobr> усі ваші витрачені карти <nobr><sprite name=InvSmallItem></nobr>."
207_B,"Ви разом з усіма союзниками в межах дальності <nobr><sprite name=Range> 2</nobr> додаєте <nobr>+1 <sprite name=Attack></nobr> до всіх ваших атак у цьому раунді."
208_T,"Один раз за кожну вашу здатність атаки, якщо ви використовуєте предмет, додайте <nobr>+1 <sprite name=Attack></nobr> до всіх атак цієї здатності."
215_T,"<nobr>Розгорніть <sprite name=Refresh></nobr> вашу витрачену карту <nobr>малого предмета <sprite name=InvSmallItem></nobr>."
216_T,"Один союзник на сусідній клітині може <nobr>розгорнути <sprite name=Refresh></nobr> усі свої повернуті карти предметів."
217_B,"<nobr>Верніть на руку <sprite name=Recover></nobr> не більш ніж 2 карти з вашої стопки ""Скидання""."
217_T,"Ви або один союзник на сусідній клітині можете <nobr>розгорнути <sprite name=Refresh></nobr> свою розгорнуту або витрачену карту <nobr><sprite name=InvOneHand> або <sprite name=InvTwoHands></nobr>."
219_B,"<nobr>Верніть на руку <sprite name=Recover></nobr> не більш ніж 2 карти з вашої стопки ""Втрати""."
219_T,"Наприкінці кожного вашого ходу ви можете скинути 1 карту, щоб дозволити союзнику на сусідній клітині <nobr>розгорнути <sprite name=Refresh></nobr> 1 свою витрачену карту <sprite name=InvSmallItem>."
221_T,"Один союзник на сусідній клітці може <nobr>розгорнути <sprite name=Refresh></nobr> усі свої повернуті та витрачені карти предметів."
223_T,"Наприкінці кожного раунду <nobr>розгортайте <sprite name=Refresh></nobr> 1 вашу повернуту карту предмета."
224_T,"Ви разом з усіма ворогами <nobr> у межах дальності <sprite name=Range> 4</nobr> отримуєте по 2 втрати."
225_B,"Ви разом з усіма звичайними ворогами в цільовій області отримуєте по 7 шкоди."
226_T,"Якщо будь-який союзник поруч виконує дію дальньої атаки, цей союзник отримує <nobr>ДОДАТКОВУ ЦІЛЬ<sprite name=Target></nobr> для цієї атаки."
228_B,"Один будь-який союзник може <nobr>повернути на руку <sprite name=Recover></nobr> всі карти зі своєї стопки ""Скидання""."
228_T,"Щоразу, коли ви використовуєте довгий відпочинок <nobr>розгортайте <sprite name=Refresh></nobr> 1 вашу витрачену карту предмета."
229_B,"У цьому раунді під час усіх ваших атак ігноруйте показники властивостей <nobr>""ЩИТ <sprite name=Shield>""</nobr> всіх ваших цілей."
230_T,"Наприкінці ваших наступних 5 ходів виконуйте дію <nobr>""ЛІКУВАННЯ <sprite name=Heal> 2</nobr> (на всіх союзників на сусідніх клітинах)"
231_T,"Убийте одного звичайного або елітного ворога, що знаходиться на сусідній клітині."
232_B,"Ви разом з усіма союзниками на сусідніх клітинах можете <nobr>розгорнути <sprite name=Refresh></nobr> всі ваші витрачені карти <sprite name=InvSmallItem>."
235_B,"Усі атаки, спрямовані на вас і ваших прикликаних союзників, отримують Ускладнення цього раунду."
235_T,"2 тіньових вовків"
236_B,"Відновити <sprite name=Recover> до чотирьох ваших <nobr>Втрат.</nobr>"
238_T,"Один покликаний союзник на сусідній клітині виконує дію"
245_T,"Під час будь-якої вашої дії РУХ або дії РУХ будь-якого прикликаного вами союзника ви можете <sprite name=ConsumeEarth>, щоб додати <nobr>+2 РУХ <sprite name=Move></nobr> та отримати <sprite name=XP1>."
247_T,"Убийте всіх звичайних ворогів, які перебувають на сусідніх клітинах і у яких поточна кількість 03 менша або дорівнює 5."
250_T,"Один або два покликаних союзники в межах <nobr>далекості <sprite name=Range> 2</nobr> виконують під вашим управлінням дію"
253_T,"Прикликати 3 Колючі кулі"
257_B,"Приберіть усі карти з ефектом <nobr>""ПРОКЛЯТТЯ <sprite name=Curse>""</nobr> з вашої колоди модифікаторів атаки, а потім замішайте стопку скидання назад у цю колоду."
257_T,"У наступних 3 випадках отримання шкоди покликаними союзниками вони замість цього не отримують шкоди."
258_B,"Поміняйтеся місцями з будь-яким покликаним союзником."
258_T,"Один покликаний союзник у межах <nobr>далекості <sprite name=Range> 3</nobr> виконує під вашим управлінням дію"
260_B,"Усі покликані союзники в межах <nobr>далекості <sprite name=Range> 3</nobr> виконують під вашим управлінням дію"
261_T,"Як останню дію ваших наступних 4 здібностей атаки в стані <nobr>""НЕВИДИМІСТЬ <sprite name=Invisible>""</nobr> виконуйте дію <nobr>""АТАКА <sprite name=Attack> 2""</nobr>, <nobr>""ДАЛЬНІСТЬ <sprite name=Range> 3""</nobr>."
263_B,"до кінця цього ходу подвоюйте показники всіх ваших дій <nobr> ""АТАКА <sprite name=Attack>""</nobr>, <sprite name=XP1>."
263_T,"до кінця цього ходу подвоюйте показники всіх ваших дій <nobr> ""РУХ <sprite name=Move>""</nobr>, <sprite name=XP1>."
266_T,"замість цього вбийте одну ЦІЛЬ, якщо це звичайний ворог, <sprite name=XP1>."
268_T,"Додайте +2 <sprite name=Attack> до атаки й отримайте <sprite name=XP1>, якщо ви перебуваєте в стані <nobr>""НЕВИДИМІСТЬ <sprite name=Invisible>""</nobr>."
270_B,"В якості першої дії ваших наступних 4 здібностей атаки виконуйте дію <nobr>""РУХ <sprite name=Move> 2""</nobr>."
271_B,"пересуньтеся на будь-яку незайняту клітку (ви не можете пересуватися через зачинені двері)."
274_T,"Додайте ефект ""ОГЛУШЕННЯ <sprite name=Stun>"" і отримайте <sprite name=XP1>, якщо ви перебуваєте в стані <nobr>""НЕВИДИМІСТЬ <sprite name=Invisible>""</nobr>."
277_T,"<line-height=110%>У кінці наступних ваших 3 ходів, у яких стихія <size=150%><voffset=-3><sprite name=Dark></voffset></voffset></voffset></voffset></sprite> не має сильного заряду, підвищуйте заряд <size=150%><voffset=-3><sprite name=Dark></voffset></voffset></voffset></sprite>."
279_B,"В якості останньої дії ваших наступних 4 здібностей руху в стані <nobr>""НЕВИДИМІСТЬ <sprite name=Invisible>""</nobr> виконуйте дію <nobr>""АТАКА <sprite name=Attack> 2 (цілі: всі вороги на сусідніх клітинах)""</nobr>."
283_T_1,"Отримуйте перевагу в усіх ваших атаках."
283_T_2,"Вашими цілями можуть ставати вороги в стані <nobr>""НЕВИДИМІСТЬ <sprite name=Invisible>""</nobr>."
286_T,"Додайте ефекти <nobr>""ОТРУЄННЯ <sprite name=Poison>""</nobr>, <nobr>""ЗМ'ЯТТЯ <sprite name=Muddle>""</nobr>, <nobr>""РАНА <sprite name=Wound>""</nobr> й отримайте <sprite name=XP1>, якщо ви знаходитеся в стані <nobr>""НЕВИДИМОСТЬ <sprite name=Invisible>""</nobr>."
287_B,"убийте одного звичайного ворога на сусідній клітині, <sprite name=XP1>."
287_T,"замість цього вбийте всі цілі, які є звичайними ворогами, <sprite name=XP2>."
288_T,"Під час ваших наступних 5 атак у стані <nobr>""НЕВИДИМІСТЬ <sprite name=Invisible>""</nobr> додавайте ефект <nobr>""ОГЛУШЕННЯ <sprite name=Stun>""</nobr>."
289_T,"Усі вороги та союзники в цільовій області отримують стан <nobr>""ОТРУЄННЯ <sprite name=Poison>""</nobr>."
290_B,"<nobr>Відніміть 1 <sprite name=Range></nobr> з дальності всіх ваших дальніх атак."
292_T,"Раз за дію Атаки можете дати <nobr>ОТРУЄННЯ <sprite name=Poison></nobr> союзнику в межах <nobr>Дальності <sprite name=Range> 2</nobr> (або 3 шкоди, якщо вже має <nobr>ОТРУЄННЯ <sprite name=Poison></nobr>) для <nobr>+1 АТАКА <sprite name=Attack></nobr> до всієї дії."
298_T,"Під час ваших наступних 6 здібностей атаки, за яких <nobr>стихія <sprite name=Air></nobr> має сильний або середній заряд, ви можете використовувати <sprite name=ConsumeAir>, щоб додати <nobr>+1 <sprite name=Attack></nobr> до всіх атак здатності."
300_B,"Після застосування кожної вашої здатності руху застосовуйте ефект <nobr>""ОТРУЄННЯ <sprite name=Poison>""</nobr> до всіх ворогів і союзників на сусідніх клітинах."
