Keys,"Солов'їна [ua-UA]"
JOTL_082_T,"Для ваших наступних двох атак додайте <nobr>+2 до Атаки <sprite name=Attack></nobr>."
JOTL_082_B,"Подвойте значення вашого наступного <nobr>Руху.</nobr>"
JOTL_083_T,"Додайте <nobr>+2 до Атаки <sprite name=Attack></nobr> та отримайте <sprite name=XP1>, якщо ціль суміжна зі стіною."
JOTL_083_B,"Один сусідній ворог, який суміжний зі стіною, зазнає 2 шкоди."
JOTL_084_T,"Будь-яке Лікування, спрямоване на атаковану ціль, не діє в цьому раунді."
JOTL_084_B,"Зруйнуйте одну сусідню перешкоду. Якщо ви це зробите, отримайте <sprite name=XP1> та виконайте"
JOTL_085_T_1,"Зруйнуйте одну сусідню перешкоду. Якщо ви це зробите, отримайте <sprite name=XP2> та виконайте"
JOTL_085_T_2,"Ціль: усі вороги, суміжні зі зруйнованою перешкодою"
JOTL_085_T_3,"Кожна ціль зазнає 2 шкоди."
JOTL_086_B,"Зруйнуйте одну сусідню перешкоду, щоб створити дві одногексові перешкоди на порожніх гексах, суміжних із початковою перешкодою."
JOTL_088_B,"Якщо ви відчинили двері під час руху, виконайте"
JOTL_089_B,"Зруйнуйте одну сусідню перешкоду. Якщо ви це зробите, отримайте <sprite name=XP1> та виконайте"
JOTL_090_T,"Додайте <nobr>ПОШТОВХ <sprite name=Push> 2</nobr>, <nobr>ДЕЗОРІЄНТАЦІЮ <sprite name=Muddle></nobr> та отримайте <sprite name=XP1>, якщо ця атака спрямована на того самого ворога, що й попередня здібність Атаки."
JOTL_091_T,"Цей рух може завершитися в гексі з перешкодою. Якщо це так, отримайте <sprite name=XP1>, зруйнуйте перешкоду та виконайте"
JOTL_091_B,"Якщо ви суміжні зі стіною, створіть одну одногексову перешкоду на порожньому гексі, суміжному з вами."
JOTL_092_T,"Додайте <nobr>+3 до Атаки <sprite name=Attack></nobr> та отримайте <sprite name=XP1>, якщо ціль є об'єктом зі здоров'ям."
JOTL_092_B,"Додайте <nobr>+1 до Атаки <sprite name=Attack></nobr> до всіх ваших ближніх атак у цьому раунді."
JOTL_093_T,"Створіть одну пастку з 3 шкоди та <nobr>ДЕЗОРІЄНТАЦІЄЮ <sprite name=Muddle></nobr> на порожньому гексі в межах <nobr>Дальності <sprite name=Range> 3</nobr>."
JOTL_093_B_1,"Оберіть одного сусіднього ворога. Якщо кожен гекс руху наближав вас до цього ворога, виконайте"
JOTL_093_B_2,"проти цього ворога, де X — кількість пройдених вами гексів."
JOTL_094_B,"Складна місцевість не впливає на цей рух."
JOTL_095_T,"Для ваших наступних чотирьох атак, спрямованих на ворогів, суміжних зі стіною, додайте <nobr>+2 до Атаки <sprite name=Attack></nobr>."
JOTL_095_B_1,"Щоразу, коли ви заходите в гекс із перешкодою під час цього руху, руйнуйте цю перешкоду та додавайте <nobr>+1 до Руху <sprite name=Move></nobr>."
JOTL_095_B_2,"Усі вороги, через яких ви пройшли, зазнають 1 шкоди, <sprite name=XP1>."
JOTL_096_B,"Зруйнуйте одну сусідню перешкоду. Якщо ви це зробите, отримайте <sprite name=XP1>, і всі вороги, суміжні зі зруйнованою перешкодою, зазнають 2 шкоди."
JOTL_097_T,"Додайте +1 до Атаки за кожен гекс стіни, перешкоду, об'єкт зі здоров'ям, персонажа або пастку, суміжну з ціллю."
JOTL_097_B,"Перемістіть одногексову перешкоду, суміжну з вашим початковим гексом, на порожній гекс, суміжний з вами."
JOTL_098_T_1,"Зруйнуйте одну перешкоду в межах <nobr>Дальності <sprite name=Range> 4</nobr>. Якщо ви це зробите, виконайте"
JOTL_098_T_2,"Ціль: усі вороги, суміжні зі зруйнованою перешкодою"
JOTL_098_B,"Створіть три пастки з 3 шкоди на порожніх гексах у межах <nobr>Дальності <sprite name=Range> 4</nobr>."
JOTL_099_T,"Додайте <nobr>+2 до Атаки <sprite name=Attack></nobr>, <nobr>РАНУ <sprite name=Wound></nobr> та отримайте <sprite name=XP1>, якщо ціль суміжна зі стіною."
JOTL_101_T_1,"Ваше поточне та максимальне значення здоров'я збільшуються на 5."
JOTL_101_T_2,"Відновіть усі ваші скинуті карти."
JOTL_101_B_1,"Якщо ціль суміжна зі стіною, ви можете створити одну одногексову перешкоду на порожньому гексі, суміжному з ціллю."
JOTL_102_B,"Зруйнуйте одну сусідню перешкоду. Якщо ви це зробите, отримайте <sprite name=XP1> та виконайте"
JOTL_103_T,"Ігноруйте значення Щита цілі, додайте <nobr>ОТРУЄННЯ <sprite name=Poison></nobr> та отримайте <sprite name=XP1>, якщо ця атака спрямована на того самого ворога, що й дві попередні здібності Атаки."
JOTL_103_B,"Ви та всі союзники можете ігнорувати значення Щита обраного сусіднього ворога в цьому раунді."
JOTL_104_B,"Кожен об'єкт зі здоров'ям у межах <nobr>Дальності <sprite name=Range> 3</nobr> зазнає 3 шкоди."
JOTL_105_T,"Для ваших наступних трьох атак, спрямованих на ворогів, яких ви вже атакували раніше в цьому ж раунді, додайте <nobr>+3 до Атаки <sprite name=Attack></nobr>."
JOTL_105_B_1,"Додайте <nobr>ПАРАЛІЧ <sprite name=Immobilize></nobr> до всіх ваших атак у цьому раунді."
JOTL_105_B_2,"Також додайте <nobr>ДЕЗОРІЄНТАЦІЮ <sprite name=Muddle></nobr>, <sprite name=XP1>"
JOTL_107_T,"Зруйнуйте всі перешкоди в цільовій зоні. Усі союзники в цільовій зоні зазнають 2 шкоди."
JOTL_107_B,"Усі сусідні вороги, які суміжні зі стіною, зазнають 2 шкоди."
JOTL_108_T_1,"Зруйнуйте одну сусідню перешкоду або об'єкт зі здоров'ям. Якщо ви це зробите, отримайте <sprite name=XP1> та виконайте"
JOTL_108_T_2,"Ціль: усі вороги, суміжні зі зруйнованою перешкодою або об'єктом"
JOTL_108_B,"Зруйнуйте одну сусідню перешкоду. Якщо ви це зробите, отримайте <sprite name=XP1>, і всі вороги в тій самій кімнаті, що й зруйнована перешкода, зазнають 2 шкоди."
JOTL_109_B,"Ви можете виконати будь-яку здібність руйнування перешкод так, ніби один порожній гекс у межах дальності цієї здібності містить перешкоду."
JOTL_151_T_1,"Один союзник у межах <nobr>Дальності <sprite name=Range> 3</nobr> може виконати"
JOTL_151_T_2,"Цей самий союзник може виконати"
JOTL_151_B,"На початку ваших наступних п'яти ходів виконайте дію «<nobr>ПРОКЛЯТТЯ <sprite name=Curse></nobr>, <nobr>Дальність <sprite name=Range> 2</nobr>»."
JOTL_152_T,"Усі союзники, які позбуваються <nobr>ОТРУЄННЯ <sprite name=Poison></nobr> завдяки цьому лікуванню, отримують <nobr>БЛАГОСЛОВЕННЯ <sprite name=Bless></nobr>."
JOTL_152_B,"Змусьте всіх ворогів у межах <nobr>Дальності <sprite name=Range> 3</nobr> виконати"
JOTL_153_T_1,"Один сусідній союзник може виконати"
JOTL_153_T_2,"спрямовану на ціль <nobr>ОТРУЄННЯ <sprite name=Poison></nobr>. Якщо так, цей союзник зазнає 2 шкоди."
JOTL_154_B,"Один союзник у межах <nobr>Дальності <sprite name=Range> 3</nobr> може виконати"
JOTL_155_B,"Натомість ігноруйте <nobr>ПРОКЛЯТТЯ <sprite name=Curse></nobr>."
JOTL_156_T,"Один союзник у межах <nobr>Дальності <sprite name=Range> 2</nobr> може виконати"
JOTL_157_B_1,"Змусьте одного ворога в межах <nobr>Дальності <sprite name=Range> 3</nobr> виконати"
JOTL_157_B_2,"спрямовану на ворога за вашим вибором. Ворог, який діє, зазнає шкоди, що дорівнює шкоді, завданій цілі."
JOTL_158_T,"Змусьте ціль виконати"
JOTL_158_B_1,"Один союзник у межах <nobr>Дальності <sprite name=Range> 3</nobr> може виконати"
JOTL_158_B_2,"Якщо він це робить, отримайте <sprite name=XP1>, а цей союзник зазнає 2 шкоди."
JOTL_160_T,"Перша атака, виконана в кожній вашій дії, що надає атаку, отримує Перевагу, а ціль може спожити будь-який <nobr>елемент <sprite name=ConsumeAny></nobr>, щоб додати до неї <nobr>+1 до Атаки <sprite name=Attack></nobr>. Крім того, коли ви надаєте атаки монстрам, вони використовують вашу колоду модифікаторів атаки."
JOTL_161_T_1,"Змусьте одного ворога в межах <nobr>Дальності <sprite name=Range> 4</nobr> виконати"
JOTL_161_T_2,"спрямовану на суміжного з ним ворога за вашим вибором."
JOTL_161_T_3,"<nobr>ОГЛУШІТЬ <sprite name=Stun></nobr> ворога, який діє."
JOTL_162_T_1,"Змусьте всіх ворогів у межах <nobr>Дальності <sprite name=Range> 3</nobr> виконати"
JOTL_162_T_2,"спрямовані на суміжних із ними ворогів за вашим вибором."
JOTL_163_B,"Усі сусідні союзники зазнають 1 шкоди."
JOTL_164_T,"У наступні три рази, коли союзник атакує ворога з <nobr>ОТРУЄННЯМ <sprite name=Poison></nobr>, цей союзник може виконати дію «<nobr>Лікування <sprite name=Heal> 1</nobr>, на себе»."
JOTL_165_T_1,"Ціль: ви самі або один союзник у межах <nobr>Дальності <sprite name=Range> 2</nobr>"
JOTL_165_T_2,"Ціль: інший союзник у межах <nobr>Дальності <sprite name=Range> 3</nobr>"
JOTL_166_T,"Один союзник у межах <nobr>Дальності <sprite name=Range> 3</nobr> може виконати"
JOTL_167_T,"Замішайте одну карту <nobr>БЛАГОСЛОВЕННЯ <sprite name=Bless></nobr> до колоди модифікаторів атаки монстрів."
JOTL_167_B_1,"Наступного разу, коли ви надасте атаку в цьому ходу, додайте <nobr>+1 до Атаки <sprite name=Attack></nobr> до всієї дії Атаки."
JOTL_167_B_2,"Натомість додайте <nobr>+2 до Атаки <sprite name=Attack></nobr>."
JOTL_167_B_3,"Усі атаки, спрямовані на вас, додають <nobr>+2 до Атаки <sprite name=Attack></nobr> в цьому раунді. Цю карту не можна скинути до кінця раунду."
JOTL_168_T,"На початку ваших наступних п'яти ходів один союзник у межах <nobr>Дальності <sprite name=Range> 3</nobr> може виконати дію «<nobr>+2 до Атаки <sprite name=Attack></nobr>»."
JOTL_168_B_1,"Натомість ігноруйте <nobr>ПРОКЛЯТТЯ <sprite name=Curse></nobr>."
JOTL_168_B_2,"Один союзник у межах <nobr>Дальності <sprite name=Range> 3</nobr> може виконати"
JOTL_169_T_1,"Змусьте одного ворога в межах <nobr>Дальності <sprite name=Range> 3</nobr> виконати"
JOTL_169_T_2,"спрямовану на всіх інших суміжних із ним ворогів. Ворог, який діє, зазнає 1 шкоди за кожну обрану ціль."
JOTL_170_B_1,"Змусьте одного сусіднього ворога виконати"
JOTL_170_B_2,"під вашим контролем. Цей ворог отримує <nobr>ПАРАЛІЧ <sprite name=Immobilize></nobr>."
JOTL_172_T,"Розмістіть Оберіг на сусідньому порожньому гексі. Він вважається прикликаною істотою для всіх цілей. Усі вороги, які заходять на гекс, суміжний з Оберегом, отримують <nobr>ОТРУЄННЯ <sprite name=Poison></nobr>. Усі вороги отримують Ускладнення на всі свої атаки, не надані вами, перебуваючи в межах <nobr>Дальності <sprite name=Range> 3</nobr> від Оберега."
JOTL_172_B_1,"Один союзник або ворог у межах <nobr>Дальності <sprite name=Range> 3</nobr> може виконати"
JOTL_172_B_2,"спрямовану на ворога за вашим вибором."
JOTL_173_T,"До двох союзників у межах <nobr>Дальності <sprite name=Range> 2</nobr> зазнають по 2 шкоди кожен. Кожен союзник, який зазнав шкоди, після цього виконує"
JOTL_173_B,"Натомість ігноруйте <nobr>ПРОКЛЯТТЯ <sprite name=Curse></nobr>."
JOTL_174_T,"Повністю вилікуйте всю шкоду одного союзника в межах <nobr>Дальності <sprite name=Range> 3</nobr>. Якщо ви це зробите, цей союзник отримає <nobr>ДЕЗОРІЄНТАЦІЮ <sprite name=Muddle></nobr>."
JOTL_174_B,"Щоразу, коли ви або будь-який союзник втрачаєте <nobr>ОТРУЄННЯ <sprite name=Poison></nobr>, ця фігура отримує <nobr>ПОСИЛЕННЯ <sprite name=Strengthen></nobr>."
JOTL_175_B,"Змусьте одного ворога в межах <nobr>Дальності <sprite name=Range> 3</nobr> виконати"
JOTL_176_T_1,"Один союзник у межах <nobr>Дальності <sprite name=Range> 2</nobr> може виконати"
JOTL_176_T_2,"Якщо він це робить, цей союзник може виконати"
JOTL_176_T_3,"де X — кількість шкоди, якої зазнала ціль атаки."
JOTL_177_T,"Якщо будь-яка з цілей зазнає шкоди в цьому раунді або цей активний ефект буде скасовано до кінця раунду, обидві цілі втрачають <nobr>ОГЛУШЕННЯ <sprite name=Stun></nobr>."
JOTL_177_B,"Ви та всі союзники в межах <nobr>Дальності <sprite name=Range> 2</nobr> можете виконати"
JOTL_178_T,"Для ваших наступних трьох здібностей Лікування, коли це можливо, обирайте ціллю додаткового союзника."
JOTL_179_T_1,"Змусьте всіх інших ворогів у межах <nobr>Дальності <sprite name=Range> 3</nobr> від цілі виконати"
JOTL_179_T_2,"спрямовану на ціль здібності Отруєння."
JOTL_179_B,"Усі союзники та вороги в межах <nobr>Дальності <sprite name=Range> 3</nobr> зазнають 1 шкоди."
JOTL_180_B_1,"Один союзник у межах <nobr>Дальності <sprite name=Range> 3</nobr> може виконати"
JOTL_180_B_2,"Якщо він це робить, отримайте <sprite name=XP1>, а цей союзник отримує <nobr>ОТРУЄННЯ <sprite name=Poison></nobr>."
JOTL_225_B,"Усі атаки, спрямовані на вас, отримують Ускладнення в цьому раунді."
JOTL_227_B,"Усі сусідні вороги зазнають 1 шкоди."
JOTL_230_T,"У наступні п'ять разів, коли ворог заходить на сусідній з вами гекс, цей ворог зазнає 2 шкоди."
JOTL_233_T,"Ціль: один ворог у межах 2 гексів"
JOTL_225_B,"Усі атаки, спрямовані на вас, отримують Ускладнення в цьому раунді."
JOTL_226_T,"Щоразу після того, як сусідній ворог атакує вас, цей ворог зазнає шкоди, що дорівнює вашому значенню Щита."
JOTL_227_B,"Усі сусідні вороги зазнають 1 шкоди."
JOTL_230_T,"У наступні п'ять разів, коли ворог заходить на сусідній з вами гекс, цей ворог зазнає 2 шкоди."
JOTL_233_T,"Ціль: один ворог у межах 2 гексів"
JOTL_235_B_1,"Усі вороги, через яких здійснено рух, зазнають 1 шкоди."
JOTL_235_B_2,"натомість 2 шкоди, <sprite name=XP1>"
JOTL_236_T,"Додайте <nobr>+3 до Атаки <sprite name=Attack></nobr>, якщо ціль має негативний стан."
JOTL_237_B,"<nobr>Здобудьте <sprite name=Loot></nobr> кожен гекс, на який ви заходите під час цього руху."
JOTL_238_T,"Усі сусідні вороги зазнають 1 шкоди."
JOTL_240_T_1,"Щоразу, коли ціль атакують у цьому раунді, вона зазнає 1 шкоди."
JOTL_240_T_2,"натомість 2 шкоди, <sprite name=XP1>"
JOTL_240_T_3,"Якщо Вогонь був спожитий, натомість завдає 2 Шкоди."
JOTL_241_T,"Усі суміжні з ціллю вороги зазнають 1 Шкоди."
JOTL_242_T,"Ціль: усі вороги в межах 2 гексів"
JOTL_244_T,"Помістіть Піщаного Диявола в суміжний порожній гекс. Він вважається пасткою для фокусування та руху монстрів. На початку кожного свого ходу ви можете перемістити його на відстань до 2 гексів і можете змусити будь-якого персонажа на ньому рухатися разом із ним. Кожного разу, коли персонаж стає на нього або навпаки (але не під час спільного руху), цей персонаж зазнає 1 Шкоди й отримує <nobr>ДЕЗОРІЄНТАЦІЮ <sprite name=Muddle></nobr>."
JOTL_245_T,"Наступні чотири рази, коли ворог входить у суміжний із вами гекс, він отримує <nobr>РОЗЗБРОЄННЯ <sprite name=Disarm></nobr>."
JOTL_245_B,"Усі суміжні вороги зазнають 2 Шкоди."
JOTL_247_T_1,"Один суміжний союзник може виконати дію ""<nobr>Атака <sprite name=Attack> 3</nobr>"", <sprite name=XP1>."
JOTL_247_T_2,"Інший суміжний союзник може виконати дію ""<nobr>Атака <sprite name=Attack> 3</nobr>"", <sprite name=XP1>."
JOTL_247_B,"Один суміжний ворог зазнає 1 Шкоди."
JOTL_250_T,"Кожного разу, коли вас атакують у цьому раунді, отримуйте <nobr>Щит <sprite name=Shield> X</nobr> на час цієї атаки, де X — це кількість ворогів, суміжних із вами на момент атаки, але не більше 3."
JOTL_250_B,"Наступні п'ять разів, коли ворог входить у суміжний із вами гекс, виконайте дію ""<nobr>Лікування <sprite name=Heal> 3</nobr>, на себе""."
JOTL_252_T,"<nobr>+1 до Атаки <sprite name=Attack></nobr>, <nobr>+2 до Дальності <sprite name=Range></nobr>, усі суміжні з ціллю вороги зазнають 1 Шкоди"
JOTL_252_B,"Усі суміжні вороги зазнають 3 Шкоди."
JOTL_379,"Створіть одну пастку з 3 Шкоди в суміжному порожньому гексі, найближчому до ворога."
JOTL_387,"<b><size=130%>Лікування <sprite name=Heal> X</size></b><br><br>Себе<br><br>де X — це Шкода, якої зазнала ціль атаки"
JOTL_417,"Усі вороги, суміжні з ціллю Атаки, зазнають 1 Шкоди."
JOTL_422,"Якщо атака виконана, Кривочуд зазнає 1 Шкоди."
JOTL_423,"Додайте <nobr>+1 до Атаки <sprite name=Attack></nobr>, якщо ціль суміжна з будь-яким із союзників Кривочуда."
JOTL_426,"Завдає Відплати на будь-якій Дальності"
JOTL_427,"Кривочуд зазнає 1 Шкоди."
JOTL_434,"Найближчий ворог, незалежно від Дальності, зазнає {0} Шкоди."
Boss_FirstOfTheOrder_Special1,"Усі вороги в межах <nobr>Дальності <sprite name=Range> 2</nobr> зазнають 2 Шкоди."
Boss_FirstOfTheOrder_Special2,"<b><size=130%><nobr>Атака <sprite name=Attack> {0}</nobr></b></size><br><br>Потім <nobr>Атака <sprite name=Attack> {1}</nobr> у межах <nobr>Дальності <sprite name=Range> 2</nobr> від першої цілі, потім <nobr>Атака <sprite name=Attack> {2}</nobr> у межах <nobr>Дальності <sprite name=Range> 2</nobr> від другої цілі"
Boss_BloodHorror_Special1,"Воскресіть усіх мертвих Фанатиків у кімнаті"
Boss_BloodHorror_Special2,"Стрибніть до найвіддаленішого мертвого Фанатика та воскресіть його як Труп, що ожив, інакше Стрибніть до найвіддаленішого персонажа та виконайте Атаку +0"
Monstrosity_OnDeath,"Після смерті всі суміжні персонажі зазнають {0} Шкоди."
ABILITY_CARD_SignsOfTheVoid,"Знаки Порожнечі"
ABILITY_CARD_CloseToTheAbyss,"Близько до Безодні"
ABILITY_CARD_GiftOfTheVoid,"Дарунок Пустки"
ABILITY_CARD_BlackBoon,"Чорний Дар"
ABILITY_CARD_FreezeTheSoul,"Заморозити Душу"
ABILITY_CARD_WickedScratch,"Зловісна Подряпина"
ABILITY_CARD_TurnOutTheLights,"Вимкнути Світло"
ABILITY_CARD_LureOfTheVoid,"Принада Пустки"
ABILITY_CARD_GraspOfDoom,"Хватка Приречення"
ABILITY_CARD_MasterInfluence,"Майстерний Вплив"
ABILITY_CARD_Suggestion,"Навіювання"
ABILITY_CARD_ResignedFrenzy,"Покірна Шаленість"
ABILITY_CARD_ColdEmbrace,"Холодні Обійми"
ABILITY_CARD_SapWarmth,"Поглинання Тепла"
ABILITY_CARD_GiveAndTake,"Взаємообмін"
ABILITY_CARD_CrushingCold,"Нищівний Холод"
ABILITY_CARD_TauntingFate,"Кпини Долі"
ABILITY_CARD_CommandingPresence,"Велична Постава"
ABILITY_CARD_SavageInstinct,"Дикий Інстинкт"
ABILITY_CARD_TheLastJourney,"Остання Подорож"
ABILITY_CARD_StandFast,"Триматися Стійко"
ABILITY_CARD_WitheringConviction,"В'януче Переконання"
ABILITY_CARD_SurgeOfPower,"Приплив Сили"
ABILITY_CARD_HatefulBlast,"Гнівний Вибух"
ABILITY_CARD_SpiritHunger,"Голод Духу"
ABILITY_CARD_LullIntoOblivion,"Заколисати в Забуття"
ABILITY_CARD_EmpoweredLink,"Посилений Зв'язок"
ABILITY_CARD_EyeOfTheVoid,"Око Пустки"
ABILITY_CARD_PossessedByFate,"Одержимий Долею"
ABILITY_CARD_SwiftStrength,"Стрімка Сила"
ABILITY_CARD_HealingSands,"Цілющі Піски"
ABILITY_CARD_ShieldSpikes,"Шипи на Щиті"
ABILITY_CARD_FlamingSickle,"Вогняний Серп"
ABILITY_CARD_BlindingSickle,"Сліпучий Серп"
ABILITY_CARD_TwirlingStabs,"Вихор Ударів"
ABILITY_CARD_FlameShroud,"Вогняний Саван"
ABILITY_CARD_ShockingAdvance,"Приголомшливий Наступ"
ABILITY_CARD_ShieldOfTheDesert,"Щит Пустелі"
ABILITY_CARD_DesertNight,"Пустельна Ніч"
ABILITY_CARD_WarriorOfTheSun,"Воїн Сонця"
ABILITY_CARD_BladeDance,"Танець Клинків"
ABILITY_CARD_PrecisionStrike,"Точний Удар"
ABILITY_CARD_HarvestSickle,"Серп Жнив"
ABILITY_CARD_BarbaricInstincts,"Варварські Інстинкти"
ABILITY_CARD_WarmthOfTheSun,"Тепло Сонця"
ABILITY_CARD_StranglingChain,"Душильний Ланцюг"
ABILITY_CARD_RadiantSickle,"Сяючий Серп"
ABILITY_CARD_BurnAwayTheDark,"Спалити Темряву"
ABILITY_CARD_SandDevil,"Піщаний Диявол"
ABILITY_CARD_FierceBrilliance,"Сліпуче Сяйво"
ABILITY_CARD_FlyingSickle,"Летючий Серп"
ABILITY_CARD_ViciousBallet,"Нещадний Балет"
ABILITY_CARD_HornsOfTheBeast,"Роги Звіра"
ABILITY_CARD_PrismaticSickle,"Призматичний Серп"
ABILITY_CARD_NoFear,"Безстрашність"
ABILITY_CARD_SoaringShield,"Ширяючий Щит"
ABILITY_CARD_HonorableFury,"Почесна Лють"
ABILITY_CARD_TheFavorite,"Фаворит"
ABILITY_CARD_Retrieval,"Повернення"
ABILITY_CARD_CloseCuts,"Глибокі Порізи"
ABILITY_CARD_CenterMass,"Центр Маси"
ABILITY_CARD_StoppingPower,"Зупиняюча Сила"
ABILITY_CARD_DoubleThrow,"Подвійний Кидок"
ABILITY_CARD_DisorientingBarrage,"Дезорієнтуючий Обстріл"
