Keys,"Українська [ua-UA]"
LOADING_TIP_047,"Ви можете бачити на екрані всі карти для кожного з персонажів, натискаючи клавіші 1-4."
LOADING_TIP_048,"Якщо неагресивний персонаж намагається переміститися в будь-яке місце, але маршрут заблокований - цей персонаж не рухатиметься."
LOADING_TIP_049,"Вам вирішувати, чи мати у вашій групі 2, 3 або 4 найманці - складність сценарію залежатиме від їхнього числа."
LOADING_TIP_050,"Вибори, зроблені під час дорожніх і міських подій, можуть впливати на світ, даючи нові завдання і події."
LOADING_TIP_051,"Ви можете використовувати Ctrl+Ліва кнопка миші для пінгу клітини в багатокористувацькій грі."
LOADING_TIP_052,"Ви не зможете забрати предмети за завданнями, здобуті з інкрустованих скринь, якщо провалите сценарій."
LOADING_TIP_053,"Заклик може бути викликаний тільки на порожні клітини - пастки, важкопрохідна місцевість і навіть золото блокують заклик!"
LOCKED_DOOR_TOOLTIP,"Зачинені двері"
LabyrinthofChaos,"Лабіринт Хаосу"
LavaGolem,"Лавовий Голем"
LingeringSwamp,"Вічнотопке болото"
LivingBomb,"Жива бомба"
LivingBones,"Ожилі кістки"
LivingBonesElite,"Ожилі кістки (Елітний)"
LivingCorpse,"Труп, що ожив"
LivingCorpseElite,"Ожилий труп (Елітний)"
LivingSpirit,"Ожилий Дух"
LivingSpiritElite,"Ожилий Дух (Елітний)"
LoggingCamp,"Табір лісорубів"
LoggingCamp_DESCR,"Цей табір був нещодавно покинутий після кількох набігів Іноксів з довколишнього лісу. Про це свідчить наспіх розчищене поле на півдні, де із землі стирчить велика кількість дерев'яних хрестів."
LongRest_Burn,"Спаліть <sprite name=Lost> 1 скинуту <br>карту для відновлення всіх інших скинутих карт."
LongRest_Footer,"Вибравши Довгий відпочинок, ви не зможете вибрати іншу карту для цього раунду."
LongRest_Heal,"<size=130%><b>лікування <sprite name=Heal> 2</b></size><br>на себе"
LongRest_Refresh,"Розгорніть <sprite name=Refresh> усі ваші використані <nobr>карти предметів.</nobr>"
Loot,"Здобич"
LostCatacombs,"Загублені катакомби"
LostCrypt,"Загублений склеп"
Lowtown,"Нижнє місто"
Lowtown_DESCR,"У Нижньому місті живуть нащадки біженців великої війни. Деяким вдалося знайти спосіб заробляти на життя, багатьом - ні. Життя тут не цінується, як і деякі товари у крамницях, але не сподівайтеся знайти тут сильні магічні артефакти."
Lurker,"Скритень"
LurkerElite,"Скритень (Елітний)"
LurkerKing,"Король Потайний"
MINDERER,"Міндерер"
ManaSphere,"Сфера мани"
MarcellusSC-Regular SDF,"MarcellusSC-Regular"
MedPack,"Цю карту не можна втратити, щоб уникнути збитків. Коли ця карта буде скинута з будь-якої причини, поверніть її в запас Костоправа."
Medium,"Середній"
MeleDPS,"Боєць ближнього бою"
MeleSupport,"Підтримка ближнього бою"
MeleTank,"Танк ближнього бою"
MerchantDialogName,"Торговець"
MercilessOverseer,"Жорстокий наглядач"
Message_Complete_Achievement_1_1_BeastTyrantReachLevel2_1,"Володар Звірів прийшов з'явився з інформацією, що Гниль поширюється землею."
Message_Complete_Achievement_1_1_BeastTyrantReachLevel2_2,"Він вміє спілкуватися з малими спільнотами диких звірів і запропонував нам свою допомогу."
Message_Complete_Achievement_1_1_BeastTyrantReachLevel2_3,"Це було дуже мило з його боку!"
Message_Complete_Achievement_1_1_BeastTyrantReachLevel2_4,"У відповідь вони допоможуть нам проти Гнилі, що починається біля Солодководдя."
Message_Complete_Achievement_1_1_BerserkerReachLevel2_1,"Ми отримали звістку, що Наглядач повернувся в Похмуру Гавань."
Message_Complete_Achievement_1_1_BerserkerReachLevel2_2,"Він небезпечний і в нього є зв'язки з кланом Берсерків, тож я дозволяю їй вести розслідування. Ви маєте знайти його і знищити."
Message_Complete_Achievement_1_1_BruteReachLevel2_1,"Старий друг зв'язався з Дикуном з приводу місії охорони каравану, в якій йому потрібна допомога, йди і перевір її."
Message_Complete_Achievement_1_1_CragheartReachLevel2_1,"Настав час для Пустотілого почати своє паломництво до святих місць Саввас у цьому краю, Храм Вітрів можна знайти тут."
Message_Complete_Achievement_1_1_DoomstalkerReachLevel2_1,"Прирікач чув, на його жаль, що його поселення за межами Південного Щита було атаковано під час нашої останньої місії. Він хотів би знайти винних."
Message_Complete_Achievement_1_1_DoomstalkerReachLevel2_2,"Невже Міська варта не впорається?"
Message_Complete_Achievement_1_1_DoomstalkerReachLevel2_3,"Я вже попросив капітана Варти розібратися з цією справою, але він каже, що в нього є важливіші проблеми."
Message_Complete_Achievement_1_1_DoomstalkerReachLevel2_4,"Тоді, гадаю, нам слід провести розвідку. З таким самим успіхом міська варта могла б почати надсилати нам стабільну платню..."
Message_Complete_Achievement_1_1_ElementalistReachLevel2_1,"Елементаліст досліджував Сваггера, героя минулих століть, який володів як рукопашним, так і магічним мистецтвом."
Message_Complete_Achievement_1_1_ElementalistReachLevel2_2,"Я велів йому дослідити зруйноване село Мадшут поблизу Блудфорд. Можливо, він зможе дізнатися, як зміцнити свої власні здібності в рукопашній!"
Message_Complete_Achievement_1_1_MindthiefReachLevel2_1,"Думкокрадійка отримала нашвидкуруч написану записку від інших Вермлінгів у своєму притулку під Демонською Брамою, яка попереджала, що люди загрожують їхньому дому."
Message_Complete_Achievement_1_1_NightshroudReachLevel2_1,"Тепер, коли Нічнотінь міцно увійшов у команду, він дав зрозуміти, що хоче дослідити деяких із найрідкісніших ворогів, знайдених навколо."
Message_Complete_Achievement_1_1_NightshroudReachLevel2_2,"І як він хоче їх досліджувати?"
Message_Complete_Achievement_1_1_NightshroudReachLevel2_3,"Вбиваючи і препаруючи їхні трупи, зрозуміло."
Message_Complete_Achievement_1_1_NightshroudReachLevel2_4,"О, ""таке"" дослідження?"
Message_Complete_Achievement_1_1_NightshroudReachLevel2_5,"Ага. Спочатку він пропонує вирушити до Погребальне Багаття, щоб зібрати ектоплазму Духа."
Message_Complete_Achievement_1_1_PlagueheraldReachLevel2_1,"Моровісник вивчав, як найкраще врятувати Демонської Брами від хвороби, і, як вважає, він зробив прорив."
Message_Complete_Achievement_1_1_PlagueheraldReachLevel2_2,"Ви впевнені, коли говорите так про прославлену хмару жуків, які люблять заражати речі?"
Message_Complete_Achievement_1_1_PlagueheraldReachLevel2_3,"Моровісник думав, що хвороба допоможе іншим расам. Коли Чарівниці вдалося переконати його у зворотному, його вулик почав вивчати Демонської Брами, щоб створити чарівну панацею."
Message_Complete_Achievement_1_1_PlagueheraldReachLevel2_4,"І він справді думає, що ЗРОБИВ ці чарівні ліки?"
Message_Complete_Achievement_1_1_PlagueheraldReachLevel2_5,"Ага, і він хотів би передати цю новину своєму вулику."
Message_Complete_Achievement_1_1_PlagueheraldReachLevel2_6,"Ну, я не хочу давати йому привід експериментувати на мені, тож, гадаю, нам краще піти. Я не знаю, чому ми дозволили йому приєднатися до нас..."
Message_Complete_Achievement_1_1_QuartermasterReachLevel2_1,"Інтендант чув від свого старого колеги з Демонської Брами , що один зі складів обладнання Міської варти в центральному сховищі зазнав нальоту."
Message_Complete_Achievement_1_1_QuartermasterReachLevel2_2,"Скільки вони взяли? Дещо з цього обладнання коштує цілого статку!"
Message_Complete_Achievement_1_1_QuartermasterReachLevel2_3,"Вигребли майже все, і повір, там достатньо, щоб спорядити невелику армію... Інтендант отримав завдання в Демонській Брамі провести розслідування."
Message_Complete_Achievement_1_1_QuartermasterReachLevel2_4,"Ми б попрямували прямо туди, але варта сховища була перебита і, схоже, злодії забрали і ключ від сховища."
Message_Complete_Achievement_1_1_QuartermasterReachLevel2_5,"Я чув, що в Нижнє місто є запасний ключ. Ми можемо вирушити туди."
Message_Complete_Achievement_1_1_SawbonesReachLevel2_1,"Я чув, що шевці з Улоговина Демонячого Хребта та їхні сім'ї останнім часом зазнають значної кількості дивних нещасних випадків у своїх майстернях."
Message_Complete_Achievement_1_1_SawbonesReachLevel2_2,"Хоча це і дивно, але досить логічно, щоб змусити мене запідозрити магічну брудну гру."
Message_Complete_Achievement_1_1_SawbonesReachLevel2_3,"Костоправ уже розповів мені про звіти. Він запитав, чи можемо ми провести розслідування - безплатно, оскільки це було б його священним обов'язком як цілителя Великого Дуба."
Message_Complete_Achievement_1_1_SawbonesReachLevel2_4,"І ви погодилися!? Хоча, можливо, ви й маєте рацію - набагато легше витягати в людей їхні заощадження, коли вони вдячні вам. Ходімо!"
Message_Complete_Achievement_1_1_ScoundrelReachLevel2_1,"Сьогодні вранці я прокинувся і виявив біля вхідних дверей лист. Він для Шахрайки і містить прохання про зустріч у лісі. Чи можу я бути посередником?"
Message_Complete_Achievement_1_1_SoothsingerReachLevel2_1,"Оспівувачка запитала в мене поради, куди б їй піти, щоб надихнутися кількома новими піснями, а я лише запропонував завітати до однієї з менш кровожерливих розбійницьких банд."
Message_Complete_Achievement_1_1_SoothsingerReachLevel2_2,"Поруч із Шибеничний Пагорб є група людей, які могли б нам допомогти."
Message_Complete_Achievement_1_1_SpellweaverReachLevel2_1,"Ми отримали послання для Чародійниці, від громади Естер із проханням допомогти в розслідуванні порушення магічної рівноваги в Східному лісі."
Message_Complete_Achievement_1_1_SpellweaverReachLevel2_2,"Я позначу його на вашій карті."
Message_Complete_Achievement_1_1_SummonerReachLevel2_1,"Прикликачка доповіла про... ""планарний зсув"" за межами Wayward і порадила з'ясувати нам, у чому там справа."
Message_Complete_Achievement_1_1_SummonerReachLevel2_2,"Планарний зсув? Що це взагалі означає?"
Message_Complete_Achievement_1_1_SummonerReachLevel2_3,"Перше неймовірне об'єднання двох несумісних світів, яке має бути вивчено - ось що вона сказала мені, коли я запитав її про це."
Message_Complete_Achievement_1_1_SummonerReachLevel2_4,"Звучить кепсько. Напевно, з цим треба щось робити."
Message_Complete_Achievement_1_1_SunkeeperReachLevel2_1,"Хранителька Сонця повідомила мені, що хоче використати свої нещодавно набуті здібності, щоб творити добро в країні."
Message_Complete_Achievement_1_1_SunkeeperReachLevel2_2,"Я впізнав табір Вермлінгів неподалік від Wayfarer's Rest, який нещодавно зазнав нападу і якому може знадобитися наша допомога."
Message_Complete_Achievement_1_1_SunkeeperReachLevel2_3,"Але як вони нам заплатять? ... . Я не розумію!"
Message_Complete_Achievement_1_1_TinkererReachLevel2_1,"Винахідник вивчав витоки демонології, щоб спробувати допомогти перемогти їх. Він упізнав місце, яке ми маємо дослідити."
Message_Complete_Achievement_1_1_UnlockLocations_1,"Ви почали успішно рухатися на південний захід, там є ще кілька міст, які звернулися до нас по допомогу аж до самого узбережжя"
Message_Complete_Achievement_1_1_UnlockLocations_2,"Е-е, босе, тут є жінка Естер, яка хоче вас бачити. Вона каже, що може нам допомогти..."
Message_Complete_Achievement_1_1_UnlockLocations_3,"Те, що ви робите... возз'єднання людей, вигнання темряви і захист слабких - я вважаю це гідним."
Message_Complete_Achievement_1_1_UnlockLocations_4,"Я надам вам доступ до моїх поліпшень. Приходь до мого намету і ми піднімемо майстерність твоїх воїнів. Що більше міст ви відкриєте, то могутнішими ви можете стати."
Message_Complete_Achievement_1_1_UnlockLocations_5,"Що ж, вона одразу перейшла до справи!"
Message_Complete_Achievement_1_1_UnlockLocations_6,"Чародійниця! Врахуйте, її послуги коштують дуже недешево. Тепер ми відкрили більше світу, приготуйтеся до того, що й небезпека зросте. Але не хвилюйтеся, нагороди підуть за ними. Я також відкрив ще кілька досягнень, до яких потрібно прагнути."
Message_Complete_Achievement_1_2_ReachDemonspineHollow_1,"Після більш детального вивчення місцевості навколо Нижнє місто ми виявили кілька дивних кристалів, складених у лісі."
Message_Complete_Achievement_1_2_ReachDemonspineHollow_2,"Вони випромінюють неймовірно сильну ауру магії Землі і, схоже, були причиною дивної поведінки Вермлінгів, а також ПОСИЛЕННЯ магічної сили в цьому районі."
Message_Complete_Achievement_1_2_ReachDemonspineHollow_3,"Ми отримуємо повідомлення про подібні магічні відхилення в околицях міста Фордінгбридж на півдні."
Message_Complete_Achievement_1_2_ReachFordingbridge_1,"Поки я оглядав Фордінгбридж, до мене на вулиці підійшов досить неприємний тип і з нього капало те, що я можу описати як нечистоти."
Message_Complete_Achievement_1_2_ReachFordingbridge_2,"Спочатку я відмахнувся від нього, але він сказав мені, що він із міської ради Солодководдя, мене розібрав сміх, але він був непохитний."
Message_Complete_Achievement_1_2_ReachFordingbridge_3,"Очевидно, у них є проблема, яку потрібно вирішити. Я сказав йому, що ми проведемо розслідування, щоб змусити його піти, я відзначу Солодководдя на вашій карті."
Message_Complete_Achievement_1_2_ReachTheSloshedSquirrel_1,"Я ... займався якоюсь ""важливою справою"" в Хмільній Більці і почув тривожні новини від відвідувачів."
Message_Complete_Achievement_1_2_ReachTheSloshedSquirrel_2,"Схоже, що мандрівники в Amberhill зникли безвісти і все місто перебуває в ізоляції."
Message_Complete_Achievement_1_2_ReachTheSloshedSquirrel_3,"Ймовірно, варте того, щоб ми перевірили його і подивилися, чи можемо ми допомогти або, еее, заробити трохи грошей?"
Message_Complete_Achievement_1_2_UnlockLocations_1,"Ми досягли узбережжя! Це перша частина возз'єднаного королівства."
Message_Complete_Achievement_1_2_UnlockLocations_2,"Я також зв'язався з деякими аванпостами в Східному лісі, ми повинні почати шукати роботу і там теж."
Message_Complete_Achievement_1_2_UnlockLocations_3,"Я додам це до наступного набору досягнень, які можна виконати!"
Message_Complete_Achievement_1_3_UnlockLocations_1,"Ми вже досить далеко пройшли через ліс і цього разу в мене з'явилися нові контакти з Пустками на півночі."
Message_Complete_Achievement_1_3_UnlockLocations_2,"Однак будьте обережні, я чув чутки про Дрейків і Демонів - це не місце для людей зі слабкими нервами!"
Message_Complete_Achievement_1_4_UnlockLocations_1,"Пустки тепер добре вивчені і ми починаємо отримувати повідомлення з Великого лісу далі на півночі."
Message_Complete_Achievement_1_4_UnlockLocations_2,"Давайте пошукаємо аванпости далі на північ, у них напевно є якесь вражаюче спорядження на продаж!"
Message_Complete_Achievement_1_4_UnlockLocations_3,"Наша остання мета зараз - дістатися до Дикий Шпиль у глибині лісу."
Message_Complete_Achievement_1_5_UnlockLocations_1,"Чудово зроблено! Усі міста до безплідного узбережжя, Східного лісу, безплідних земель і до великого північного лісу були пов'язані між собою. Перший розділ історії нашої гільдії завершено!"
Message_Complete_Achievement_1_5_UnlockLocations_2,"Схоже що села королівства об'єдналися щоб дати нам пристойну суму грошей!"
Message_End_Quest_Story_2D_1,"Відмінна робота з проходження основних навчальних місій. Дозвольте представити вам третього члена Гільдії, хоча він і не дуже хороший боєць..."
Message_End_Quest_Story_2D_2,"Гей, не всі з нас прагнуть стати експертами у справі заколювання людей!<br><br>Ох, ем... вибачте мене. *Кхм*"
Message_End_Quest_Story_2D_3,"Вітаю, Хранителю. Я скромний <b>Торговець</b> вашої молодої Гільдії. Я маю справу з важливими аспектами управління гільдією... іншими словами з <i>грошима</i>. І їх, смію зауважити, зараз катастрофічно не вистачає...."
Message_End_Quest_Story_2D_4,"Те, що ви бачите зараз, — це <b>Карта Світу</b>. Ви, напевно, помітили, що вона виглядає трохи порожньою, і, ну... у мене є для вас хороші та погані новини.<br><br>Погана новина полягає в тому, що ці землі наповнені всілякими неприємними істотами — розбійниками, блукаючими невмерлими, темними культистами, і так далі. А хороша новина в тому, що ви допоможете нам відновити шляхи до інших поселень, схованих у тумані."
Message_End_Quest_Story_2D_5,"Але перш ніж ми зможемо щось зробити, нам потрібно буде вписати кілька найманців до реєстру Гільдії. Давайте почнемо з того, що наймемо бідного старого <b>Дикаря</b>, який потрапив у неприємне становище... знову."
Message_End_Quest_Story_3A_1,"<b>Дикар</b>, звісно, може добре витримувати шкоду, але він не найрухоміший."
Message_End_Quest_Story_3A_2,"Наявність достатніх коштів матиме першорядне значення для того, щоб тримати Гільдію на плаву. Ви знаєте когось хорошого у справі... ммм... придбання золота?"
Message_End_Quest_Story_3A_3,"Я знаю тільки цю жінку - вона також майстерно проробляє дірки в тих, хто встає у неї на шляху. Вона зараз у процесі вилучення золота, може варто простягнути їй руку допомоги?"
Message_End_Quest_Story_3B_1,"Перше, що ми маємо зробити як Гільдія, - це відновити торговий шлях з Шибеничний Пагорб на захід. У нас були невеликі проблеми з розбійниками в лісі по дорозі, але для Дикуна і Шахрайки це не повинно скласти жодних проблем."
Message_End_Quest_Story_3B_2,"Це дасть вам деякий такий необхідний досвід роботи, а мені дасть змогу отримати деякі нові предмети на складі, щойно шлях буде очищено. Іди стукни кілька розбійницьких голів одна об одну!"
Message_End_Quest_Story_4A_1,"Саме час тобі познайомитися з основами магії. Я знаю одну <b>Плетючу чари</b>, яка могла б показати тобі дещо, останнє, що я від неї чув, це те, що вона досліджувала кам'яне коло в лісі неподалік від Гіббет-Хілл. З усіма цими монстрами навколо, ми повинні перевірити, що вона в порядку."
Message_End_Quest_Story_5A_1,"Елементальні школи магії охоплено. Можливо, тепер нам варто найняти когось, хто розбирається в хитросплетіннях високих технологій і подібному? Присягаюся, що не так давно в таверні був Куатріл <b>Винахідник</b>, який возився з енергетичним ядром або якимось іншим артефактом..."
Message_End_Quest_Story_5A_2,"Хороший знак. Я чув, що він шукає колег - дослідників, щоб дослідити могилу поблизу, бармен сказав, що він вирушив учора. На мою думку, він із тих, хто може бути зацікавлений у вступі до Гільдії на кшталт нашої - подивимося, чи зможемо ми його знайти!"
Message_End_Quest_Story_5B_1,"Ми зараз створюємо справжню гільдію найманців! До речі, про оплачувану роботу: я зустрів декого, хто попросив нашої допомоги."
Message_End_Quest_Story_5B_2,"Хай буде з вами мир! Я - тутешня <b>Жриця</b>, яка принесла клятву Святилищу Великого Дуба. Я дякую вам за зустріч зі мною, оскільки ми у святилищі гостро потребуємо допомоги.<br><br>Бачите, священний склеп у катакомбах під Святилищем був зламаний і осквернений божевільними культистами, які підняли орди нежиті, щоб виконувати їхні мерзенні накази... Я благаю тебе, будь ласка, допоможи нам позбутися цієї загрози!"
Message_End_Quest_Story_5B_3,"Це занадто звичайне явище в наші дні... Як би там не було, звучить як можливість випробувати двох наших недавніх рекрутів разом - приступайте!"
Message_End_Quest_Story_5C_1,"Я не можу висловити, як я Вам вдячна... Справді, дякую! Тепер, коли загроза Святилищу минула, ми можемо, нарешті, відновити відновлення Храму тут. Пройде певний час, перш ніж ми будемо готові відновити наші звичайні служби, але я сподіваюся, що ми зможемо бути корисними в майбутньому. Я прощаюся з тобою."
Message_End_Quest_Story_5C_2,"Почекайте хвилинку, ми зробили це <i>безкоштовно</i>?! Я думав, ми шукаємо платну роботу... Ой, не зважайте...<br><br><size=90%>Приєднуйтесь до гільдії, казали вони... <size=80%>Буде весело, казали вони... <size=70%>“Ви заробите купу золота”... Пфф! <size=60%>*Бурчання*"
Message_End_Quest_Story_5C_3,"Не звертайте на нього уваги. Завдяки вам Храм знову відкриється з часом, і ви будете раді отримати їхнє БЛАГОСЛОВЕННЯ.<br><br>Тепер наступне село, з яким ми втратили зв’язок, — це Марші. Маршрут перебуває на блокуванні після низки набігів невеликих загонів Вермлінгів, які розташувалися поруч."
Message_End_Quest_Story_5C_4,"Я хочу, щоб ви вирушили на північ і спробували вигнати їх.<br><br>О, і стережіться їхніх псів. Нехай ці шрами на моєму обличчі будуть для вас попередженням — якщо наблизитеся до тих собак, вони вкусять у відповідь!"
Message_End_Quest_Story_6A_1,"Залишилося розчистити ще один маршрут і у мене буде контракт з достатньою кількістю постачальників, щоб відкрити свій магазин для бізнесу! Я впевнений, що ви не можете дочекатися, щоб отримати в свої руки якесь пристойне спорядження."
Message_End_Quest_Story_6A_2,"Ось тобі й стимул! У міру того як ваше основне навчання наближається до кінця, я сподіваюся, що ви починаєте звикати до того, як різні здібності та ефекти взаємодіють один з одним, вам, безумовно, знадобляться деякі просунуті техніки в майбутніх завданнях!"
Message_End_Quest_Story_6A_3,"Як би там не було, я вистежив потенційного п'ятого найманця для нашої команди, якщо ви зможете взяти його до себе. У цього хлопця кам'яні кулаки, буквально!"
Message_End_Quest_Story_7A_1,"<b>пустотілий</b> з нами - тепер у нас є п'ятірка бійців! Я думаю, що ще один і ми матимемо досить велику команду, щоб узяти на себе завдання далі від Демонської Брами."
Message_End_Quest_Story_7A_2,"Знаєш, якщо ми знайдемо когось, здатного закликати союзників на поле бою, то відчуємо, що у нас ще більше найманців! Я знаю, що деякі Вермлінги вельми вправні у поводженні зі своїми звіриними побратимами."
Message_End_Quest_Story_7A_3,"Вермлінги? Ми збираємося залучити Вермлінга?"
Message_End_Quest_Story_7A_4,"Не дозволяйте зовнішності гризуна обдурити вас, вони не всі дикі падальщики. Деякі Вермлінги розвивають сильні екстрасенсорні здібності - і ходять чутки, що одна з таких Вермлінгів <b>Прикращає розум</b> полює на демонів поблизу. Ти б відмовився від вступу мисливиці на демонів до Гільдії тільки тому, що вона має трохи щурячий вигляд?<br><br>Я голосую за те, щоб ми знайшли цю <b>Втішну розум</b> і подивилися, чи не захоче вона приєднатися до нас заради шансу більшої слави... ніж полювати на демонів. Гаразд, можливо, поки що й не велика, але все одно слава."
Message_End_Quest_Story_7B_1,"Тепер, коли в нас є гільдія, ми починаємо отримувати запити на роботу звідусіль. Крім того, до мене доходять чутки про місцезнаходження могутніх артефактів, які варто дослідити."
Message_End_Quest_Story_7B_2,"Насправді, ви маєте спочатку перевірити це: кілька ночей тому падаючу зірку помітили на лісовій галявині поблизу Шибеничний Пагорб, але коли мешканці села вирушили на розвідку, не було жодних слідів того, що там щось впало."
Message_End_Quest_Story_7B_3,"Приблизно через день вони почали відчувати невеликі землетруси, що відбуваються на північ від села, недалеко від галявини. Там немає нічого, крім старого, старого склепу - а жителі занадто налякані, щоб досліджувати його."
Message_End_Quest_Story_7B_4,"По-моєму, це якийсь магічний артефакт, ви маєте піти і перевірити його!"
Message_End_Quest_Story_7B_5,"Я рекомендую вам узяти з собою <b>Пустотілого</b> і <b>Страшну розум</b>, вони мають легко впоратися з цим завданням."
Message_End_Quest_Story_7C_1,"І на цьому ваше навчання закінчується. Світ, весь цей світ - театр і монстри в ньому актори (розбійники, нежить і демони)!<br><br>Ми зібрали набір стартового спорядження на гроші, які ви заробили до цього моменту, але будь-яке інше спорядження, яке вам знадобиться, вам потрібно буде купити."
Message_End_Quest_Story_7C_10,"Виберіть свою команду, спорядіть їх - і ви готові. Удачі, Хранителю!"
Message_End_Quest_Story_7C_11,"Мультиплеєр тепер увімкнено."
Message_End_Quest_Story_7C_2,"Панель зліва використовується для вибору складу вашої групи та налаштування їхніх карток здібностей і предметів, які ви розблокуєте. Тепер у вас також є повна свобода вибору, яких найманців брати з собою на кожну місію, але не більше чотирьох.<br><br>Однак пам’ятайте, що складність сценаріїв залежить від кількості найманців у вашій групі. Якщо ви не є ветераном <b>Gloomhaven</b>, я рекомендую поки що обмежитися двома персонажами, щоб полегшити прийняття рішень!"
Message_End_Quest_Story_7C_3,"Під час оснащення предметами зверніть увагу, що той, хто оснащує предмет першим, прив'язує його до себе. Ви можете відв'язати предмет за певну плату, але постарайтеся, щоб ви дали його правильному найманцю в перший раз, якщо зможете."
Message_End_Quest_Story_7C_4,"Щоб допомогти вам у розвитку ваших навичок після навчання, я придумав набір досягнень, над якими ви маєте працювати. До них можна отримати доступ за допомогою значка <b>Тренер</b> у нижній частині екрана."
Message_End_Quest_Story_7C_5,"Виконання цих завдань винагородить Гільдію великою кількістю золота, нових завдань і локацій для дослідження. А іноді навіть місіями з повернення могутніх реліквій!"
Message_End_Quest_Story_7C_6,"Ви можете зайти в мій магазин, натиснувши на значок Торговця в нижній частині екрана. У мене є основні предмети на складі прямо зараз, але в міру того, як ви продовжуєте досліджувати і відновлювати маршрути до більшої кількості сіл, все більше і більше предметів буде додаватися в мій запас!"
Message_End_Quest_Story_7C_7,"До речі, не могли б ви з'їздити на південно-західне узбережжя і відкрити старі маршрути спецій?"
Message_End_Quest_Story_7C_8,"У минулому в мене були зв'язки з двома тамтешніми містами: Блудфорд на заході..."
Message_End_Quest_Story_7C_9,"...і Wanderer's Rest на південному заході."
Message_End_Quest_Story_BanditCommander_1,"Тепер, коли ватажок розбійників мертвий, храми і сам Демонської Брами у безпеці."
Message_End_Quest_Story_BanditCommander_2,"Що ж, приємно бачити його спину, а ця каблучка, яку ви отримали, має доволі корисний вигляд."
Message_End_Quest_Story_BeastTyrant_1_1,"Ця Гниль гірша, ніж ми спочатку думали, вона поширюється по всій землі."
Message_End_Quest_Story_BeastTyrant_1_2,"Володар Звірів тепер хоче, щоб ми розслідували ще один спалах в Eastern forest біля Ермітажу."
Message_End_Quest_Story_BeastTyrant_2_1,"Я детально поговорив із Володарем Звірів і встановив поширення Гнилі."
Message_End_Quest_Story_BeastTyrant_2_2,"Як ми спочатку і припускали, вона, мабуть, поширюється через прісну воду, яка бере початок у горах на півдні, недалеко від Обсидіановий Стрімчак."
Message_End_Quest_Story_BeastTyrant_2_3,"Але є й друга притока в районі Каменепад далі на схід."
