Keys,"Українська [ua-UA]"
Scenario_Campaign_039_Room_2_3,"Ага, тепер усе стає на свої місця. Судячи з усього, демони керують погодою, не дозволяючи вам підібратися до вершини. Якщо знищити сферу, негода, найімовірніше, зійде нанівець."
Scenario_Campaign_039_Success_1,"Осколки розбитої сфери обсипаються на сніг поруч із трупами ворогів, які перегороджували вам шлях."
Scenario_Campaign_039_Success_2,"Виття вітру за межами печери стихає. Вийшовши назовні, ви бачите чисте небо і вільний шлях до вершини."
Scenario_Campaign_039_Success_3,"Стоячи на краю світу, ви нібито купаєтеся в безхмарному небі і насолоджуєтеся чудовими просторами гір, лісів і рівнин, що простягаються перед вами."
Scenario_Campaign_039_Success_4,"Вдалині видніються знайомі обриси Похмурої гавані."
Scenario_Campaign_039_Success_5,"Глянувши на захід, ви помічаєте високогірне озеро і невелику кам'яну будову на його березі."
Scenario_Campaign_039_Success_6,"Можливо, варто його пізніше дослідити."
Scenario_Campaign_040_Objective_1,"Одночасно перебувати на обох клітинах із натискними плитами"
Scenario_Campaign_040_Success_1,"Ви приводите в дію механізми на протилежних кінцях мережі в тому порядку, в якому велів Голос. Рев стихає, а стіни розступаються, відкриваючи шлях до входу."
Scenario_Campaign_040_Success_2,"Піднімається кришка потайного люка в підлозі, під яким ховається вузький сходовий прохід у темряву."
Scenario_Campaign_040_Success_3,"Шлях до гробниці відкритий, - каже Голос. ""Ідіть і заберіть те, що належить мені."
Scenario_Campaign_041_Objective_1,"Усі найманці повинні втекти через вихід"
Scenario_Campaign_041_Room_2_1,"Ви прориваєтеся з центральної зали в передню. Раніше тут було спокійно, зате тепер повно давно похованих ожилих трупів."
Scenario_Campaign_041_Room_2_2,"Що ще неприємніше, шлях назовні закритий. Ви відчайдушно озираєтеся в пошуках способу зупинити це безумство..."
Scenario_Campaign_041_Room_3_1,"Штовхнувши незамкнені двері, ви бачите вхід до гробниці. Але вузька драбинка, що веде до свободи, змушує серце болісно стиснутися:"
Scenario_Campaign_041_Room_3_2,"Вам доведеться залишати це осередок смертельних пасток по одному..."
Scenario_Campaign_041_Start_1,"Неабияк розлютившись, що Голос вас про це не попередив, ви спрямовуєте свою лють на те, щоб вибратися на білий світ живими..."
Scenario_Campaign_041_Success_1,"Ви чуєте гуркіт големів, які переслідують вас знизу, і поспішаєте швидше вибратися назовні. Тільки за межами гробниці Голос повертається до вас."
Scenario_Campaign_041_Success_2,"Боюся, мої полонителі виявилися розумнішими, ніж я вважав. Щось не дозволяло мені проникнути в гробницю."
Scenario_Campaign_041_Success_3,"На щастя, ви впоралися і без моєї допомоги. Радий, що ви знайшли мою темницю і вирішили допомогти. Через стільки часу я нарешті буду вільний."
Scenario_Campaign_041_Success_4,"З усіма трьома посудинами ви добираєтеся до гірської печери, а звідти й до Шепотливої галереї."
Scenario_Campaign_042_Objective_1,"Знищити всі голосові зв'язки"
Scenario_Campaign_042_SCENARIO_MODIFIER_1,"Кожна зв'язка, поки не знищена, негативно впливає на гравців:"
Scenario_Campaign_042_SCENARIO_MODIFIER_2,"6 - Усі монстри додають <nobr>+1 АТАКА <sprite name=Attack></nobr> до всіх своїх атак."
Scenario_Campaign_042_SCENARIO_MODIFIER_3,"5 - Усі монстри отримують перевагу в усіх своїх атаках."
Scenario_Campaign_042_SCENARIO_MODIFIER_4,"4 - Кожен монстр лікує 1 ОЗ на початку кожного свого ходу."
Scenario_Campaign_042_SCENARIO_MODIFIER_5,"3 - Кожен персонаж або покликане створення персонажа отримує 1 шкоди на початку кожного свого ходу."
Scenario_Campaign_042_SCENARIO_MODIFIER_6,"2 - Усі найманці та їхні прикликання отримують УСКЛАДНЕННЯ на всі свої атаки."
Scenario_Campaign_042_SCENARIO_MODIFIER_7,"1 - Усі персонажі та їхні покликані створіння віднімають <nobr>-1 АТАКА <sprite name=Attack></nobr> з усіх своїх атак."
Scenario_Campaign_042_Start_1,"Ви знову чуєте голос, але звучить він інакше:"
Scenario_Campaign_042_Start_2,"Сила Голосу відтепер належить мені! І ви будете першими, кого я з її допомогою знищу!"
Scenario_Campaign_042_Success_1,"Разом із тріском, спричиненим розривом останньої зв'язки, простір наповнює найпотужніший дисонанс, після чого запанувала тиша."
Scenario_Campaign_042_Success_2,"Перед очима темніє, і ви знову опиняєтеся в Шепотливій галереї. Тепер там порожньо і тихо."
Scenario_Campaign_042_Success_3,"Ви шукаєте в печері ознаки присутності Голосу, але знаходите лише кам'яну табличку з письменами."
Scenario_Campaign_042_VocalChord,"Голосові зв'язки"
Scenario_Campaign_043_Objective_1,"Убити кількість дрейків, що в 4 рази перевищує кількість найманців"
Scenario_Campaign_043_Success_1,"Здається, на вас накотила нескінченна лавина червоних ящерів, але ви вже зібрали достатньо тушок і готові, гм, тактично відступити."
Scenario_Campaign_043_Success_2,"Вискочивши з печери, ви кидаєтеся бігти стрімголов, але дрейки, схоже, і не думають вас переслідувати. Залишився останній ривок: дотягнути шкури до ""Кривої кістки""."
Scenario_Campaign_044_Objective_1,"Убити всіх ворогів"
Scenario_Campaign_044_Objective_2,"Поразка якщо будь-який із полонених Орхідів помре"
Scenario_Campaign_044_Start_1,"Красношип натягує тятиву:<br>- Сьогодні не проллється кров жодного Орхідка!"
Scenario_Campaign_044_Success_1,"Перебивши всіх Іноксів, ви проходите табором, звільняючи полонених Орхідів і допомагаючи їм піднятися. Вони дякують вам, слабо киваючи."
Scenario_Campaign_044_Success_2,"Ми дуже стриманий народ, - пояснює Красношип, підходячи ближче. ""Не розраховуйте, що на вашу честь влаштують бенкет на весь світ, але знайте, що сьогодні ви зробили велику справу."
Scenario_Campaign_044_Success_3,"Якби ми не приспіли вчасно, більшість моїх одноплемінників були б уже мертві."
Scenario_Campaign_044_Success_4,"Деякий час він мовчить, потупивши погляд. ""Усередині мене все ще зяє порожнеча. Я думав, що вбивство моїх мучителів заповнить її."
Scenario_Campaign_044_Success_5,"Що порятунок іншого села стане спокутою того, що я не зумів уберегти своє. Але на жаль... Почуття провини, як і раніше, гризе мене зсередини. Воно змінило мене."
Scenario_Campaign_044_Success_6,"Орхід мовчки вдивляється вдалину. ""Це не моє село, та я все одно не зміг би залишитися. Мені тут більше немає місця. Якщо вам коли-небудь знадобиться моя допомога, знайдіть мене серед дерев."
Scenario_Campaign_045_Objective_1,"Знищити всі тотеми"
Scenario_Campaign_045_Success_1,"І щойно ви розносите в пил останній тотем, як ваші ноги з плямканням занурюються по щиколотки в багнисту рідину. Віддалік, у калюжі бруду і власної крові, скорчився тяжкопоранений стражник."
Scenario_Campaign_045_Success_2,"Схопивши його за комір і штовхнувши кілька разів по щоках, щоб оговтався, ви випитуєте, де інші повстанці."
Scenario_Campaign_045_Success_3,"Я скажу..."" задихаючись, видавлює він. ""Але тільки тому, що знаю: насправді ви не злі. Замість того щоб полювати на нас... встаньте з нами пліч-о-пліч! Допоможіть вирвати місто з лап демонів!"
Scenario_Campaign_045_Success_4,"Ступайте на схід... до кордону Сторожових гір... на північ... від ясеневого гаю... поговоріть з командиром... допоможіть... місто..."
Scenario_Campaign_045_Success_5,"Його очі скляніють, і ви чомусь дбайливо кладете тіло назад у бруд. Це було занадто просто."
Scenario_Campaign_045_Totem,"Тотем очищення"
Scenario_Campaign_046_Objective_1,"Убити Крилатого жаху"
Scenario_Campaign_046_Room_3_1,"Пробравшись крізь щільний туман, ви натикаєтеся на невелике плато. Повітря знову оголошує пронизливий крик, і перед вами пікірує величезний пазуристий демон із перетинчастими крилами."
Scenario_Campaign_046_Room_3_2,"Хто посмів наблизитися до мого гнізда?!"" Ви ледь розбираєте слова в його гучному завиванні. ""Я згодую ваші останки своїм діткам!"
Scenario_Campaign_046_Success_1,"Потворний велетень видає останній у своєму житті крик, і той жахливо спотворюється, поки тварюка здригається в агонії. Ні в яку не бажаючи наближатися до пазуристих лап, що судорожно трясуться, ви чекаєте, поки тварюка не здохне."
Scenario_Campaign_046_Success_2,"Ну а потім над вершиною знову запанувала тиша. Темрява відступає."
Scenario_Campaign_046_Success_3,"Якщо забути про кров і недавню різанину, вид звідси відкривається приголомшливий. Ви запам'ятовуєте його в пам'яті і починаєте спускатися. Яке б зло не ховалося тут, воно більше не потурбує Похмуру гавань."
Scenario_Campaign_047_Objective_1,"Убити Невидяче око"
Scenario_Campaign_047_Room_2_1,"В останній залі ви нарешті зустрічаєте свого кошмарного ворога: гігантське око на стеблі та з відкритою зубастою пащею замість зіниці."
Scenario_Campaign_047_Room_2_2,"Тут же ви знову відчуваєте його гнітючий вплив. Усі зусилля здаються вам марними. Вже краще віддатися в його теплі звабливі обійми, ніж продовжувати безглуздий опір..."
Scenario_Campaign_047_Room_2_3,"Але ви струшуєтеся і, пробуджуючи в собі цілющу злість, берете себе в руки. Роздратована тварюка нервово ворушить щупальцями. Кімната здригається все сильніше, і коридор за вашими спинами починає валитися."
Scenario_Campaign_047_Room_2_4,"Згубний поклик вам вдалося побороти, але головний бій попереду!"
Scenario_Campaign_047_Success_1,"Коли гігантське око перестає подавати ознаки життя, всі його посіпаки в'януть разом із ним і кімната, на ваше полегшення, перестає тремтіти."
Scenario_Campaign_047_Success_2,"Ви не можете повернутися по своїх слідах, але зате тепер, коли всепроникний страх відступив, знаходите в собі сили досліджувати будову далі."
Scenario_Campaign_047_Success_3,"Після довгих блукань ви вибираєтеся із западини, піднімаєтеся до човна і повертаєтеся до Похмурої гавані, відчайдушно сподіваючись, що на вас ніколи більше не звалиться подібна мерзенна напасть!"
Scenario_Campaign_048_Objective_1,"Убити Темного вершника"
Scenario_Campaign_048_Success_1,"Коли ви завдаєте останнього удару, безголовий привид видає тужливий стогін і перетворюється на чорний серпанок, що сочиться крізь тріщини в броні."
Scenario_Campaign_048_Success_2,"Величезний бойовий кінь продовжує крокувати вперед, високо викидаючи ноги, але з кожною миттю старіє у вас на очах: сиві пасма поцятковують кошлату гриву, м'язи швидко слабшають, кінцівки всихають."
Scenario_Campaign_048_Success_3,"Не встигає він дійти навіть до краю галявини, як тендітні кістки починають розсипатися, і кінь падає замертво разом із купою іржавих обладунків. За кілька секунд вершник разом із конем перетворюються на порох."
Scenario_Campaign_049_Objective_1,"Убити Облогове знаряддя"
Scenario_Campaign_049_Room_2_1,"Прорвавшись крізь першу хвилю солдатів, ви добираєтеся до галявини. Решта стражників уже зібралися навколо великої механічної гармати."
Scenario_Campaign_049_Room_2_2,"Ця красуня розколошматить стіни Похмурої гавані, і тоді ми відіб'ємо місто!"" - з похмурою рішучістю повідомляє один із стражників, пильно дивлячись на вас. ""А вже з покидьками на кшталт вас вона швидко впорається!"
Scenario_Campaign_049_Room_2_3,"Знаряддя дзижчить і вібрує, дуло ствола розжарюється до червоного. ""Готово!"" - кричить один із канонірів. ""Геть із дороги!"
Scenario_Campaign_049_Success_1,"Уламки гармати валяються біля ваших ніг. Разом із ним прийшов кінець і останнім надіям заколотників відбити місто."
Scenario_Campaign_049_Success_2,"Стражники, які дивом вижили, розбігаються, а ви тріумфально повертаєтеся в захоплену демонами Похмуру гавань."
Scenario_Campaign_050_Objective_1,"Добути всі інкрустовані скрині здатністю ЗДОБИЧ (добувати, встаючи на клітку, не можна)"
Scenario_Campaign_050_Success_1,"Ви захоплюєте останні запаси збройової, якраз коли повстанці потоком вливаються через пролом у стіні. Звільнення решти фортеці - вже, на щастя, питання часу..."
Scenario_Campaign_051_Objective_1,"Вбити Мрака"
Scenario_Campaign_051_Start_1,"Естер змахує своїми блискучими клинками в заворожуючому танці."
Scenario_Campaign_051_Start_2,"Отже, хто з вас, жертовних агнців, тут найсміливіший? Кого Морок поглине першим?"
Scenario_Campaign_051_Success_1,"З різким брязкотом два клинки падають на кам'яну підлогу. Естер ледь тримається на ногах, його зранене обличчя виглядає приголомшеним."
Scenario_Campaign_051_Success_2,"Та як ви посміли?"" бурмоче він. Голос, що колись здавався шовковим і чарівним, звучить важко і похмуро. ""Я чекав тисячі років, а ви намагаєтеся відібрати плоди моєї праці?"
Scenario_Campaign_051_Success_3,"Обличчя Естера сковує маска смерті, але він усе ще стоїть на ногах, немов його утримують невидимі нитки."
Scenario_Campaign_051_Success_4,"Ви можете знищити мою посудину і вигнати мене з цього світу, але цього буде недостатньо. Я вічний. Я повернуся. І знову буду бенкетувати в цьому світі!"
Scenario_Campaign_051_Success_5,"Із цими словами Естер валиться на підлогу і зникає."
Scenario_Campaign_052_Objective_1,"Усі найманці повинні добути по одному жетону скарбів"
Scenario_Campaign_052_Objective_2,"Жоден найманець не повинен стати виснаженим до взяття скарбу"
Scenario_Campaign_052_Success_1,"У скринях ви знаходите останки огидної палиці з личинками, що копошаться в ній, і навершям зі зотлілого черепа з усміхненим оскалом."
Scenario_Campaign_052_Success_2,"Коли останній фрагмент опиняється у вас у руках, за скринями відкриваються ще одні потаємні двері. Вирішивши, що іншого вибору все одно немає, ви крокуєте вперед."
Scenario_Campaign_052_Success_3,"Через якийсь час блукань коридорами ви опиняєтеся на перехресті п'яти шляхів, де зустрічаєтеся з іншими членами загону. Слідуючи одним зі шляхів, ви нарешті виходите на поверхню."
Scenario_Campaign_053_Objective_1,"Вижити протягом 10 раундів"
Scenario_Campaign_053_Objective_2,"Приготуйтеся до відкриття дверей"
Scenario_Campaign_053_Success_1,"Нарешті безтілесний доглядач закінчує свою роботу і піднімає посох Зорна над своєю примарною головою."
Scenario_Campaign_053_Success_2,"Сліпучий спалах зеленого світла колами розходиться по всьому приміщенню, перетворюючи всіх ворогів, що залишилися, на пил."
Scenario_Campaign_053_Success_3,"Привид підпливає до вас і простягає посох: ""Візьміть. Доставте його в Крижаний палац, що загублений у горах на півночі, і розкрийте могилу Зорна."" - На примарному обличчі проступає схвальна усмішка. - ""Ви добре попрацювали. Ваша мандрівка наближається до завершення."
Scenario_Campaign_053_Success_4,"Щойно ви приймаєте посох, привид починає повільно танути. Його останні слова доносяться до вас немов з іншого виміру: ""Дякую, що дозволили мені виконати свій обов'язок і звільнили від кайданів цього світу. Нарешті я можу піти на спокій."
Scenario_Campaign_053_Success_5,"Що ж, ви зробили те, що мали зробити, і спішно залишаєте склеп. Але, принаймні, наступне місце призначення обіцяє зміну декорацій: нарешті ви побачите щось, окрім гнилі та отруйних тварюк."
Scenario_Campaign_054_Objective_1,"Убити Женців-заразників"
Scenario_Campaign_054_Objective_2,"Після вбивства Женців покладіть повністю заряджений посох на вівтар"
Scenario_Campaign_054_Room_2_1,"Біля дальньої стіни головного залу споруджено великий вівтар. Схоже, що вся ця безліч істот зібралися тут, щоб охороняти його."
Scenario_Campaign_054_Room_2_2,"Серед них ви помічаєте загін женців-воїнів. Що ближче ви до них підходите, то сильніше пульсує посох."
Scenario_Campaign_054_Room_2_3,"Здається, він жадає отримати їх... Можливо, поглинаючи енергію женців, він забирає їхню силу собі."
Scenario_Campaign_054_Success_1,"Ви кладете посох на вівтар, і його сила з вихором зеленуватого світла втягується в камінь. Вихор стає дедалі більшим і врешті-решт поглинає всіх ворогів, що залишилися."
Scenario_Campaign_054_Success_2,"Раптово в палаці лунає гучний голос, від якого здригаються стіни: ""Ви повернули мені силу, але цього недостатньо. Я заберу це тіло як свою посудину!"
Scenario_Campaign_054_Success_3,"Ви не встигаєте навіть оком моргнути, як вихор збирається у сферу, яка стрілою встромляється в груди послідовника Зорна. Він падає замертво."
Scenario_Campaign_054_Success_4,"Ви кидаєтеся до нього і бачите, як з-під його шкіри вилітають полчища моторошних комах і збираються в єдиний образ. Ви в жаху відступаєте. Істота, зіткана з міріад жуків і мошок, піднімається і проголошує:"
Scenario_Campaign_054_Success_5,"Я переродився! Чума знову йде по землі!"
Scenario_Campaign_055_Objective_1,"Добудьте скарб у третій кімнаті"
Scenario_Campaign_055_Start_1,"Ви збираєтеся з силами і робите крок у невідомість."
Scenario_Campaign_055_Success_1,"Здається, що туман витягує з вас усі сили, поки ви, перемагаючи біль, крок за кроком пробираєтеся крізь нього."
Scenario_Campaign_055_Success_2,"Якраз у той момент, коли ви починаєте думати, що вже не в змозі рухатися далі, вам на очі потрапляє схованка з припасами, позначена фіолетовою емблемою розбійників, яких ви переслідуєте."
Scenario_Campaign_055_Success_3,"Ви швидко розкриваєте схованку і знаходите там детальну карту місцевості з вказівками, як дістатися до табору. Ви хапаєте карту і ховаєтеся між дерев, подалі від цього проклятого туману."
Scenario_Campaign_055_Success_4,"Ця карта вселяє надію, що ваші пошуки нарешті добігають кінця."
Scenario_Campaign_056_Objective_1,"Убити всіх ворогів"
Scenario_Campaign_056_Objective_2,"Захистити хоча б одного полоненого Орхідка"
Scenario_Campaign_056_Room_4_1,"Ви добираєтеся до основного табору розбійників, розташованого на просторій зеленій галявині. За спинами супротивників збилися в купу полонені Орхіди в рваному одязі - чергові жертви цих чудовиськ."
Scenario_Campaign_056_Room_4_2,"Полонені Орхіди помічають вас. Скориставшись ситуацією, вони звільняються від пут і нападають на одного із загарбників, які відволіклися. Ви посміхаєтеся: сьогодні ваша сім'я буде помщена."
Scenario_Campaign_056_Room_4_3,"У цій метушні розбійники переводять погляди з вас на полонених, які тікають. Один з охоронців вихоплює меч і кидається в атаку: ""Убийте всіх! Ніхто не повинен втекти!"
Scenario_Campaign_056_Success_1,"Коли останній із розбійників випускає дух, можна святкувати перемогу. Один із бранців підходить до вашого загону й опускається на коліна."
Scenario_Campaign_056_Success_2,"Ми дякуємо вам за порятунок,"" неголосно вимовляє він. ""Знайте, що моє плем'я завжди буде вашим союзником."
Scenario_Campaign_056_Success_3,"Потім він збирає своїх побратимів і веде через ліси додому. Ви ж беретеся досліджувати поле бою."
Scenario_Campaign_056_Success_4,"Знищивши зграю розбійників, ви відчуваєте полегшення - нарешті ви сповна помстилися за ваше село."
Scenario_Campaign_056_Success_5,"Знайдених трофеїв виявляється достатньо для того, щоб почати нове життя. Час зробити перший крок у спокійне і безтурботне майбутнє."
