Keys,English [en-GB]
Consoles/ACHIEVEMENT_DESC_037,Recover 7 burned cards with Spellweaver actions in a round and complete a scenario
Consoles/ACHIEVEMENT_DESC_038,Use 5 or more Augments with the Mindthief in a scenario
Consoles/ACHIEVEMENT_DESC_039,Kill an enemy with four or more negative conditions and complete a scenario
Consoles/ACHIEVEMENT_DESC_040,Inflict 4 or more different negative conditions with the Tinkerer actions in a scenario
Consoles/ACHIEVEMENT_DESC_041,Place 6 or more obstacles with the Cragheart in a scenario
Consoles/ACHIEVEMENT_DESC_042,Enhance your first card
Consoles/ACHIEVEMENT_DESC_043,Have the Sunkeeper buff allies 10 or more times in a scenario
Consoles/ACHIEVEMENT_DESC_044,Have 5 mercenaries in retire in a single Campaign
Consoles/ACHIEVEMENT_DESC_045,Use 5 or more Songs in the same scenario with the Soothsinger
Consoles/ACHIEVEMENT_DESC_046,Activate 3 or more traps in a round and complete a scenario
Consoles/ACHIEVEMENT_DESC_047,Kill 10 or more Doomed enemies in a scenario with Doomstalker
Consoles/ACHIEVEMENT_DESC_048,Use 5 or more summon actions with the Summoner in a scenario
Consoles/ACHIEVEMENT_DESC_049,Poison 10 or more enemies with the Plagueherald in a scenario
Consoles/ACHIEVEMENT_DESC_050,Use 10 or more abilities that damage yourself with the Berserker in a scenario
Consoles/ACHIEVEMENT_DESC_051,Have the Quartermaster in your party do 4 or more attack actions in a single round and complete a scenario
Consoles/ACHIEVEMENT_DESC_052,Consume at least one of each element with Elementalist during a scenario and complete a scenario
Consoles/ACHIEVEMENT_DESC_053,Complete all Travel missions in Guildmaster
Consoles/ACHIEVEMENT_DESC_054,Complete all Relic Scenarios in Guildmaster
Consoles/ACHIEVEMENT_DESC_055,Have the VoidWarden grant 10 or more actions to other mercenaries in a scenario
Consoles/ACHIEVEMENT_DESC_056,Have the Beast Tyrant's Bear do 100 or more damage and kill 6 or more enemies in a scenario
Consoles/ACHIEVEMENT_DESC_057,Have the Nightshroud kill 8 or more enemies while invisible in a scenario
Consoles/ACHIEVEMENT_DESC_058,Have the Hatchet use The Favourite in 5 or more attacks in a scenario
Consoles/ACHIEVEMENT_DESC_059,Level up to 5 or more with all the new Jaws of the Lion classes
Consoles/ACHIEVEMENT_DESC_060,Have the Red Guard damage enemies 10 or more times with the Sand Devil in a scenario
Consoles/ACHIEVEMENT_DESC_061,Have the Demolitionist destroy 8 or more obstacles in a scenario
Consoles/ACHIEVEMENT_TITLE_001,I'm not dead yet
Consoles/ACHIEVEMENT_TITLE_002,A normal day in Gloomhaven
Consoles/ACHIEVEMENT_TITLE_003,Vaccine Incoming
Consoles/ACHIEVEMENT_TITLE_004,Who's the Boss?
Consoles/ACHIEVEMENT_TITLE_005,Get over here!
Consoles/ACHIEVEMENT_TITLE_006,Mine... All Mine...
Consoles/ACHIEVEMENT_TITLE_007,Grizzled veteran
Consoles/ACHIEVEMENT_TITLE_008,Caught off guard
Consoles/ACHIEVEMENT_TITLE_009,Merchant of doom
Consoles/ACHIEVEMENT_TITLE_010,Add a bit of colour
Consoles/ACHIEVEMENT_TITLE_011,I hate portals
Consoles/ACHIEVEMENT_TITLE_012,The Rat King
Consoles/ACHIEVEMENT_TITLE_013,An eye for an eye
Consoles/ACHIEVEMENT_TITLE_014,Power Up!
Consoles/ACHIEVEMENT_TITLE_015,Down the hatch
Consoles/ACHIEVEMENT_TITLE_016,The Cephalophore
Consoles/ACHIEVEMENT_TITLE_017,Betray this
Consoles/ACHIEVEMENT_TITLE_018,Captain hooked
Consoles/ACHIEVEMENT_TITLE_019,The Sniper
Consoles/ACHIEVEMENT_TITLE_020,Master Assassin
Consoles/ACHIEVEMENT_TITLE_021,The Pro from Dover
Consoles/ACHIEVEMENT_TITLE_022,How to train your Drake
Consoles/ACHIEVEMENT_TITLE_023,Spoiler police!
Consoles/ACHIEVEMENT_TITLE_024,"From Gloom, only greed and death emerges"
Consoles/ACHIEVEMENT_TITLE_025,The Pacifist
Consoles/ACHIEVEMENT_TITLE_026,A tough job
Consoles/ACHIEVEMENT_TITLE_027,A cult following
Consoles/ACHIEVEMENT_TITLE_028,Over your dead body
Consoles/ACHIEVEMENT_TITLE_029,The Guildmaster
Consoles/ACHIEVEMENT_TITLE_030,New Blood
Consoles/ACHIEVEMENT_TITLE_031,The evil that men do
Consoles/ACHIEVEMENT_TITLE_032,MacReady Steady.. Go!
Consoles/ACHIEVEMENT_TITLE_033,Beware my power
Consoles/ACHIEVEMENT_TITLE_034,The Jaws of victory!
Consoles/ACHIEVEMENT_TITLE_035,Hard-travelling Heroes
Consoles/ACHIEVEMENT_TITLE_036,Overkill
Consoles/ACHIEVEMENT_TITLE_037,Just when I thought I was out...
Consoles/ACHIEVEMENT_TITLE_038,Augmented rat
Consoles/ACHIEVEMENT_TITLE_039,Spread the plague
Consoles/ACHIEVEMENT_TITLE_040,Anatomy Lesson
Consoles/ACHIEVEMENT_TITLE_041,Obstacle race
Consoles/ACHIEVEMENT_TITLE_042,Precious!
Consoles/ACHIEVEMENT_TITLE_043,Light of my life
Consoles/ACHIEVEMENT_TITLE_044,Dungeon Veteran
Consoles/ACHIEVEMENT_TITLE_045,"Play it again, Sam"
Consoles/ACHIEVEMENT_TITLE_046,You activated my trap card!
Consoles/ACHIEVEMENT_TITLE_047,Doom and gloom
Consoles/ACHIEVEMENT_TITLE_048,Pack leader
Consoles/ACHIEVEMENT_TITLE_049,Black death
Consoles/ACHIEVEMENT_TITLE_050,Pain is your friend
Consoles/ACHIEVEMENT_TITLE_051,Quad damage
Consoles/ACHIEVEMENT_TITLE_052,Pretty lights!
Consoles/ACHIEVEMENT_TITLE_053,The Cartographer
Consoles/ACHIEVEMENT_TITLE_054,Lara Who?
Consoles/ACHIEVEMENT_TITLE_055,Born Support
Consoles/ACHIEVEMENT_TITLE_056,Grin and bear it
Consoles/ACHIEVEMENT_TITLE_057,Now you see me...
Consoles/ACHIEVEMENT_TITLE_058,An axe to grind
Consoles/ACHIEVEMENT_TITLE_059,Pull out the big guns
Consoles/ACHIEVEMENT_TITLE_060,Crimson Tornado
Consoles/ACHIEVEMENT_TITLE_061,Murder Death Kill
Consoles/BUY_DLC,Buy
Consoles/COMMUNICATION_DISABLED_NOT_ALLOWED_REASON,"Sorry, you’re currently prevented from talking with this user."
Consoles/COMMUNICATION_DISABLED_SETTINGS_RESTRICTS_REASON,"Sorry, you’re currently prevented from talking with this user. Change your settings."
Consoles/COMMUNICATION_DISABLED_UNKNOWN_REASON,"Sorry, you’re currently prevented from talking with this user. Change your settings."
Consoles/COMMUNICATION_DISABLED_USER_IN_BLOCK_LIST_REASON,"Sorry, you’re currently prevented from talking with this user. Reason: user in blocklist."
Consoles/COMMUNICATION_DISABLED_USER_IN_MUTE_LIST_REASON,"Sorry, you’re currently prevented from talking with this user. Reason: user in mutelist."
Consoles/COMPENDIUM_AreaEffects_4_CONSOLE,"Some area effect attacks have a ranged attribute, allowing targeting of a group of enemies from afar. Only one of the red hexes needs to be within the range specified and it does not need to contain an enemy.)

You can only attack enemies in hexes you have line of sight to."
Consoles/CREATE_NEW_LOCAL_SAVE,This save is for multiplayer session. Do you want to create a private save on your console 
Consoles/CREATE_NEW_LOCAL_SAVE_BUTTON,Create New Private Save
Consoles/CREATE_NEW_SAVE_MESSAGE_TITLE,Create New Private Save
Consoles/DEFAULT_SAVE_NAME,Save
Consoles/DOWNLOAD_IN_PROGRESS_TEXT,Game files are being downloaded right now. You are not allowed to join multiplayer session until download is finished.
Consoles/DOWNLOAD_IN_PROGRESS_TITLE,Game download is in progress.
Consoles/Demolitionist_SKIN_ALT,Alternative skin
Consoles/ERROR_CORRUPTED_GLOBAL_DATA,We found your GlobalData file corrupted and fixed it. Some of your game settings were changed to default. You can now restore them as they were.
Consoles/ERROR_MULTIPLAYER_00117,"Multiplayer is unavailable, please check your internet connection."
Consoles/ERROR_SIGN_OUT_FROM_PSN_CLIENT,The Player has signed out from PlayStation™Network. Exiting Multiplayer and going to Main Menu.
Consoles/ERROR_SIGN_OUT_FROM_PSN_HOST,The Player has signed out from PlayStation™Network. Multiplayer session has been closed. Returning to single player mode.
Consoles/EULA_HEADER,TWIN SAILS INTERACTIVE END USER LICENSE AGREEMENT
Consoles/EULA_REJECT,You can not access the game unless you accept the END USER LICENSE AGREEMENT 
Consoles/FTUE_10_CONTROLLER,"Gloomhaven isn't known for its well-mannered folk and good Samaritans, but there's a lot to gain from its city streets... You can choose to <color=#EACF8C>partake in City Encounters</color> by entering Gloomhaven on map or or press {UI_SUBMIT} to select the entry in the Quest Log. (It's encouraged that you do this whenever you're in the city, as they often give good rewards)."
Consoles/FTUE_12_CONTROLLER,"The <color=#EACF8C>first Quest</color> Location is marked just north of Gloomhaven, you’ll see it flagged with a quest icon. As you progress more quest locations will appear across the map. To keep track of them you can use the Quest Log on the right hand side of the screen.
Select the Black Barrow’s location or use {UI_SUBMIT} to select the entry in the Quest Log."
Consoles/FTUE_2.2_CONTROLLER,Use {UI_PREVIOUS_TAB} to access the <color=#EACF8C>Party Panel</color>.
Consoles/FTUE_2_CONTROLLER,"On the left you’ll find the <color=#EACF8C>Party Panel</color>. Here you’ll see the basic information of the Mercenaries in your Party (at least, you will once you add your first Mercenary).
<b>Use {UI_PREVIOUS_TAB} to access the <color=#EACF8C>Party Panel</color>.<b>"
Consoles/FTUE_3.2_CONTROLLER,Use {UI_SUBMIT} to <color=#EACF8C>select the “New Mercenary” button</color> and create a character
Consoles/FTUE_3_CONTROLLER,"You’ll find all your Mercenaries and add them to the Party through the Roster Panel. Right now it’s looking as barren as the Copperneck Mountains, use {UI_SUBMIT} to <color=#EACF8C>select the “New Mercenary” button</color> and create your first character!"
Consoles/FTUE_5_CONTROLLER,"Next you'll choose one of the <color=#EACF8C>starting Character Classes</color>.
Each one has unique abilities and game style. As you progress you'll Level Up, earning new Ability Cards and unlock more Classes. But remember, looks aren’t everything; Merc’s Ability Cards are what define their actions in battle. Use {CREATOR_SHOW_ABILITY_CARDS} to <color=#EACF8C>select the “Starting Ability Cards”</color> button to make sure this is the right Mercenary for your party.
Once you are sure of your decision, use {UI_SUBMIT} to <color=#EACF8C>select the Mercenary</color> and move forward. "
Consoles/FTUE_7.2_CONTROLLER,"Use {UI_PREVIOUS_TAB} to access the <color=#EACF8C>Party Panel</color> and select the second character Slot
"
Consoles/FTUE_7_CONTROLLER,"Use {UI_PREVIOUS_TAB} to select the <color=#EACF8C>Second Character Slot</color> in the Party Panel and create a New Character.
Know that you can't have more than one Merc of the same character class in the party at the same time, so be sure to create a different one!"
Consoles/FTUE_9.2_CONTROLLER,Use {PREVIOUS_SHIELD_TAB} or {NEXT_SHIELD_TAB} to inspect the Town Options and access <color=#EACF8C>the Merchant's Shop</color>
Consoles/FTUE_9.3_CONTROLLER,"When ready, <color=#EACF8C>return to World Map</color>"
Consoles/GUI_ABILITY_FULLY_ENHANCED,This Ability is <color=#5FD6E5>fully Enhanced</color>
Consoles/GUI_APPLY_AND_LOAD,Apply & Load
Consoles/GUI_AUTOSAVE_EXPLANATION_CONSOLE,This application uses an auto-save feature. Please do not close your application when you see the auto-save icon.
Consoles/GUI_BATTLE_GOALS_TIP_CONTROLLER,Select a Battle Goal for each Mercenary before entering the Scenario
Consoles/GUI_BUY,Buy
Consoles/GUI_CANCEL,Cancel
Consoles/GUI_CHARACTER_INVALID_NAME,Invalid character name
Consoles/GUI_CHARACTER_NAME_SIX_DIGITS,Mercenary name can't contain more than 6 digits
Consoles/GUI_CITY_QUEST_DESCR,Go to Gloomhaven
Consoles/GUI_CITY_QUEST_TITLE,New
Consoles/GUI_CONFIRMATION_KEYBOARD_MOUSE_ONLY,Please switch input device to access selected option
Consoles/GUI_CONFIRMATION_KEYBOARD_MOUSE_ONLY_HEADER,This option only available with Mouse/Keyboard controls
Consoles/GUI_CONFIRMATION_KEYBOARD_MOUSE_ONLY_SWITCH_INPUT,Switch Input
Consoles/GUI_COST,Cost
