Keys,"English [en-GB]"
GUI_QUEST_REWARD_EnhancementSlots,"Gain {0} Enhancement Slot"
GUI_QUEST_REWARD_GAIN_EXCLUDEPREVIOUSCHARACTER,"All other characters gain {0} collective gold"
GUI_QUEST_REWARD_GAIN_GOLDBAG,"One character gains {0} Gold"
GUI_QUEST_REWARD_GlobalAchievement,"Gain Global Achievement"
GUI_QUEST_REWARD_GoldEach,"{0} Each"
GUI_QUEST_REWARD_ItemStock,"{0} Design"
GUI_QUEST_REWARD_LOSE_EXCLUDEPREVIOUSCHARACTER,"All other characters lose {0} collective gold"
GUI_QUEST_REWARD_LOSE_GOLDBAG,"One character loses {0} Gold"
GUI_QUEST_REWARD_Loot_Item,"{0} loots {1} "
GUI_QUEST_REWARD_LoseItem,"Lose 1 {0}"
GUI_QUEST_REWARD_Multiplayer,"Multiplayer Mode"
GUI_QUEST_REWARD_NONE,"Unclaimed"
GUI_QUEST_REWARD_PERKPOINT_Unlocked,"New Perk Unlocked!"
GUI_QUEST_REWARD_PartyAchievement,"Gain Party Achievement"
GUI_QUEST_REWARD_Perk,"Gain Perk"
GUI_QUEST_REWARD_PerkCheck,"{0} Perk Point"
GUI_QUEST_REWARD_PerkPoint,"Gain Perk"
GUI_QUEST_REWARD_PerkPoints,"Gain {0} Perk"
GUI_QUEST_REWARD_Prosperity,"{0} Prosperity"
GUI_QUEST_REWARD_Reputation,"{0} Reputation"
GUI_QUEST_REWARD_RoadEvent,"Unlock Road Event"
GUI_QUEST_REWARD_Unlock,"Unlock {0}"
GUI_QUEST_REWARD_UnlockChapter,"Unlock Chapter {0}"
GUI_QUEST_REWARD_UnlockCharacter,"Unlock"
GUI_QUEST_REWARD_UnlockEnhancer,"Unlock Enchantress"
GUI_QUEST_REWARD_UnlockQuest,"Unlock Quest"
GUI_QUEST_REWARD_UnlockRelicQuest,"Unlock Relic Quest"
GUI_QUEST_REWARD_Unlocked,"{0} Unlocked"
GUI_QUEST_SELECTED_BY_HOST,"<color=#FCC954FF>This Quest has been selected by the Host.</color>"
GUI_QUEST_SELECT_BLOCKED,"You cannot start a Quest while a Mercenary with a completed Personal Quest is in the Party."
GUI_QUEST_STARTING_LOCATION_MISSING,"This quest requires a starting village"
GUI_QUEST_TREASURES,"Treasures"
GUI_QUEST_TREASURES_REWARD,"{0} Treasure Chest"
GUI_READY,"Ready up!"
GUI_READY_TOWN_RECORDS,"Town Records"
GUI_REDRAW_CARD,"Redraw <color=""red"">(<sprite name=""Attack"" tint=1 >1 Self)"
GUI_REFRESH_ITEMS_TIP,"Refresh item"
GUI_REFRESH_ITEMS_TITLE,"Choose an item to refresh"
GUI_REFRESH_MODS,"Refresh Mods"
GUI_REMOVE,"Remove"
GUI_REMOVE_PLAYER,"Remove Player"
GUI_RENOWN,"Renown"
GUI_REPLAY_LOCATION,"Replay Quest"
GUI_REPLY,"Replay"
GUI_REPORT_SOFTLOCK,"Report Soft Lock"
GUI_REPORT_SOFTLOCK_DESCR,"<size=90%>If you are quitting due to a <color=#EACF8C>Soft Lock</color>, please report it first"
GUI_RESET,"Reset"
GUI_RESET_CHARACTER_LEVEL,"Reset Mercenary"
GUI_RESET_CHARACTER_LEVEL_CONFIRMATION,"Reset Abilities"
GUI_RESET_CHARACTER_LEVEL_TOOLTIP,"<color=#CEAD5A>Reset Mercenary</color> returns a Mercenary's Mastered Abilities and Perks to the starting set and allows you to rebuild a character from level 1 up to their current level.
Reset Mercenary will not affect the Mercenary's current XP."
GUI_RESET_PARTY,"Reset Party"
GUI_RESTART,"Restart"
GUI_RESTART_ROUND,"Restart Round"
GUI_RESTART_ROUND_GAMEMODE_TOOLTIP,"You cannot restart the round during the tutorial."
GUI_RESTART_ROUND_MP_HOST_TOOLTIP,"Only the host can restart the round"
GUI_RESTART_ROUND_PHASE_TOOLTIP,"You can restart the round at the start of the round or on your mercenaries turn during action selection"
GUI_RESTART_ROUND_WHILE_PLAYERS_JOINING_MP_TOOLTIP,"There are players currently joining the session. Restarting the round is prevented for the duration."
GUI_RESTART_TURN,"Restart Turn"
GUI_RESULTS_ACCOMPLISHMENTS,"Accomplishments"
GUI_RESULTS_CHESTS,"Chests Looted"
GUI_RESULTS_DAMAGE_DONE,"Damage Done"
GUI_RESULTS_DAMAGE_TAKEN,"Damage Taken"
GUI_RESULTS_ENEMIES,"Enemies Killed"
GUI_RESULTS_EXHAUSTIONS,"Exhaustions"
GUI_RESULTS_GOLD,"Gold Piles Looted"
GUI_RESULTS_HEALING,"Healing Done"
GUI_RESULTS_HIGHEST,"Highest Score"
GUI_RESULTS_HIGHEST_SCORE_HIGHLIGHT,"Record!"
GUI_RESULTS_ITEMS_SPENT,"Items Used"
GUI_RESULTS_LOSE,"Defeat"
GUI_RESULTS_OBJECTIVE,"Objective"
GUI_RESULTS_REWARD,"Claim your Reward!"
GUI_RESULTS_STATS,"Stats"
GUI_RESULTS_TOTAL,"Total"
GUI_RESULTS_WIN,"Victory!"
GUI_RESULTS_WINRATE,"Scenario Winrate"
GUI_RESULTS_XP,"Ability XP Earned"
GUI_RESULT_LOSE_EXIT,"Return To Map"
GUI_RESULT_WIN_EXIT,"Return To Map"
GUI_RESUME,"Resume"
GUI_RESUME_CAMPAIGN,"Resume Campaign"
GUI_RESUME_LOCKED_TOOLTIP,"You must have save data to resume your game"
GUI_RETIRED_STATE,"Retired"
GUI_RETIREMENT,"Retirement"
GUI_RETIREMENT_CANCEL_SELECTED_QUEST_CONFIRMATION,"One of the Mercenaries in your party has completed his or her Personal Quest. The Mercenary must retire before you can continue."
GUI_RETIRE_CHARACTER_DESC,"All items the Mercenary owned will return to the Merchant's shop supply, and all the gold the character has will be gone"
GUI_RETRY,"Retry"
GUI_REWARD_TRAP,"Trap!"
GUI_REWARD_TREASURE,"Treasure Chest Found!"
GUI_ROUND_BONUSES,"Round Bonuses"
GUI_SANDBOX,"Sandbox"
GUI_SCENARIO_MOD_ADD_CONDITIONS_TO_ABILITIES,"All abilities will add {0}"
GUI_SCENARIO_MOD_ADD_CONDITIONS_TO_ABILITIES_FILTERED_ABILITY_TYPE,"All {0} abilities will add {1}"
GUI_SCENARIO_MOD_ADD_CONDITIONS_TO_ABILITIES_FILTERED_ABILITY_TYPE_ACTOR,"All {0} abilities will add {1}, for {2}"
GUI_SCENARIO_MOD_SET_ELEMENTS_ALL,"{0} will be set to Strong, {1} will be set to Waning, and {2} will be set to Inert at {3}
"
GUI_SCENARIO_MOD_SET_ELEMENTS_INERT,"{0} will be set to Inert at {1}
"
GUI_SCENARIO_MOD_SET_ELEMENTS_STRONG,"{0} will be set to Strong at {1}
"
GUI_SCENARIO_MOD_SET_ELEMENTS_STRONG_INERT,"{0} will be set to Strong, {1} will be set to Inert at {2}
"
GUI_SCENARIO_MOD_SET_ELEMENTS_STRONG_WANING,"{0} will be set to Strong, {1} will be set to Waning at {2}
"
GUI_SCENARIO_MOD_SET_ELEMENTS_WANING,"{0} will be set to Waning at {1}
"
GUI_SCENARIO_MOD_SET_ELEMENTS_WANING_INERT,"{0} will be set to Waning, {1} will be set to Inert at {2}
"
GUI_SCENARIO_MOD_TRIGGER_ABILITY,"{0} ability will be triggered at {1}
"
GUI_SCENARIO_MOD_TRIGGER_END_ROUND,"End of Round"
GUI_SCENARIO_MOD_TRIGGER_END_TURN,"End of Turn"
GUI_SCENARIO_MOD_TRIGGER_START_ROUND,"Start of Round"
GUI_SCENARIO_MOD_TRIGGER_START_TURN,"Start of Turn"
GUI_SCENARIO_UNKNOWN,"This area is yet to be explored.
Dare you blindly scout this territory?"
GUI_SCERNARIO_FAILED,"Scenario Failed"
GUI_SELECT,"Select"
GUI_SELECT_CHARACTER,"Select Character"
GUI_SELECT_CHARACTERS,"Select Characters"
GUI_SELECT_ITEM,"Select Item"
GUI_SELECT_QUEST,"Select Quest"
GUI_SELECT_QUEST_TIP,"As Host, select a Quest to suggest to the party"
GUI_SELL,"Sell"
GUI_SELL_CONFIRMATION_TITLE,"Sell Item"
GUI_SELL_ENHANCEMENT_CONFIRMATION_TITLE,"Sell Enhancement"
GUI_SENDING_ERROR_REPORT,"Sending Error Report... Please wait"
GUI_SEND_ERROR_REPORT,"Send Error Report"
GUI_SHORT_REST,"Short Rest"
GUI_SHORT_REST_CONFIRMATION,"Perform Short Rest"
GUI_SIDE_QUEST,"Side Quest"
GUI_SKIN_OFF_TOOLTIP,"Default skin"
GUI_SKIN_ON_TOOLTIP,"Alt skin active"
GUI_SKIP,"Skip"
GUI_SKIP_ABILITY,"Skip Ability"
GUI_SKIP_ACTION,"Skip Action"
GUI_SKIP_ATTACK,"Skip Attack"
GUI_SKIP_FTUE,"Skip Tutorial"
GUI_SKIP_MISSION,"Skip Mission"
GUI_SKIP_MOVEMENT,"Skip Movement"
GUI_SKIP_PULL,"Skip Pull"
GUI_SKIP_PUSH,"Skip Push"
GUI_SOLO_QUEST,"Solo Quest - {0}"
GUI_SOLO_QUEST_COMPLETED_UNAVAILABLE_REWARDS,"Item is only rewarded for a new mercenary that completes this scenario"
GUI_SPAWNER,"Spawner"
GUI_SPAWNER_INFORMATION,"Next Round"
GUI_SPEED_UP_TOOLTIP,"<size=+2><color=#EACF8C>Fast Forward</color></size>
Press to increase animation speed"
GUI_STADIA_FRIENDS,"Friends"
GUI_START,"Start"
GUI_STARTING_PERK_POINTS,"Starting Perks"
GUI_STARTING_PERK_POINTS_TOOLTIP,"<size=+2><color=#EACF8C>Starting Perks</color></size>
The number of starting perks any future generated mercenary will receive is equal to one plus the highest number of starting perks a retired mercenary had."
GUI_START_CAMPAIGN,"Start Campaign"
GUI_START_MULTIPLAYER_WRONG_PHASE_TOOLTIP,"Start Multiplayer is only available during the Card Selection Phase or on the World Map"
GUI_START_ROUND_BANNER,"Round {0}"
GUI_STATS,"Base Stats"
GUI_STEAM_FRIENDS,"Friends"
GUI_SUBMIT,"Submit"
GUI_SUMMONED_ALLIES,"Summoned Allies"
GUI_SUMMON_CARD,"Hero Summon"
GUI_SWAP_CHARACTERS_POSITIONS_TIP,"Select {0}/2 characters to swap positions"
GUI_SWAP_ENEMY_POSITIONS_TIP,"Select {0}/2 enemies to swap positions"
GUI_SWAP_POSITION_TIP,"Swap the {0}'s position with the {1}"
GUI_ScenarioGoldCollected,"The amount of gold collected from this scenario."
GUI_StonePummel_Bottom_HelpBoxTooltip,"<color=#899538FF>Stone Pummel:</color> Destroy an adjacent Obstacle to add +3 Attack"
GUI_TAKE_DAMAGE,"Receive Damage"
GUI_TAKE_DAMAGE_BURN,"Burn 1 Available Card"
GUI_TAKE_DAMAGE_DISCARD,"Burn 2 Discarded Cards"
GUI_TAKE_DAMAGE_TOOLTIP,"Choose to lose Health over Burning Cards"
GUI_TEMPLE_BLESS_UNAVAILABLE,"Mercenary Blessed"
GUI_TEMPLE_CONFIRM,"Donate"
GUI_TEMPLE_CONFIRMATION,"<color=#{1}>{0} <sprite name=""{2}"" color=#{1}></color> gains x2 <sprite name=""Bless""><color=#A78634>Bless</color> Modifiers for the next Quest"
GUI_TEMPLE_CONFIRMATION_TITLE,"Give Donation"
GUI_TEMPLE_DESCRIPTION,"Donate to the Temple of the Great Oak and receive x2 <font=""MarcellusAlt SDF""><color=#A78634>Bless</color></font> <sprite name=""Bless""> Modifiers for the next Quest."
GUI_TEMPLE_DEVOTION_LEVEL,"Your continued donations have been a true boon to the Sanctuary and to the city as a whole. This will surely have a noticeable impact on the city, but, rest-assured, we could always use additional aid."
GUI_TOOLTIP_ABILITY_CHOOSING_1,"Activate one half of either card"
GUI_TOOLTIP_ABILITY_CHOOSING_2,"Activate alternate half of remaining card"
GUI_TOOLTIP_ACTIVEBONUS_TARGET_SELECTION_137,"Choose target to add +3 Attack <sprite name=Attack>"
GUI_TOOLTIP_ADDITIONAL_TARGET_EFFECT,"<color=#A050E0>{0}:</color> Select additional targets"
GUI_TOOLTIP_ADD_DOOM,"Playing a Doom will remove any other active Dooms and discard them."
GUI_TOOLTIP_ADD_TARGET_MODIFIER,"Add Target Modifier"
GUI_TOOLTIP_ADD_TARGET_MODIFIER_TIP,"As part of the attack you have drawn an ""Add Target"" modifier. Choose an additional target in a valid hex to attack"
GUI_TOOLTIP_ATTACK_MODIFIERS,"Attack Modifier Deck: Whenever the character attacks, one of the remaining modifiers is drawn and the attack result is modified accordingly. Pips indicate the number of cards in the deck and currently available"
GUI_TOOLTIP_CHOOSE_DOOM_DISCARD,"Choose two Dooms to inflict on the target. The other will be discarded."
GUI_TOOLTIP_CHOOSE_DOOM_TRANSFER,"Choose one Doom to transfer to another enemy. The other will be discarded."
GUI_TOOLTIP_CONSUMING_AVAILABLE,"Click here to augment this action, consuming the element in the process."
GUI_TOOLTIP_CONSUMING_CLICKED,"This action will be augmented. Click the Augment toggle to cancel and free up the element"
GUI_TOOLTIP_CONSUMING_DISABLED,"This action can be augmented by consuming element(s). You can only do this during the character's turn, and only if the required element has already been infused."
GUI_TOOLTIP_CONSUMING_UNAVAILABLE,"This action can be augmented by consuming element(s). First, infuse the required element(s) by using certain other actions."
GUI_TOOLTIP_DEAL_DAMAGE,"Choose to Take Damage, Burn 1 Available card or Burn 2 Discarded Cards"
GUI_TOOLTIP_DEAL_DAMAGE_COMPANION,"Choose to Deal Damage to the {0}, Burn 1 of the {1}'s Available Cards or Burn 2 of his Discarded Cards"
GUI_TOOLTIP_DEAL_DAMAGE_MANDATORY_USE,"must be used if damage is remaining"
GUI_TOOLTIP_DEAL_DAMAGE_MP,"{0} has to choose how to take damage"
GUI_TOOLTIP_DEAL_DAMAGE_SUMMON,"Choose for your summon to take damage or prevent it"
GUI_TOOLTIP_DEAL_DAMAGE_SUMMON_TITLE,"Summon Deal Damage Phase"
GUI_TOOLTIP_DISTRIBUTE_HEALTH,"Reassign damage from yourself and summoned allies"
GUI_TOOLTIP_ELEMENT_INERT,"There are currently no elements available for use. Elements can be infused using certain actions."
GUI_TOOLTIP_ELEMENT_INFUSING,"Element Infusing. This element is available for use after the current character's turn ends."
GUI_TOOLTIP_ELEMENT_STRONG,"Element Strong. This element is available to be used for the rest of this round and the whole of the next round. Once used, it is unavailable for other characters."
GUI_TOOLTIP_ELEMENT_WANING,"Element Waning. This element can be used for the rest of this round. Once used, it is unavailable for other characters."
GUI_TOOLTIP_EXTRA_TURN,"Choose two cards to play immediatly"
GUI_TOOLTIP_EXTRA_TURN_BOTH_ACTIONS_LATER,"Select an Ability with a higher initiative than {0}"
GUI_TOOLTIP_EXTRA_TURN_BOTH_ACTIONS_LATER_SECOND_CARD,"Select a second Ability (you cannot alter the initiatve order)"
GUI_TOOLTIP_EXTRA_TURN_BOTTOM_ACTION,"Choose one card and immediatly play its bottom half"
GUI_TOOLTIP_EXTRA_TURN_TOP_ACTION,"Choose one card and immediatly play its top half"
GUI_TOOLTIP_FORGO_ACTIONS_FOR_COMPANION,"Forgo the top and/or bottom actions of your turn to increase the Bear's attack and/or movement"
GUI_TOOLTIP_GAMEPAD_BURN_1_ABILITY_CARD,"Use {0} to select 1 of the remaining Ability Cards"
GUI_TOOLTIP_GAMEPAD_BURN_2_DISCARDED_ABILITY_CARDS,"Use {0} to select 2 of the Discarded Ability Cards"
GUI_TOOLTIP_GAMEPAD_DISTRIBUTE_HEALTH,"Use {0} to Reassign Damage from yourself and summoned allies"
GUI_TOOLTIP_GAMEPAD_FOCUS_ABILITY_CARDS,"Tap {0} to inspect the Mercenary's Ability Cards"
