Keys,"English [en-GB]"
EVENT_ROAD_CAMPAIGN_7_INTRO,"Walking along the edge of a forest, you begin to hear strange, unfamiliar sounds coming from beyond the trees. You stop and listen closer. 

There's a rhythm to the sounds, and with that established, you begin to pick out different human voices in the mix. You'd venture to say that the noise vaguely sounds like chanting.  "
EVENT_ROAD_CAMPAIGN_7_OPTION_A,"Head into the forest to investigate the chanting. "
EVENT_ROAD_CAMPAIGN_7_OPTION_B,"Keep moving on down the road. No need to get mixed up in whatever is going on.  "
EVENT_ROAD_CAMPAIGN_7_RESULT_A,"You quietly move through the forest toward the noise. Eventually you come upon a clearing where you see a circle of cultists performing some strange ritual. One of them notices you and shouts to the others. The situation devolves into a bloody battle. You are, of course, victorious, but it saps some of your strength. "
EVENT_ROAD_CAMPAIGN_7_RESULT_B,"Without a second thought, you get back onto the main road and continue moving toward your destination. "
EVENT_ROAD_CAMPAIGN_8_INTRO,"You see a lone man walking toward you on the road. As you meet on the path, he turns to you and begins to speak.

""Oi there. I wouldn't suppose you lot might spare me some coin?"" he asks. ""A lotta coin, actually.""

You look at him quizically as he continues. ""You see, I lead a lotta thieves and bandits in this area and we gotta make sure all the mouths are fed.""

At this, a large number of bandits come out of hiding around you, emerging from the bushes. 

""So about that coin,"" the man says with a smile. ""Five gold per head oughta do it."""
EVENT_ROAD_CAMPAIGN_8_OPTION_A,"Pay the thieves."
EVENT_ROAD_CAMPAIGN_8_OPTION_B,"Resist the robbery, killing as many thieves as you can. "
EVENT_ROAD_CAMPAIGN_8_RESULT_A,"You sigh, and hand over what coins you have.

The man maintains his grin. ""Well, thank you kind sirs. It was a pleasure meeting you, and have a pleasant day!""

The bandits move off in one direction as you continue in the other.  "
EVENT_ROAD_CAMPAIGN_8_RESULT_B,"Unfazed by the ambush, you draw your weapons and attack the bandits in the bushes. The leader tries to withdraw, but you cut him down as well. There are a lot of bandits, but they don't put up too much of a fight. They seem weak and malnourished. You guess the leader wasn't kidding about needing to buy food. "
EVENT_ROAD_CAMPAIGN_9_INTRO,"Walking through a stretch of lowlands, you see a man in armor sitting against a large boulder. As you get closer, you see he is bleeding from his side. 

""Ah, what luck,"" he says. ""I got separated from my detail and then had an unfortunate run-in with a bear. I'm afraid I no longer have the strength to stand.""

He looks at you imploringly. ""You wouldn't happen to have a potion or something you would be willing to give me? I just need a little extra energy to make it back to Gloomhaven."""
EVENT_ROAD_CAMPAIGN_9_OPTION_A,"Help out the guard. "
EVENT_ROAD_CAMPAIGN_9_OPTION_A_UNAVAILABLE,"No small items equipped"
EVENT_ROAD_CAMPAIGN_9_OPTION_B,"Claim you have no aid to give and move on. "
EVENT_ROAD_CAMPAIGN_9_RESULT_A,"You happily oblige the request, letting the man partake some of your supplies. He slowly stands up, thanks you, and then heads toward Gloomhaven as you head in the opposite direction. "
EVENT_ROAD_CAMPAIGN_9_RESULT_B,"You adopt an expression of regret and apologize for a lack of supplies. You then quickly move on your way as he shouts at your back. 

""But... please! You're not just going to leave me here, are you?"""
EVENT_RopeBridge,"The path leads you to a ravine, with a rickety old rope bridge as the only way across as far as you can see. The ropes look very worn and the wooden planks rather rotten, but looking for another way across looks like it could take quite some time."
EVENT_RopeBridge_A,"Cross the rope bridge"
EVENT_RopeBridge_AnotherWay,"You're in luck! Not too far along the edge of the ravine you find a large tree has fallen to form a makeshift bridge across thanks to a storm. It appears to be far more sturdy than the rotten rope bridge, so you make your way across without issue."
EVENT_RopeBridge_AnotherWay_Gained,"You walk and walk for the rest of the day and still do not find a way across. As dusk falls you finally find the end of the ravine, allowing you to cross over and make the long walk back to the path on the other side, so exhausted by this unexpected detour that you feel a headache coming on."
EVENT_RopeBridge_B,"Try to find another way across"
EVENT_RopeBridge_Cross,"The rope bridge creaks and sways precariously under your weight with each step, but nonetheless holds and you make it to the other side without issue. You breathe a sigh of relief and continue with your journey."
EVENT_RopeBridge_Cross_Lost,"The rope bridge creaks and sways precariously under your weight with each step. You nearly make it across when it suddenly one of the planks snaps and you fall from the bridge!

You just manage to catch one of the ropes that held the plank before you would fall into the ravine – but a small pouch of gold flies from your belt and disappears into the darkness below.

You pull yourself up and cautiously make it the rest of the way to the other side. You breathe a sigh of relief after such a close call and continue with your journey."
EVENT_ShadowsontheWall,"The road you are on leads you to a narrow cliffside path. As the only route in sight to reach the bottom, you begin your descent."
EVENT_ShadowsontheWall_A,"Descend"
EVENT_ShadowsontheWall_Descent,"You notice the cliff face here is becoming smoother as you descend. Mysterious etchings and carvings start to emerge as you examine the wall. They begin to morph into shadows that swirl and dance about the surface, seemingly leading you along the wall to a spot on the ground.

Tucked into a small alcove at the base of the wall lies an urn, with a small quantity of coins inside."
EVENT_ShadowsontheWall_Descent_A,"Make an offering"
EVENT_ShadowsontheWall_Descent_A_Subtext,"(Lose ¬ShadowsOnTheWall_Offering.GoldAmount¬ Gold)"
EVENT_ShadowsontheWall_Descent_B,"Take the gold"
EVENT_ShadowsontheWall_Descent_C,"Carry on walking"
EVENT_ShadowsontheWall_Leave,"Unnerved by the magic at work here, you decide to press on without interfering."
EVENT_ShadowsontheWall_Offering,"The shadows dance excitedly as you make the offering, before calming and fading away. You sense that your offering has not gone unnoticed..."
EVENT_ShadowsontheWall_Take,"The shadows freeze in place as you take the coins from the urn, before taking the loose form of a menacing face which sends a chill down your spine. In the blink of an eye, the shadows and the smooth wall vanish, leaving behind only the rough cliff face with no sign of the urn you took the gold from.

You continue down the path with a bad feeling niggling away at the back of your mind..."
EVENT_StrungUp,"Up ahead you see a Quatryl suspended from a tree by his ankles, above a smoldering pile of broken laboratory equipment. As you approach he notices you and cries out:

'Hey, you there, travelers! Help a poor alchemist out, would you?'"
EVENT_StrungUp_A,"Ask him what happened"
EVENT_StrungUp_AskHim,"I was brewing up some potions using an untested catalyst...'

He gestures towards the assortment of broken vials and tubes on the floor beneath him.

'...when the mixture reacted rather explosively and set off my Net Shooter! Next thing I know I'm hanging upside down from this tree! Any chance you could cut me down?'"
EVENT_StrungUp_AskHim_A,"Attempt to help him"
EVENT_StrungUp_AskHim_B,"Rob him"
EVENT_StrungUp_AskHim_C,"Leave him be"
EVENT_StrungUp_B,"Attempt to help him"
EVENT_StrungUp_C,"Rob him"
EVENT_StrungUp_D,"Leave him be"
EVENT_StrungUp_HelpHim,"You cut the rope and the Quatryl manages to land gracefully on the ground.

'Thank you kindly! Not too many folks travelling in these parts nowadays, was scared I'd be up there for days, or worse still...'

You bid each other farewell and continue down the road."
EVENT_StrungUp_HelpHim_Gained,"You cut the rope and the Quatryl manages to land gracefully on the ground.

'Thank you kindly! Not too many folks travelling in these parts nowadays, was scared I'd be up there for days, or worse still...'

He reaches into one of the many pouches fastened about his waist and pulls out a small handful of coins.

'Here, a small token of my appreciation!'

You bid each other farewell and continue down the road."
EVENT_StrungUp_Leave,"The ensnared Quatryl unleashes a torrent of insults and profanities as you coldly turn and walk away without helping."
EVENT_StrungUp_RobHim,"The ensnared Quatryl unleashes a torrent of insults and profanities as you search through the debris on the ground below him.

The equipment appears to have been ruined by a recent experiment gone wrong, and you find nothing of use. You leave the fuming Quatryl to his fate."
EVENT_StrungUp_RobHim_Gained,"The ensnared Quatryl unleashes a torrent of insults and profanities as you search through his pack on the ground below him.

The equipment appears to have been ruined by a recent experiment gone wrong, but you do find an intact potion before leaving the fuming Quatryl to his fate."
EVENT_StrungUp_Unavailable,"We will not steal from a fellow Quatryl!"
EVENT_The WomanoftheWoods,"As you continue along your path, an old woman steps out of the trees and blocks your path. She is dressed in ragged clothing, and has a rusty necklace around her neck.

""Greetings travellers,"" she says. ""I sense you are in need of aid on your quest, and perhaps I can grant you a boon. Tell me, what is it that you need most?"""
EVENT_The WomanoftheWoods_A,"Answer ""Gold"""
EVENT_The WomanoftheWoods_B,"Answer ""Knowledge"""
EVENT_The WomanoftheWoods_C,"Answer ""Power"""
EVENT_The WomanoftheWoods_D,"Leave"
EVENT_The WomanoftheWoods_GotGold,"""How predictable you are!"" she cackles.

She waves her hands and a small pile of gold appears on the ground beside you. You scoop it up and turn again to face the woman – only to find that she has disappeared. You continue down the path, coins jingling in your pocket."
EVENT_The WomanoftheWoods_GotPower,"She smiles a toothless grin, and snaps her fingers and vanishes. You suddenly feel full of energy, all aches and pains gone in an instant. Freshly invigorated, you journey onwards."
EVENT_The WomanoftheWoods_GotXP,"""A wise choice indeed!"" she replies. She waves her hands and you fall to the floor, blacking out. When you wake up, the woman is nowhere to be seen, but you feel your skills have improved."
EVENT_The WomanoftheWoods_Leave,"Wary of strange old women that suddenly jump out of the treeline at you, you decide not to answer her and hastily leave the area."
EVENT_TheFunGuy,"Walking through a wooded glade, you notice something buried in the undergrowth. Upon closer inspection, you see that it is the body of an Inox face down on the ground, clearly long dead. Mushrooms have begun sprouting in clusters all over the decomposing body, and it is giving off a foul stench.

Looking for anything of value on the corpse, you see that the majority of the Inox's gear is far too rotten to be of any use. His boots, however, look potentially salvageable."
EVENT_TheFunGuy_A,"Take off the boots"
EVENT_TheFunGuy_B,"Leave the corpse be"
EVENT_TheFunGuy_NoBootsForYou,"Unwilling to risk contamination, you decide to leave the corpse be."
EVENT_TheFunGuy_TryTakingBoots,"You manage to slip the boots off of the corpse, but they are rotten through and disintegrate in your hands. Unable to bear the stench of the corpse any longer, you hurriedly leave the area."
EVENT_TheFunGuy_TryTakingBoots_Gold,"You manage to slip the boots off of the corpse, but they are rotten through and disintegrate in your hands. Intent on leaving, you toss the sodden boots aside, when you notice a small pouch tied around the corpse's ankle.

With great care, you open the pouch and find a few gold pieces inside! Unable to bear the stench of the corpse any longer, you take the gold and hurriedly leave the area."
EVENT_TheFunGuy_TryTakingBoots_Poison,"As you remove the boots, they begin to fall apart, and large chunks of putrid flesh from the Inox's feet come off with them. A cloud of spores ejects from the mushrooms disturbed by your removal of the boots and engulfs the party.

You are overwhelmed with a feeling of nausea and jump back from the corpse, but it is too late – you are poisoned. You toss the sodden boots aside and continue through the glade, feeling awful."
EVENT_TheLongDead,"The path is getting less and less distinct as you traverse through the thick forested area. After a while you come to the conclusion that you must have taken a wrong turn, and attempt to find your way back to the path.

Whilst searching for the path, you happen upon the remains of an old campfire in a small clearing, surrounded by the skeletal remains of several bodies on the ground. Whatever happened here happened quite some time ago."
EVENT_TheLongDead_A,"Search the bodies"
EVENT_TheLongDead_B,"Leave"
EVENT_TheLongDead_Leave,"Sick of being lost and keen to find your way back, you leave the skeletons be and resume your search for the path."
EVENT_TheLongDead_Search,"Anything of value these skeletons might have once had has long since rotted and rusted away. Sick of being lost and keen to find your way back, you leave the skeletons and resume your search for the path."
EVENT_TheLongDead_Search_Gained_Damage,"You crouch down beside one of the skeletons to search for anything of value when you hear a creaking sound behind you. You turn just in time to avoid taking a rusty sword to the face courtesy of some Living Bones! The skeletons have risen up from the ground to slay those that would dare disturb their slumber.

You defeat the reanimated remains with several well timed strikes, but not before taking a few hits from their surprise attack.

Unfortunately, their gear is corroded beyond the point of being worth taking, so you resume your search for the path, limping slightly."
EVENT_TheLongDead_Search_Gained_Gold,"The majority of whatever these skeletons might have once had has long since rotted and rusted away, however you do manage to find a withered pouch of coins that has managed to stand the test of time!"
EVENT_TheLongDead_Search_Gained_Item,"The majority of whatever these skeletons might have once had has long since rotted and rusted away, however you do manage to find a small item that has managed to stand the test of time!"
EVENT_TheOldWell,"You discover an old well at the side of the road. Some folk believe that dropping some coins in will grant good luck."
EVENT_TheOldWell_A,"Toss in some coins"
EVENT_TheOldWell_A_Subtext,"(Lose ¬TheOldWell.GoldAmount¬ gold)"
EVENT_TheOldWell_B,"Leave well alone"
EVENT_TheOldWell_CoinsDropped,"The coins make a satisfying series of plops as they reach the water at the bottom of the old well. You can't help but feel that you've fallen prey to  foolish superstition. You continue down the road feeling no luckier than before."
EVENT_TheOldWell_CoinsDropped_Gained_Bless,"As soon as the coins slip through your fingers, you feel as if a great burden has been lifted from your shoulders.

Feeling blessed, you journey on."
EVENT_TheOldWell_CoinsDropped_Gained_Item,"Before you even hear the coins reach the bottom, you notice that there is a knapsack on the other side of the well! Whoever left it behind is long gone now, so you help yourself to its contents.

Was it there the whole time? No way to know for sure..."
EVENT_TheOldWell_Leave,"You journey on, content with your coins still jingling in your pocket."
EVENT_TheShrine,"At a crossroads you see an ornate wooden shrine, with a slot for passing travellers to make offerings of gold in the hope of receiving a blessing."
EVENT_TheShrine_A,"Make a small offering"
EVENT_TheShrine_A_Subtext,"(Lose ¬TheShrine_Small.GoldAmount¬ gold)"
EVENT_TheShrine_B,"Make a reasonable offering"
EVENT_TheShrine_B_Subtext,"(Lose ¬TheShrine_Medium.GoldAmount¬ gold)"
EVENT_TheShrine_C,"Make a large offering"
EVENT_TheShrine_C_Subtext,"(Lose ¬TheShrine_Large.GoldAmount¬ gold)"
EVENT_TheShrine_D,"Smash the shrine and take the gold"
EVENT_TheShrine_E,"Leave"
EVENT_TheShrine_Large,"You put a generous amount of coins into the slot, and wait...

Nothing seems to happen at first, but you soon feel the warmth of the sun shining down upon you. Filled with a sense of rejuvenation from the sunlight, you turn to continue down the road – when you suddenly notice a potion atop the shrine that you are certain was not there before.

Taking the potion to be a reward for your generosity, you pick it up and journey onwards, pleased that your offering seems to have been appreciated."
EVENT_TheShrine_Leave,"You decide not to make an offering and continue on your way."
EVENT_TheShrine_Medium,"You put a fair amount of coins into the slot, and wait...

Nothing seems to happen at first, but you soon feel the warmth of the sun shining down upon you. Filled with a sense of rejuvenation from the sunlight, you continue down the road, pleased that your offering seems to have been appreciated."
EVENT_TheShrine_Small,"You put a meagre amount of coins into the slot, and wait... but nothing happens.

You continue down the road, wondering whether you might have been rewarded had you been more generous."
EVENT_TheShrine_Smash,"The shrine is well-made and does not break easily, but it eventually succumbs to your attacks and splits open, spilling coins onto the floor in front of you.

You quickly gather up the coins and continue down the path, noticing a sudden chill in the air that causes you to shudder. You can't help but wonder whether your dishonourable act perhaps did not go unnoticed..."
EVENT_TheStorm,"As you make your way along the path, the clouds darken overhead and it begins to rain. Within moments, you find yourself in the midst of a full blown storm, complete with resounding thunderclaps and flashes of lightning.

You notice through the torrential downpour that the lightning appears to be striking the same spot repeatedly."
EVENT_TheStorm_A,"Investigate"
EVENT_TheStorm_B,"Seek shelter"
EVENT_TheStorm_Bridge,"It's cold and muddy under the bridge, but it at least offers you safety from the storm. You look over to the large tree you nearly considered to use as shelter, just as it is struck by lightning and explodes!

You breathe a great sigh of relief for having chosen the sensible option, and reflect upon your experience as you wait out the storm."
EVENT_TheStorm_Investigate,"You approach the spot where the lightning seems to be focused, catching a glimpse of a metallic object protruding from the ground in the flash from a lightning strike. It seems that this object is acting as a lightning rod, attracting the strikes with unusual consistency for something so small – it could quite possibly be an artefact with magical properties."
EVENT_TheStorm_Investigate_A,"Attempt to take the object"
EVENT_TheStorm_Investigate_B,"Ignore the item and seek shelter"
EVENT_TheStorm_SeekShelter,"Eager to get out of the rain, you see a large tree up ahead which you could use for cover – alternatively you could double back on yourself to a bridge over a muddy creek you saw earlier."
EVENT_TheStorm_SeekShelter_A,"Shelter under the tree"
EVENT_TheStorm_SeekShelter_B,"Shelter under the bridge"
EVENT_TheStorm_Take_Gained1,"You wait for a window of opportunity between strikes to approach the object – only to be suddenly struck yourself!

Unwilling to risk further injury, you decide to leave the object alone lest you get struck again."
EVENT_TheStorm_Take_Gained2,"You wait for a window of opportunity between strikes to approach the object, and wrench it from the ground.

As soon as the object leaves the ground, you sense a sudden change in the air pressure around you, and the storm begins to subside. Examining the item closely, it appears to be a ¬TheStorm_Take.Item¬!

Pleased with your find, you journey onwards, as rays of sunlight begin to shine down through the dissipating storm clouds."
EVENT_TheStorm_Take_Gained3,"You wait for a window of opportunity between strikes to approach the object, and wrench it from the ground – but not before getting struck by lightning yourself!

As soon as the object leaves the ground, you sense a sudden change in the air pressure around you, and the storm begins to subside. Examining the item closely, it appears to be a ¬TheStorm_Take.Item¬!

Somewhat singed but nonetheless pleased with your find, you journey onwards, as rays of sunlight begin to shine down through the dissipating storm clouds."
EVENT_TheStorm_Tree,"The branches offer some slight protection from the rain as you wait for the storm to pass – when suddenly, the tree you are under is struck by lightning! The trunk explodes violently, sending splinters and fragments flying in all directions. As if being pelted with bits of burning tree wasn't bad enough, the lightning conducts through the party, leaving you all thoroughly shocked.

In searing pain, you stumble in the direction of the bridge to wait out the storm under, having learned a valuable lesson about not using trees for shelter in a thunderstorm."
EVENT_TollRoad,"The path leads you to a narrow passage between two rocky outcrops. You are about to make your way through when several hooded figures suddenly step out from behind the rocks.

'Halt!'

The largest of the men steps towards you. 'This here's a toll road,' the man grunts. 'If you wanna pass, you gotta pay.'

You notice several others have also emerged from the rocks behind you – you're surrounded."
EVENT_TollRoad_A,"Pay the toll"
EVENT_TollRoad_A_Subtext,"(Lose ¬LoseSmallGold.GoldAmount¬ Gold)"
EVENT_TollRoad_B,"Fight them"
EVENT_TollRoad_C,"Attempt to flee"
EVENT_TollRoad_C_Unavailable,"Inox do not run."
EVENT_TollRoad_Fight,"Without hesitation, you take down the bandit leader before his goons can close in on you. Several hacks and slashes later, all of the bandits lie dead on the ground.

You take the coin purse from the bandit leader's belt and continue through the passage."
EVENT_TollRoad_Fight_Gained,"You attempt to take down the bandit leader before he can react, but he is faster than you expect for a man of his stature. He catches you with a wide horizontal slash with his dagger, before falling after a blow to the head. Injured but undaunted, you turn to take on the rest of his goons.

Clearly no match for the likes of you, within seconds they all lie dead on the ground. You claim the coin purse from the bandit leader's belt as a prize, and continue through the passage."
EVENT_TollRoad_Flee,"You dash back along the path, knocking over a pair of bandits as you make your escape. A few of the bandits attempt to give chase, but you quickly lose them in the dense forest.

After a long detour through the forest, you eventually rejoin the path, well beyond where you encountered the bandits."
EVENT_TollRoad_Flee_Gained,"You dash back along the path, knocking over a pair of bandits as you make your escape. You nearly reach the treeline unscathed when you are hit in the back by several arrows from the bandit archers.

A few of the bandits attempt to give chase, but despite your wounds you quickly lose them in the dense forest.

After a long detour through the forest, you eventually rejoin the path, well beyond where you encountered the bandits."
EVENT_TollRoad_Pay,"You begrudgingly hand over the gold, not wanting any trouble. 'Thank you kindly,' the man says with a grin, stepping aside to let you pass.

You awkwardly make your way past the bandits and through the passage, trying to ignore their sneering and derisive laughter as you leave."
EVENT_Unavailable_Gold,"Not enough gold"
Eaglecrest,"Eaglecrest"
Eaglecrest_DESCR,"The village of Eaglecrest is surrounded by Vineyards on the steeper northern edges of the Marches. Prices are high, but rare merchandise can be found in the specialist shops."
EarthDemon,"Earth Demon"
EarthDemonElite,"Earth Demon Elite"
Eastgrove,"Eastgrove"
Eastgrove_DESCR,"This small unassuming hamlet nestles in a pretty forest glade."
Easy,"Easy"
ElderDrake,"Elder Drake"
Elementalist,"Elementalist"
Elementalist3DemonSummonAltar,"Demon Summoning Altar"
Elementalist_ADVENTURE_DESCRIPTION,"Elementalists are particularly skilled Savvas who have gained mastery of multiple elements. They are respected above others, and can wield powerful magic.
A complicated class with a lot of complicated abilities, the Elementalist generates and consumes elements at an alarming rate. They work well with other magic users, but if the lone element user in a team, they can be underpowered, best equip them with a way to generate elements if possible."
Elementalist_DESCRIPTION,"Elementalists are particularly skilled Savvas who have gained mastery of multiple elements, they are respected above others and can wield powerful magic."
Elementalist_DIFFICULTY,"Very High"
Elementalist_ROLE,"Ranged Damage"
Elementalist_STRENGTHS,"- <indent=%15>Abilities have wide array of options</indent>
- <indent=%15>Very effective at range</indent>
- <indent=%15>Great at infusing elements</indent>"
Elementalist_WEAKNESSES,"- <indent=%15>Weak with no other element infusers</indent>
- <indent=%15>Can have turns where not much is possible</indent>
- <indent=%15>Reading his ability cards can cause migraines</indent>"
Elite,"Elite"
EliteCultist,"Cultist Elite"
EnchantressDialogName,"Enchantress"
English,"English"
Enhancement,"Enhancement"
ExtraTurn,"Extra Turn"
FIX_DUPLICATE_MAPSTATE_ITEMS,"The save being loaded has been corrupted.  Do you want to try to repair this save?  Note that some items may be lost in this process."
FIX_DUPLICATE_MAPSTATE_ITEMS_BUTTON,"Fix Corrupted Save"
FIX_DUPLICATE_MAPSTATE_ITEMS_TITLE,"Save Corruption Detected"
FTUE_1,"Before going into the harrowing wilderness surrounding <color=#EACF8C>Gloomhaven</color>, you'll need at least 2 Mercenaries in your party brave or greedy enough to seek out adventures in exchange for gold."
FTUE_10,"Gloomhaven isn't known for its well-mannered folk and good Samaritans, but there's a lot to gain from its city streets...
You can choose to <color=#EACF8C>partake in City Encounters</color> by clicking this button below.
<size=60><sprite name=""MapMarker_Story""></size>
(It's encouraged that you do this whenever you're in the city, as they often give good rewards)."
FTUE_10_CONTROLLER,"Gloomhaven isn’t known for its well-mannered folk and good samaritans, but there’s a lot to gain from the city streets…
You can now <color=#EACF8C>partake in City Encounters</color> by using the button below.
(it’s encouraged that you do this whenever you’re in the city, as they often give good Rewards).
"
FTUE_11,"If you ever find a Quest that looks too hard, or one you've repeatedly failed to complete, the <color=#EACF8C>Temple of the Great Oak</color> can grant you its blessing... for a fair price, of course.
You can choose to access the Temple using this button below.
<size=60><sprite name=""Temple_Icon""></size>"
FTUE_12,"The <color=#EACF8C>first Quest</color> Location is marked just north of Gloomhaven; you'll see it flagged with an icon. As you progress more quest locations will appear across the map. To keep track of them you can use the Quest Log on the right hand side of the screen.
Click on the Black Barrow or the entry in the Quest Log to select the Quest."
FTUE_12_CONTROLLER,"The <color=#EACF8C>first Quest</color> Location is marked just north of Gloomhaven, you’ll see it flagged with a quest icon. As you progress more quest locations will appear across the map. To keep track of them you can use the Quest Log on the right hand side of the screen.
Select the Black Barrow’s location or use “RT” to select the entry in the Quest Log."
FTUE_13,"You can embark upon a Quest with <color=#EACF8C>up to four Mercenaries</color>, but the more Mercs you bring the more dangerous the Quest will be.
Once you set out for a Quest you won't be able to change the members of your party until you return to Gloomhaven."
FTUE_2,"On your left you'll find the <color=#EACF8C>Party Panel</color>. Here you'll see the basic information of the Mercenaries in your Party.
Click on the first Character Slot to <color=#EACF8C>open the Roster Panel</color>."
FTUE_2.2,"Click on the <color=#EACF8C>First Character Slot</color> to open the Roster Panel"
FTUE_2.2_CONTROLLER,"Use {CONTROL_PARTY_PANEL} to access the <color=#EACF8C>Party Panel</color> and then {UI_SUBMIT} to select the first Character Slot"
FTUE_2_CONTROLLER,"On the left you’ll find the <color=#EACF8C>Party Panel</color>. Here you’ll see the basic information of the Mercenaries in your Party (at least, you will once you add your first Mercenary).
Use “LT” to  <color=#EACF8C>access the Party Panel</color> and then “A” to select the first character Slot."
FTUE_3,"You can Create, View and Add Mercenaries to the current Party using the Roster Panel. Right now it's looking as barren as the Copperneck Mountains, so best <color=#EACF8C>click on ""New Mercenary""</color> to create your first character!"
FTUE_3.2,"Click in the ""<color=#EACF8C>New Mercenary</color>"" button to create a character"
FTUE_3.2_CONTROLLER,"Use “A” to <color=#EACF8C>select the “New Mercenary” button</color> and create a character"
