Keys,"English [en-GB]"
ERROR_SCENE_00017,"Could not start custom level"
ERROR_SCENE_00018,"Could not process custom level loaded"
ERROR_SCENE_00019,"Could not start level editor"
ERROR_SCENE_00020,"Could not process level editor started"
ERROR_SCENE_00021,"Could not restart adventure scenario"
ERROR_SCENE_00022,"Could not resume adventure scenario, attempting to return to the adventure map"
ERROR_SCENE_00023,"Could not load persistent data"
ERROR_SCENE_00024,"Could not start Autotest, game will now return to Main Menu"
ERROR_SCENE_00025,"Unable to find asset bundle to load asset. Verify the integrity of game files and check all files in the games directory are unmodified and relaunch the game"
ERROR_SCENE_00026,"Unable to find asset in asset bundle. Verify the integrity of game files and check all files in the games directory are unmodified and relaunch the game"
ERROR_STATSDATASTORAGE_00001,"Could not process Scraping Event Log"
ERROR_UI_00001,"Could not process updating card hand elements"
ERROR_UI_00002,"Could not process toggling attack modifiers"
ERROR_UI_00003,"Could not process toggling full cards preview"
ERROR_UI_00004,"Could not process initialising cards hand UI"
ERROR_UI_00005,"Could not process hiding cards hand UI"
ERROR_UI_00006,"Could not process showing cards hand UI"
ERROR_UI_00007,"Could not process toggling cards highlight"
ERROR_UI_00008,"Could not process updating cards hand view"
ERROR_UI_00009,"Could not process updating initiative"
ERROR_UI_00010,"Could not process updating card effects"
ERROR_UI_00011,"Could not process updating short rest"
ERROR_UI_00012,"Could not process perform short rest"
ERROR_UI_00013,"Could not process perform final short rest"
ERROR_UI_00014,"Could not process finalize short rest"
ERROR_UI_00015,"Could not process get card UI"
ERROR_UI_00016,"Could not process toggling separators in card hands UI"
ERROR_UI_00017,"Could not process sort cards"
ERROR_UI_00018,"Could not process updating cards"
ERROR_UI_00019,"Could not process setting mode in cards hand UI"
ERROR_UI_00020,"Could not spawn card due to missing data"
ERROR_UI_00021,"Could not process initialising ability card"
ERROR_UI_00022,"Could not process initialising Long Rest card"
ERROR_UI_00023,"Could not process cancelling active ability"
ERROR_UI_00024,"Could not process card action completed"
ERROR_UI_00025,"Could not process card action"
ERROR_UI_00026,"Could not process card undo"
ERROR_UI_00027,"Could not process on card hover"
ERROR_UI_00028,"Could not process on card selected"
ERROR_UI_00029,"Could not process on card deselected"
ERROR_UI_00030,"Could not process on lose card clicked"
ERROR_UI_00031,"Could not process on recover card clicked"
ERROR_UI_00032,"Could not process selected cards number changed"
ERROR_UI_00033,"Could not process refreshing cancel active ability"
ERROR_UI_00034,"Could not process showing take damage panel"
ERROR_UI_00035,"Could not process updating take damage visuals"
ERROR_UI_00036,"Could not process updating card removal visuals"
ERROR_UI_00037,"Could not process previewing full hand"
ERROR_UI_00038,"Could not process previewing available cards"
ERROR_UI_00039,"Could not process previewing discarded cards"
ERROR_UI_00040,"Could not process previewing damage"
ERROR_UI_00041,"Could not process resetting preview of damage taken"
ERROR_UI_00042,"Could not process burning available card"
ERROR_UI_00043,"Could not process taking damage"
ERROR_UI_00044,"Could not process Toggle Shield Item"
ERROR_UI_00045,"Could not process Toggle Prevent Damage Active Bonus"
ERROR_UI_00046,"Could not process burning discarded cards"
ERROR_UI_00047,"Could not process toggling full cards preview"
ERROR_UI_00048,"Could not process destroying card UI"
ERROR_UI_00049,"Could not process select character"
ERROR_UI_00050,"Could not process hide ready button"
ERROR_WAYPOINT_00001,"Could not process setting waypoint order"
ERROR_WAYPOINT_00002,"Could not process checking if player can end movement"
ERROR_WAYPOINT_00003,"Could not process checking for doors"
ERROR_WAYPOINT_00004,"Could not process ending movement"
ERROR_WAYPOINT_00005,"Could not process opening door"
ERROR_WAYPOINT_00006,"Could not process waypoint press"
ERROR_WAYPOINT_00007,"Could not process waypoint delete"
ERROR_WAYPOINT_00008,"Could not process getting next waypoint"
ERROR_WAYPOINT_00009,"Could not process getting tile lists"
ERROR_WAYPOINT_00010,"Could not process setting up waypoint"
ERROR_WAYPOINT_00011,"Could not process creating waypoint"
ERROR_WAYPOINT_00012,"Could not process setting up tile handler"
EVENT_ADaggerintheChest,"The looted body of an Inox lies slumped against a tree stump up ahead. As you get closer, you notice a dagger protruding from her chest."
EVENT_ADaggerintheChest_A,"Remove the dagger"
EVENT_ADaggerintheChest_B,"Leave her be"
EVENT_ADaggerintheChest_DaggerRemoved,"The corroded blade breaks off as you try to remove the dagger from her chest. You toss the useless hilt aside and continue down the road."
EVENT_ADaggerintheChest_DaggerRemoved_Gained1,"The corroded blade breaks off as you try to remove the dagger from her chest, and you manage to cut yourself on the broken blade. You are suddenly overcome with a feeling of intense sickness – it would appear that the blade was coated in poison.

You toss the useless hilt aside and continue down the road, feeling awful."
EVENT_ADaggerintheChest_DaggerRemoved_Gained2,"The corroded blade breaks off as you try to remove the dagger from her chest. As you toss the useless hilt aside, you catch the glint of a small amount of coins clenched tightly in her fist.

You pry them from her grasp and continue down the road."
EVENT_ADaggerintheChest_Leave,"You leave the body of the Inox be and continue down the road."
EVENT_ADiscardedFlask,"You happen upon a stoppered flask lying in the road, clearly dropped by some clumsy adventurer. You pick up the flask and notice that there is still a good amount inside, and you are feeling a tad thirsty..."
EVENT_ADiscardedFlask_A,"Take a drink"
EVENT_ADiscardedFlask_B,"Leave the flask alone"
EVENT_ADiscardedFlask_DrinkDrunk,"The flask merely contains a small amount of refreshing water. You drink your fill and continue down the road, your thirst thoroughly quenched."
EVENT_ADiscardedFlask_DrinkDrunk_Gained1,"You have no idea what it is exactly that you are drinking, but it sure is good!

You share the hearty brew around the party, feeling invigorated as you journey onward."
EVENT_ADiscardedFlask_DrinkDrunk_Gained2,"As you raise the flask to your lips you notice the overpowering stench of strong alcohol, but decide to try nonetheless. Despite your coughing, spluttering and likening of the drink to liquid fire your party members are all too keen to try the strong brew.

With the flask now empty, you all stumble onwards, somewhat inebriated."
EVENT_ADiscardedFlask_Leave,"You resist the urge to drink and toss the flask aside. Perhaps random drinks are best left undrunk!"
EVENT_ADownedTraveler,"At a fork in the road you spot a figure up ahead, resting beside a gnarled tree trunk. They appear hunched over, with one hand grasping their chest. As you tentatively get closer they notice you and beckon you over.

“Hey, over here! Please, help me!”

There’s a note of desperation in their voice, and a pained groan as the stranger waves to get your attention. However, beneath the tree’s shadow, you can’t quite make out who or what they might be. Could this plea for help be a trap? The surrounding bushes are the perfect place for accomplices to hide, potentially waiting to pounce and rob you."
EVENT_ADownedTraveler_A,"Approach the tree with caution"
EVENT_ADownedTraveler_B,"Find another route"
EVENT_ADownedTraveler_Help,"As you draw nearer you see a rocky Savvas in agony, clutching at deep cracks in its glassy chest. It certainly looks like it has seen better days. It looks up to you, hopeful.
 
“I ask only for a small amount of compassion and aid. There is a temple nearby that can treat my wounds, but I haven't enough gold for treatment. If you can you spare some gold, I will reward you with what I can."""
EVENT_ADownedTraveler_Help_A,"Take pity on the poor Savvas."
EVENT_ADownedTraveler_Help_A_Subtext,"(Lose ¬ADownedTraveler_Pity.GoldAmount¬ Gold)"
EVENT_ADownedTraveler_Help_B,"Scoff. There’s no use helping a Savvas with a cracked core, its as good as dead."
EVENT_ADownedTraveler_Leave,"Wary of an ambush, you take a circuitous route through the undergrowth, thorned bushes pulling at your clothes. You lose the path entirely and spend hours being pricked and scratched by all manner of flora before finally stumbling upon the route again, bleeding and thoroughly miserable."
EVENT_ADownedTraveler_Pity,"You hand the Savvas the gold, who grimaces as it rises to its feet, thanking you for your charity. It holds up a small pulsating crystal, bathing you in a green light.

You feel a rush of energy as you bask in its glow. The Savvas bids you farewell and you wish it a speedy recovery, before you head in opposite directions down the path."
EVENT_ADownedTraveler_Scoff,"You leave the Savvas to its fate and continue on. As you walk away, you hear it muttering something under its breath. A painfully icy chill runs down your spine, and you can't help but wonder whether the Savvas cursed you with ice magic..."
EVENT_AFatefulEncounter,"With the darkness of night drawing ever closer, you scan your surroundings for shelter from that which lurks within the shadows. You notice a light emanating from a nearby cave. and decide to investigate. 

Cautiously moving towards the light, you find that inside a cave sits a lone Orchid in meditation, who seems oblivious to your presence. The glow from the large crystals on her skin illuminate the entirety of the cave.

You see paintings on the cave walls that appear to depict previous quests you have undertaken, even the very journey that took you to this cave. Next to the Orchid lies some chalk, rations and a bag of coins."
EVENT_AFatefulEncounter_A,"Wait for the Orchid to finish meditating"
EVENT_AFatefulEncounter_B,"Take the coins and leave"
EVENT_AFatefulEncounter_Take_Gold,"The light shining from the Orchid's crystals is almost blinding as you edge your way closer and closer to the bag of coins. Somehow you manage to swipe the bags without disturbing the Orchid and hightail it out of the cave.

As you open up the bag you find a small scrap of parchment alongside the coins, with another drawing, this time of you holding the bag in your hands and reading that very note. You wonder if the Orchid could have rewarded you with more than gold had you not stolen from her..."
EVENT_AFatefulEncounter_Take_Muddle,"The light shining from the Orchid's crystals is almost blinding as you edge your way closer and closer to the bag of coins. As you carefully lift up the bag as quietly as you can, you notice a faint drawing on the floor of you taking it and the bolt of lightning hitting you… 

You wake up on the floor of the cave the next morning, somewhat singed. Thankfully you are still in one piece, and even still have the coins – along with the worst splitting headache you've ever had."
EVENT_AFatefulEncounter_Wait,"You wait for the Orchid to finish her meditation. Finally, at the break of dawn, you gaze tired and exhausted at the Orchid as the glow from her crystals begins to fade. She slowly opens her amethyst eyes.

“Greetings travelers, I have been expecting you.” The Orchid announces, smiling coyly as she gathers her belongings. ""You undoubtedly have many questions, but I unfortunately have little time. Before I depart, allow me to read the signs to see what is in store for you...""

Without looking away from you, she gestures to one of the cave paintings – one that you are certain was not there before – depicting this very conversation you are having with the Orchid."
EVENT_AFatefulEncounter_Wait_A,"Continue"
EVENT_AFatefulEncounter_Wait_Curse,"The Orchid closes her eyes again and gestures with her other hand to an empty spot on the wall. She whispers something that you can't quite comprehend before the image of a small spider forms.

""The spider is cursed with a lonely existence, working long and hard on her web in solitude. Those that would dare disturb her feel her venom.""

Before you can ask her what she means, she snaps her fingers and disappears, and with her all of the cave paintings – only rough-hewn rock remains. You prepare yourselves for the day's journey, pondering what it was exactly that she meant."
EVENT_AFatefulEncounter_Wait_Gold,"The Orchid closes her eyes again and gestures with her other hand to an empty spot on the wall. She whispers something that you can't quite comprehend before the image of a bag of coins forms.

""Wealth brings joy to many, but the distraction of gold leads to a lack of focus – fortune into misfortune.""

Before you can ask her what she means, she snaps her fingers and disappears, and with her all of the cave paintings – only rough-hewn rock remains. The only thing left of her posessions is the bag of coins she was sat next to. You take it and prepare yourselves for the day's journey, pondering what it was exactly that she meant."
EVENT_AFatefulEncounter_Wait_XP,"The Orchid closes her eyes again and gestures with her other hand to an empty spot on the wall. She whispers something that you can't quite comprehend before the image of a penitent man forms, with his hands clasped together.

""There is much to be learned from our errors, but do not be consumed by your contrition.""

Before you can ask her what she means, she snaps her fingers and disappears, and with her all of the cave paintings – only rough-hewn rock remains. Perhaps she has great insight, or perhaps it was just nonsense, but you feel as though you have learned something about yourself in this cave – although having stayed up all night will take its toll physically."
EVENT_AShortcut,"Tired of traversing a tedious route around a dense forest, you contemplate taking a path straight through the maze of branches to shorten your journey time considerably. You notice a slight clearing behind the bushes up ahead that could prove to be a shortcut through the dense forest."
EVENT_AShortcut_A,"Try the potential shortcut"
EVENT_AShortcut_B,"Continue down the road"
EVENT_AShortcut_Berries,"The berries are somehow unremarkable in just about every aspect. You rejoin the road without bothering to take any of the bland berries with you, pleased that the shortcut was a success."
EVENT_AShortcut_Berries_Gained1,"The berries not only taste foul, but seem to be poisonous too! Why exactly each and every member of your party decided to try the berries you're not quite sure, but you all feel dreadful as you now rejoin the road, clutching at your stomachs."
EVENT_AShortcut_Berries_Gained2,"The berries not only taste great, but seem to have invigorating properties of some kind – you feel better than you have in months! You fill your pockets to the brim with the delicious berries and rejoin the road."
EVENT_AShortcut_ContinueDownRoad,"After mulling it over, you decide it's perhaps best to continue down the road."
EVENT_AShortcut_TakeTheShortcut,"The clearing continues on through the forest and you are pleased to make it through to the other side. At the forest's edge, you are just about to rejoin the road when you notice a small patch of bushes nearby, adorned with strange purple berries."
EVENT_AShortcut_TakeTheShortcut_A,"Try the berries"
EVENT_AShortcut_TakeTheShortcut_B,"Continue down the road"
EVENT_AbandonedCart,"A cart lies seemingly abandoned by the side of the road; whoever owns it is nowhere to be seen. The back of the cart is mostly loaded with junk, but there is a barrel loaded with food – and you are feeling rather hungry..."
EVENT_AbandonedCart_A,"Eat the food"
EVENT_AbandonedCart_B,"Leave the cart alone"
EVENT_AbandonedCart_Eat,"The food is rather stale, and after a few attempted bites at a rock-solid loaf of bread, you toss it aside with a sigh.

You continue down the road, disappointed that you hadn't come across the cart earlier when the food was still edible."
EVENT_AbandonedCart_Eat_Poison,"The food smells slightly odd, but you greedily eat your fill from the barrel nonetheless.

As you turn to leave, your stomach suddenly starts to gurgle and growl loudly. A few moments later, and you find yourself keeled over in the bushes, vomiting profusely.

Perhaps you'll think twice next time before consuming mysteriously abandoned food."
EVENT_AbandonedCart_Eat_Strengthen,"The food in the barrel is far superior to the supplies you brought with you - soft loaves of seeded bread, strips of dry-cured meat, fresh fruits and vegetables – a true feast! You fashion a hearty meal from the barrel's contents and eat your fill.

Feeling invigorated, you continue down the road."
EVENT_AbandonedCart_Leave,"Tempting as the food poking out of the barrel may be, you decide to leave the cart alone lest the owner return, and continue down the path."
EVENT_AbandonedCart_Leave2,"As you begin to walk away, there is a sudden rustling of leaves from the bushes by the side of the road. A short, portly man emerges from the bushes, hoisting his breeches when he spots you and jumps slightly in surprise.

'Oh! Well met, fellow travellers,' he says, nodding his head in greeting. He looks over at his cart and smiles. 'Thank you for not stealing from my cart while I was... preoccupied. Y'know, I have more food than I could possibly eat back there – you're welcome to join me for a meal.'

You accept the man's offer and partake in a meal far superior to the meagre supplies you brought with you. You finish your meal and part ways with the kind man, invigorated by the fine meal you consumed."
EVENT_AbandonedCart_Leave_A,"Leave"
EVENT_AbandonedCart_Leave_Gained,"Tempting as the food poking out of the barrel may be, you decide to leave the cart alone lest the owner return, and continue down the path."
EVENT_AmbushAftermath,"There was a massacre here – the bodies of a group of clerics and healers lie strewn across the path. Whoever killed these people appears to be long gone.

They could still have valuables should you choose to loot them, but you also wonder whether the powers that be might smile upon those that would bury them."
EVENT_AmbushAftermath_A,"Loot the bodies"
EVENT_AmbushAftermath_B,"Bury the bodies"
EVENT_AmbushAftermath_Bury2,"Somehow you get the feeling that despite your good intentions with burying the dead, the fact you looted them first negates this good deed somewhat."
EVENT_AmbushAftermath_Bury_Bless,"You feel that you have done the right thing in burying these poor souls. Content with your good deed, you journey onward."
EVENT_AmbushAftermath_Bury_Disarm,"Just as you are about to start digging, you hear the snap of a twig underfoot. You look up to find yourself suddenly surrounded by a small group of not-so-long-gone bandits – it's an ambush! There's nowhere to run. You've no choice but to fight them."
EVENT_AmbushAftermath_C,"Leave"
EVENT_AmbushAftermath_Fight,"Despite being outnumbered and caught off guard by the bandits, it eventually becomes clear to them that you are far tougher than the previous group they ambushed. As they begin to turn tail and run, you notice one of the bandits running off with what little loot there was left from their previous ambush.

You decide not to stay and find out if the bandits intend to return with reinforcements!"
EVENT_AmbushAftermath_Leave,"Whoever killed these people could return at any moment, and you don't quite fancy meeting the same fate – you hurriedly leave the area."
EVENT_AmbushAftermath_Loot,"The corpses have been picked clean already, there is nothing of value left at all."
EVENT_AmbushAftermath_Loot_A,"Bury the bodies"
EVENT_AmbushAftermath_Loot_B,"Leave"
EVENT_AmbushAftermath_Loot_Disarm,"As you begin to sift through corpses and their belongings, you hear the snap of a twig underfoot. You look up to find yourself suddenly surrounded by a small group of not-so-long-gone bandits – it's an ambush! There's nowhere to run. You've no choice but to fight them."
EVENT_AmbushAftermath_Loot_Disarm_A,"Fight the bandits"
EVENT_AmbushAftermath_Loot_Gold,"None of the gear is in good enough condition to be of use, with anything of worth likely having been looted already by whoever killed these people. You do manage to find a small quantity of gold tucked away in the pocket of one of the deceased however!"
EVENT_AmbushAftermath_Loot_Item,"Much of the gear is in too poor a condition to be of use, with anything of worth likely having been looted already. However, you do manage to find one item which could be of use to you, that whoever killed these people must have missed!"
EVENT_BloodyValrath,"While passing through a graveyard, you notice fresh footprints in the dirt, meandering from grave to grave. A feeling of dread grows inside you as you track the passage of the footprints, when suddenly a man’s piercing scream cuts through the eerie silence. 

You tentatively sneak over to the origin of the scream to find a female Valrath, and in front of her a dead man beside an open grave. He is wearing a torn dark cloak, often worn by cultists, and you can see from his wounds that he had a bloody and violent death.

The Valrath woman is wearing a magnificent necklace and dress typical of Valrath high society, bulky and colorful.  Something seems amiss however, as you notice the dress is moth-eaten, she has dirt in her hair and her trembling hand is clutching a knife with fresh blood dripping from it."
EVENT_BloodyValrath_A,"Offer assistance"
EVENT_BloodyValrath_A_Subtext,"The Valrath could well be the victim here..."
EVENT_BloodyValrath_Attack,"Despite your attempts at a sneak attack, the Valrath is prepared. She dodges swiftly before leaping towards you, striking powerfully with her knife. You ferociously exchange blows for a while before catching her neck with a well timed strike, sending her severed head flying towards a gravestone.

As soon as her body collapses to the ground it disintegrates into a pile of ash, and the feeling of dread is immediately lifted. Wounded but relieved, you head back to the path, wondering what had transpired between her and the cultist – not to mention who or perhaps <i>what</i> she was..."
EVENT_BloodyValrath_B,"Attack her by surprise"
EVENT_BloodyValrath_B_Subtext,"She seems potentially dangerous..."
EVENT_BloodyValrath_C,"Order her to hand it over"
EVENT_BloodyValrath_C_Subtext,"The necklace looks valuable..."
EVENT_BloodyValrath_D,"Run before she notices you"
EVENT_BloodyValrath_D_Subtext,"Nothing here seems quite right..."
EVENT_BloodyValrath_Help,"You make your presence known and tell her that you mean no harm. She is still trembling, seeming to be in shock. Unable to get any information from her other than that she wants to go home, you give her a few coins, some food for the journey and point her in the direction of the nearest village.

She shyly nods at you as if to say thanks, whispers a few strange words, and slowly turns to leave, the sense of dread lifting from you as she goes."
EVENT_BloodyValrath_Leave,"Whatever is going on here, you want no part of it. You head back towards the forest but you hear the Valrath calling out to you, imploring that you help her. 

Determined to get away, you press on without looking back. The Valrath shrieks something unintellible at you, and the strange feeling of dread grows stronger. As you leave the graveyard, certain that you have been cursed, you wonder what would have happened had you stayed to ""help"" her..."
EVENT_BloodyValrath_Rob,"She turns as if to fight, but upon seeing she is outnumbered, she begrudgingly accepts. She hands over the necklace, cursing and spitting at you with words you have never heard from the mouth of a Valrath before. As she storms away angrily, you examine the corpse of the cultist and wonder what exactly transpired here.

You notice the inscriptions on the necklace match the epitaph on the gravestone above the empty grave... perhaps her name? With all sorts of eerie possibilities running through your head, you suddenly feel very unwell, and shivers run down your spine. You hastily leave the graveyard, hoping that the sickness will pass once you leave this cursed place and sell the necklace at the next opportunity."
EVENT_BrokenCart,"You come across an elderly wine merchant by the side of the road. One of the wheels of his cart has fallen off and you see him struggling to put it back on. He doesn't seem to notice you as you approach, but it is clear he hasn't the strength to lift the cart to replace the wheel by himself."
EVENT_BrokenCart_A,"Offer to help the wine merchant"
EVENT_BrokenCart_B,"Rob the wine merchant"
EVENT_BrokenCart_C,"Leave"
EVENT_BrokenCart_Drink,"The wine is some of the finest you have ever tasted. Feeling invigorated by the fine vintage, you continue down the road."
EVENT_BrokenCart_Drink2,"The wine tastes foul – you spit it out almost immediately. With nothing else of value to take from the merchant, you leave him to deal with the broken wheel by himself and continue down the road."
EVENT_BrokenCart_Drink2_Gained_Muddle,"The wine tastes good, but perhaps a little too good – you all drink far more than you probably should. You stumble away, well and truly intoxicated."
EVENT_BrokenCart_Drink2_Gained_Strengthen,"The wine tastes incredible – you all feel invigorated for having consumed such a fine vintage. You leave the merchant to deal with the broken wheel by himself and continue down the road."
EVENT_BrokenCart_Help,"You tap the wine merchant on the shoulder, startling him enough to make him jump into the air.

'GAH! Don't sneak up on an old man like that!'

His beady eyes glance around the party through a pair of dirty, scratched spectacles. Just as you are about to open your mouth to offer assistance, he snaps at you.

'Are you just going to stand there all day? You there, stop gawping and lift the cart up, and you, hold the wheel steady! On the count of three – that is, ON three, NOT after – you're going to lift the wheel and...'

You may be here all day."
EVENT_BrokenCart_Help2,"You manage to get the wheel back onto the cart without too much difficulty, although as far as the merchant is concerned he 'could've done it much more easily without the help of you buffoons!' The merchant continues to rant about your ineptitude as he departs without even an uttering a word of thanks.

As you are about to leave, you notice a bottle of wine has fallen off of the cart into the shrubs by the side of the road. With the merchant already some distance down the road, you decide to take it as repayment for your assistance and share it amongst the party."
EVENT_BrokenCart_Help2_Gained,"You manage to get the wheel back onto the cart without too much difficulty, although as far as the merchant is concerned he 'could've done it much more easily without the help of you buffoons!' The merchant continues to rant about your ineptitude as he tosses you a handful of coins for your assistance and departs without even an uttering a word of thanks."
