Keys,"English [en-GB]"
Message_Complete_Achievement_1_1_BerserkerReachLevel2_1,"We’ve received word that the Overseer has returned to Gloomhaven."
Message_Complete_Achievement_1_1_BerserkerReachLevel2_2,"He’s dangerous, and he’s got history with the Berserker's clan, so I’m letting her lead the investigation. You need to find him and take him down."
Message_Complete_Achievement_1_1_BruteReachLevel2_1,"An old friend has contacted the Brute with regards to a caravan guard mission he needs help with, go check it out."
Message_Complete_Achievement_1_1_CragheartReachLevel2_1,"It is time for the Cragheart to start their pilgrimage to the holy Savvas shrines in the area. The Temple of the Winds can be found here."
Message_Complete_Achievement_1_1_DoomstalkerReachLevel2_1,"The Doomstalker has unfortunately heard that his settlement outside South Shield was attacked during our last mission. He’d like to track down those responsible."
Message_Complete_Achievement_1_1_DoomstalkerReachLevel2_2,"Can’t the City Guard handle this?"
Message_Complete_Achievement_1_1_DoomstalkerReachLevel2_3,"I’ve already asked the Guard Captain to look into it, but he says he’s got more important problems to worry about."
Message_Complete_Achievement_1_1_DoomstalkerReachLevel2_4,"I suppose we should investigate then. The City Guard might as well start sending us a steady salary at this rate..."
Message_Complete_Achievement_1_1_ElementalistReachLevel2_1,"The Elementalist has been researching Swagger, a Hero from hundreds of years past who had mastered both Melee and Magic combat."
Message_Complete_Achievement_1_1_ElementalistReachLevel2_2,"I’ve told them to investigate the ruined village of Mudchute near Bloodford. Maybe they can find out how to bolster their own melee abilities!"
Message_Complete_Achievement_1_1_MindthiefReachLevel2_1,"The Mindthief has received a hastily-scrawled note from the others in her nest under Demonsgate, warning that humans are threatening her home."
Message_Complete_Achievement_1_1_NightshroudReachLevel2_1,"Now the Nightshroud is firmly part of the team, he has indicated to me that he wants to research some of the rarer enemies found around the land."
Message_Complete_Achievement_1_1_NightshroudReachLevel2_2,"How does he want to research them?"
Message_Complete_Achievement_1_1_NightshroudReachLevel2_3,"By killing them and dissecting their corpses."
Message_Complete_Achievement_1_1_NightshroudReachLevel2_4,"Oh, ‘that’ kind of research?"
Message_Complete_Achievement_1_1_NightshroudReachLevel2_5,"Yes. First he’s suggesting heading to The Pyre to collect Spirit ectoplasm."
Message_Complete_Achievement_1_1_PlagueheraldReachLevel2_1,"The Plagueherald has been studying how best to save Demonsgate from disease, and believes it has come across a breakthrough. 
"
Message_Complete_Achievement_1_1_PlagueheraldReachLevel2_2,"Are you sure you’re talking about the glorified cloud of bugs that likes infecting things?
"
Message_Complete_Achievement_1_1_PlagueheraldReachLevel2_3,"The Plagueherald thought disease helped the other races. When the Enchantress managed to convince it otherwise, its hive began studying Demonsgate to create a magical cure-all instead."
Message_Complete_Achievement_1_1_PlagueheraldReachLevel2_4,"And it actually thinks it has MADE that magic cure?"
Message_Complete_Achievement_1_1_PlagueheraldReachLevel2_5,"Yes, and it would like to relay the news to its hive."
Message_Complete_Achievement_1_1_PlagueheraldReachLevel2_6,"Well I don’t want to give it a reason to experiment on me, so I suppose we had better go. I don’t know why we ever let it join us..."
Message_Complete_Achievement_1_1_QuartermasterReachLevel2_1,"The Quartermaster has heard from an old colleague in Demonsgate that one of their City Guard equipment stockpiles inside the central vault has been raided."
Message_Complete_Achievement_1_1_QuartermasterReachLevel2_2,"How much did they take? Some of that equipment is worth a fortune!"
Message_Complete_Achievement_1_1_QuartermasterReachLevel2_3,"Pretty much everything, enough to outfit a small army… The Quartermaster has been tasked by Demonsgate to investigate."
Message_Complete_Achievement_1_1_QuartermasterReachLevel2_4,"We would head straight there, but the vault’s guards were slaughtered — and it appears the thief stole their vault key, too."
Message_Complete_Achievement_1_1_QuartermasterReachLevel2_5,"I heard Lowtown holds a spare key for the vault. We can head there."
Message_Complete_Achievement_1_1_SawbonesReachLevel2_1,"I’ve heard that the cobblers of Demonspine Hollow and their families have been experiencing an uncomfortable amount of freak accidents in their workshops lately. 
"
Message_Complete_Achievement_1_1_SawbonesReachLevel2_2,"While strange, it’s consistent enough to make me suspicious of magical foul-play."
Message_Complete_Achievement_1_1_SawbonesReachLevel2_3,"The Sawbones has already told me about the reports. He’s asked if we can investigate – for free, seeing as it would be his sacred duty as a healer of The Great Oak."
Message_Complete_Achievement_1_1_SawbonesReachLevel2_4,"And you agreed!? Of course you did. Well, it is always easier to extort people for their life savings once they’re grateful to you I suppose. Let’s go. "
Message_Complete_Achievement_1_1_ScoundrelReachLevel2_1,"I woke up this morning and found a letter outside the front door. It's for the Scoundrel, and asks for a rendezvous in the forest. Can I not be the middle man in future please?"
Message_Complete_Achievement_1_1_SoothsingerReachLevel2_1,"The Soothsinger asked my advice on places she could go to get inspiration for a few new songs, and I suggested visiting one of the less bloodthirsty Bandit gangs."
Message_Complete_Achievement_1_1_SoothsingerReachLevel2_2,"There is a group up near Gibbet Hill who might be able to help out."
Message_Complete_Achievement_1_1_SpellweaverReachLevel2_1,"We have received a missive for the Spellweaver from the Aesther community, asking for help investigating a disturbance in the magical equilibrium in the Eastern Forest. "
Message_Complete_Achievement_1_1_SpellweaverReachLevel2_2,"I'll mark it on your map."
Message_Complete_Achievement_1_1_SummonerReachLevel2_1,"The Summoner has reported a... “shift among the planes” outside Wayward, and has suggested we investigate."
Message_Complete_Achievement_1_1_SummonerReachLevel2_2,"A shift among the planes? What does that even mean?"
Message_Complete_Achievement_1_1_SummonerReachLevel2_3,"‘The first impossible connection of two incompatible planes, which must be studied.’ That’s what she told me when I asked her that."
Message_Complete_Achievement_1_1_SummonerReachLevel2_4,"That sounds bad. We should probably do something about that."
Message_Complete_Achievement_1_1_SunkeeperReachLevel2_1,"The Sunkeeper has advised me that she wishes to use her newly found abilities to do good in the land."
Message_Complete_Achievement_1_1_SunkeeperReachLevel2_2,"I’ve identified a Vermling Camp near Wayfarer’s Rest that has recently been attacked which may need our help."
Message_Complete_Achievement_1_1_SunkeeperReachLevel2_3,"But how will they pay us?.. I don’t understand!"
Message_Complete_Achievement_1_1_TinkererReachLevel2_1,"The Tinkerer has been studying the origins of Demonology in an effort to try and help defeat them. He's identified somewhere we should investigate."
Message_Complete_Achievement_1_1_UnlockLocations_1,"You've made a good start on heading South West, and we've got a few more towns contacting us for help, all the way to the coast!"
Message_Complete_Achievement_1_1_UnlockLocations_2,"Err, boss, there is an Aesther woman here who wants to see you. She says she might be able to help us..."
Message_Complete_Achievement_1_1_UnlockLocations_3,"What you are doing... reconnecting people, driving back the darkness, and preserving the weak, I deem it worthy."
Message_Complete_Achievement_1_1_UnlockLocations_4,"I shall grant you access to my Enhancements. Come visit my tent, and together we shall improve your warriors' prowess. The more towns you unlock, the more powerful you can become."
Message_Complete_Achievement_1_1_UnlockLocations_5,"Well, she was straight to the point!"
Message_Complete_Achievement_1_1_UnlockLocations_6,"An Enchantress! Be aware, her services don't come cheap. Now we have unlocked more of the world, prepare for the danger to increase. But don't worry, the rewards will follow suit. I've also unlocked some more Achievements to aim for."
Message_Complete_Achievement_1_2_ReachDemonspineHollow_1,"After looking in more detail into the area around LowTown, we have found some strange crystals piled up in the forest."
Message_Complete_Achievement_1_2_ReachDemonspineHollow_2,"They emit an incredibly strong aura of Earth Magic, and look to have been the cause of the weird behaviour of the Vermlings, as well as the enhanced magical power in the area."
Message_Complete_Achievement_1_2_ReachDemonspineHollow_3,"We are getting reports of similar magical deviations around the town of Fordingbridge to the South."
Message_Complete_Achievement_1_2_ReachFordingbridge_1,"While exploring Fordingbridge a rather unpleasant individual accosted me in the street, he was dripping with what only I can describe as raw sewage."
Message_Complete_Achievement_1_2_ReachFordingbridge_2,"I initially waved him away, but he told me he was from the Sweetwater town Council, I laughed, but he was adamant."
Message_Complete_Achievement_1_2_ReachFordingbridge_3,"Apparently they have a problem they need looking into. I told him we would investigate it to make him go away, I'll mark Sweetwater on your map."
Message_Complete_Achievement_1_2_ReachTheSloshedSquirrel_1,"I was.. doing some 'important business' in The Sloshed Squirrel and I heard some worrying news from the patrons."
Message_Complete_Achievement_1_2_ReachTheSloshedSquirrel_2,"It seems travellers to Amberhill have been going missing, and the whole town is in lockdown."
Message_Complete_Achievement_1_2_ReachTheSloshedSquirrel_3,"Probably worth our while going to check it out and see if we can help or err, make some money?"
Message_Complete_Achievement_1_2_UnlockLocations_1,"We've reached the coast! That's the first part of the realm reconnected."
Message_Complete_Achievement_1_2_UnlockLocations_2,"I've also been contacted by some outposts in the Eastern forest. We should start to look there for work too."
Message_Complete_Achievement_1_2_UnlockLocations_3,"I'll add that to the next set of Achievements to attain!"
Message_Complete_Achievement_1_3_UnlockLocations_1,"We're a good way through the forest now, and I've had more contacts come in, this time, from the Badlands to the north."
Message_Complete_Achievement_1_3_UnlockLocations_2,"Beware though, I've heard rumours of Drakes and Demons. It's not a place for the faint of heart!"
Message_Complete_Achievement_1_4_UnlockLocations_1,"The Badlands is well explored now, and we are starting to receive messages from the Great Forest even further north."
Message_Complete_Achievement_1_4_UnlockLocations_2,"Let's seek out the outposts further North. They are surely to have some impressive equipment to trade!"
Message_Complete_Achievement_1_4_UnlockLocations_3,"Our last Objective now is to reach Wildspire in the depth of the forest."
Message_Complete_Achievement_1_5_UnlockLocations_1,"Well done! All the towns to the Barren Coast, the Eastern Forest, The Badlands and up to the Great North Forest have been connected. The first chapter of our Guild's history is complete!"
Message_Complete_Achievement_1_5_UnlockLocations_2,"It seems the villages of the realm have banded together to reward us with a nice pile of gold coins!"
Message_End_Quest_Story_2D_1,"Great work getting through the basic training missions. Allow me to introduce you to the third member of the Guild; he ain't much of a fighter though..."
Message_End_Quest_Story_2D_2,"Hey, not all of us particularly care to be experts at stabbing people!

Oh, err... please excuse me. *Ahem*"
Message_End_Quest_Story_2D_3,"Greetings, guildmaster. I'm the humble <b>Merchant</b> of your fledgling Guild. I deal with the important aspects of running a Guild... in other words, <i>money</i>. Which, might I add, is sorely lacking at the moment..."
Message_End_Quest_Story_2D_4,"What you can see right now is the <b>World Map</b>. You've probably noticed it looks a bit barren at the moment, and, well... I've got some good news and some bad news for you.

The bad news is that the realm has been overrun with all manner of unpleasant monsters — rogue bandits, wandering undead, dark cultists, you name it. The good news is that you're going to help us restore the routes back to the other settlements out there, hidden in the fog."
Message_End_Quest_Story_2D_5,"Before we can do anything about that however, we'll need to get some mercenaries on the Guild roster. Let's start with actually recruiting the poor old <b>Brute</b>, who's got himself into a spot of bother... again."
Message_End_Quest_Story_3A_1,"The <b>Brute</b> sure can soak up damage well, but he’s not the most mobile."
Message_End_Quest_Story_3A_2,"Having ample funds is going to be of utmost importance in getting this Guild off the ground. Do you know anyone good at... erm, gold acquisition?"
Message_End_Quest_Story_3A_3,"I know just the woman — she’s also a dab hand at poking holes in those who get in her way. She's in the process of liberating some gold right now, shall we lend her a hand?"
Message_End_Quest_Story_3B_1,"The first thing we should do as a Guild is re-establish the trade route with Gibbet Hill to the West. We’ve been having a small problem with bandits in the woodland en route, but with the Brute and Scoundrel to assist, that's nothing that should cause you any trouble."
Message_End_Quest_Story_3B_2,"It’ll give you some much needed experience on the job, and allow me to get some new <b>item</b>s in stock once the way is cleared. Go knock some bandit heads together!"
Message_End_Quest_Story_4A_1,"It's about time you learned about the fundamentals of magic. I know a <b>Spellweaver </b>who should be able to show you a thing or two, and last I heard from her, she was researching a stone circle in a forest nearby Gibbet Hill. With all these monsters about, we ought to check she's OK."
Message_End_Quest_Story_5A_1,"That's the elemental schools of magic covered. Perhaps we could do with recruiting someone who understands hi-tech contraptions and such? I swear there was a Quatryl <b>Tinkerer</b> messing about with a power core or some other artifact in the tavern not too long ago..."
Message_End_Quest_Story_5A_2,"Good call. I heard he was looking for fellow explorers to investigate a tomb nearby, barkeep said he set off yesterday. Sounds to me like the sort who might be interested in joining a Guild such as our own — let's see if we can find him!"
Message_End_Quest_Story_5B_1,"We're getting a proper mercenary guild together now! Speaking of paid jobs, I've met someone who has requested our help."
Message_End_Quest_Story_5B_2,"Peace be with you. I am the <b>Priestess</b> here, sworn to the Sanctuary of the Great Oak. I thank you for meeting with me, as we at the Sanctuary are in dire need of assistance.

You see, the holy crypt in the catacombs beneath the Sanctuary has been broken into and defiled by deranged cultists, raising hordes of undead to do their nefarious bidding... I beg of thee, please help us be rid of this menace!"
Message_End_Quest_Story_5B_3,"All too common an occurrence these days... Anyhow, sounds like an opportunity to try out our two latest recruits together — get to it."
Message_End_Quest_Story_5C_1,"I cannot express just how grateful I am... Truly, thank you. With the threat to the Sanctuary gone, we can finally resume the restoration of the Temple here. It will be some time before we are ready to resume our normal services, but I hope we can be of help in the future. I bid you farewell."
Message_End_Quest_Story_5C_2,"Hang on a second, we did that for <i>free</i>?! I thought we were supposed to be looking for paid jo— Oh, never mind...

<size=90%>Join a guild, they said... <size=80%>It'll be fun, they said... <size=70%>""You'll make heaps of gold""... Pfft! <size=60%>*Grumble grumble*"
Message_End_Quest_Story_5C_3,"Don't mind him. Thanks to you, the Temple will reopen in due time, and you will be glad to receive their blessings.

Now, the next village we've lost contact with is The Marches. The route is under lockdown after a number of raids from small bands of Vermlings camping nearby."
Message_End_Quest_Story_5C_4,"I want you to head up North and see if you can drive them out.

Oh, and watch out for their hounds. Let these scars across my face be a warning to you — you get up close to those dogs and they'll bite back!"
Message_End_Quest_Story_6A_1,"Just one more route to clear, and I should have re-established contact with enough suppliers to reopen my shop for business! I'm sure you can't wait to get your hands on some decent gear."
Message_End_Quest_Story_6A_2,"There's some incentive for you! As your core training nears its end, I hope you are getting used to how the various abilities and effects interact with each other. You'll certainly be needing some advanced techniques on the quests to come!"
Message_End_Quest_Story_6A_3,"Anyhow, I’ve tracked down a potential fifth mercenary for our crew, if you can get him on board. This guy has fists of stone, and I mean literally! "
Message_End_Quest_Story_7A_1,"<b>Cragheart</b>'s on board - that’s five mercenaries recruited! I reckon just one more and we should have a large enough crew to take on some quests further out from Demonsgate."
Message_End_Quest_Story_7A_2,"Y'know, if we can find someone capable of summoning allies to the battlefield, it'll feel like we have even more mercs still! I know some Vermlings are quite proficient at handling beastly brethren of theirs."
Message_End_Quest_Story_7A_3,"Vermlings? We're going to recruit a Vermling?"
Message_End_Quest_Story_7A_4,"Don't let the rodent exterior fool you, they aren't all feral scavengers. Some Vermlings develop strong psychic abilities — and rumour has it one such Vermling <b>Mindthief</b> is hunting down demons nearby. Would you say no to a demon hunter joining the Guild just because she looks a bit rattish?

I vote we find this <b>Mindthief</b> and see if she fancies joining us for a chance at greater glory... than hunting demons. Okay, perhaps not <i>greater</i> glory just yet, but glory all the same."
Message_End_Quest_Story_7B_1,"Now we’ve got the Guild going, we're starting to get job requests coming in from far and wide. I'm also hearing rumours regarding the locations of powerful artifacts that could be worth investigating."
Message_End_Quest_Story_7B_2,"In fact, you should check this one out first: A few nights ago a falling star was said to have been seen landing in a forest clearing near Gibbet Hill, but when villagers went to investigate, there was no trace of anything having landed there."
Message_End_Quest_Story_7B_3,"A day or so later, they started experiencing minor earthquakes emanating just north of the village, not far from the clearing. Nothing up there except an old, decrepit crypt - and the villagers, being villagers, are too scared to investigate. "
Message_End_Quest_Story_7B_4,"Sounds like a magical artifact of some kind to me, you should go check it out!"
Message_End_Quest_Story_7B_5,"I recommend you bring along the <b>Cragheart</b> and <b>Mindthief</b>, they should easily be up to the task."
Message_End_Quest_Story_7C_1,"And so, that concludes your training. The world is your oyster — a bandit-ridden, undead-roaming, demon-infested oyster.

We've put together a set of starting equipment with the money you've earned thus far, but any other gear you fancy you'll need to buy."
Message_End_Quest_Story_7C_10,"Choose your team, gear 'em up and you're ready to go. Good luck, guildmaster!"
Message_End_Quest_Story_7C_11,"Multiplayer is now enabled."
Message_End_Quest_Story_7C_2,"The panel on the left is used to choose your party's line-up, and to customise their ability cards and items as you unlock more. You now also have free rein over which mercenaries to bring along on each mission, up to a maximum of four.

Be aware though, scenario difficulty scales with the number of mercenaries in your party. Unless you are a <b>Gloomhaven</b> veteran, I would recommend you stick with two characters for the time being to keep the decision making manageable!"
Message_End_Quest_Story_7C_3,"When equipping items, note that whoever equips an item first has it bound to them. You can unbind an item for a cost, but try to make sure you give it to the right mercenary the first time if you can."
Message_End_Quest_Story_7C_4,"To aid you in progressing your skills post-training, I have come up with a set of achievements for you to work towards. These can be accessed by the <b>Trainer</b> icon at the bottom of the screen. "
Message_End_Quest_Story_7C_5,"Completing these will reward the Guild with more gold, quests, and locations to discover. Sometimes even missions to recover powerful relics!"
Message_End_Quest_Story_7C_6,"You can pop by my shop by clicking the Merchant icon at the bottom of the screen. I've got mostly basic items in stock right now, but as you keep exploring and restore the routes to more villages, more and more items will be added to my stock!"
Message_End_Quest_Story_7C_7,"Speaking of which, could you journey down to the southwestern coast and open up the old spice routes?"
Message_End_Quest_Story_7C_8,"I've had links with two towns there in the past: Bloodford to the West..."
Message_End_Quest_Story_7C_9,"...and Wayfarer's Rest to the South West."
Message_End_Quest_Story_BanditCommander_1,"With the Bandit Commander dead, the temples and the Demonsgate nest are now safe."
Message_End_Quest_Story_BanditCommander_2,"Well, it’s good to see the back of him, and that ring you got looks pretty useful."
Message_End_Quest_Story_BeastTyrant_1_1,"This Rot is worse than we first thought, it is spreading over the whole land."
Message_End_Quest_Story_BeastTyrant_1_2,"The Beast Tyrant now wants us to investigate another outbreak in the Eastern forest near The Hermitage."
Message_End_Quest_Story_BeastTyrant_2_1,"I’ve talked in depth with the Beast Tyrant and triangulated the spread of the Rot."
Message_End_Quest_Story_BeastTyrant_2_2,"As we had originally surmised, it seems to spread via freshwater that originates from the mountains to the south, near Obsidian Bluff."
Message_End_Quest_Story_BeastTyrant_2_3,"But there is also a second tributary in the area of Rockfall further to the East."
Message_End_Quest_Story_BeastTyrant_2_4,"We believe that is where the Deep Terrors are primarily breeding and is where we must head next."
Message_End_Quest_Story_BeastTyrant_3_1,"I’ve investigated further into the cave, and found an immature specimen which I believe is what ultimately becomes a Deep Terror."
Message_End_Quest_Story_BeastTyrant_3_2,"I’ll research further, but I believe I may be able to develop a potion to allow us to confuse the Rot into thinking we are an ally."
Message_End_Quest_Story_Berserker_1_1,"I looked for something to sell after you left, but only found one of the bandits’ journals. Apparently the Overseer is heading to Ironwood Camp to start an army. I say we head there next — they might have something I can stock. "
Message_End_Quest_Story_Berserker_2_1,"Can you believe a place called Ironwood has no Iron or wood to take and sell? I did poke around in the ledgers though, it looks like these wagons were heading to a cave outside Drake Fire Farm. Sounds like we will be heading there too, then."
Message_End_Quest_Story_Berserker_3_1,"So, I took a look at what you grabbed. Don’t worry, not even I would try to sell it back to you after what you went through to get it."
Message_End_Quest_Story_Berserker_3_2,"Anyway, it turns out you stole the map for the entire cave system… and we’ve found a way to sneak you in through a side entrance..."
Message_End_Quest_Story_Berserker_3_3,"...But it’s got a pretty hefty lock on it. We’re stuck until we find a way to open it.
"
Message_End_Quest_Story_Brute_1_1,"I’ll return to my trade camp near the Copper Oasis and see if any others of my clan have heard any rumours. Come visit me when you are ready, and I’ll tell you what I have found out."
Message_End_Quest_Story_Brute_2_1,"The traitor didn’t even lead his troops into battle, no wonder their morale broke. He isn’t much of a commander!"
Message_End_Quest_Story_Brute_2_2,"We’ve located both his main mustering ground, but also some ruins nearby where he has troops performing strange rites. It's probably worth raiding the ruins first and seeing what he is up to."
Message_End_Quest_Story_CaptainOfTheGuard_1,"We’ve reviewed the information you passed to us, and investigated the warehouse. "
Message_End_Quest_Story_CaptainOfTheGuard_2,"Unfortunately, the captain’s influence ran deep, and a good amount of our employees have been arrested. I don’t think we would have found the true extent of this without you. You have the City Guard’s apologies, and our gratitude."
Message_End_Quest_Story_CaptainOfTheGuard_3,"To think I looked up to the captain, all while he was hunting down anything that wasn’t human... I feel sick…"
Message_End_Quest_Story_CaptainOfTheGuard_4,"Perfect timing! The Plagueherald and I have distilled the final curing spell into a Major Cure potion. The magic really is fascinating; I might even travel to the hive to learn more..."
Message_End_Quest_Story_CaptainOfTheGuard_5,"Uh, see, I actually convinced the Plagueherald to give me the exclusive rights to the potion. You’ll have to buy it from me if you want some, old friend. No hives needed."
Message_End_Quest_Story_CaptainOfTheGuard_6,"No, I think I’ll just… *retch*"
Message_End_Quest_Story_CaptainOfTheGuard_7,"So… this must be what karma feels like. I’ll go clean up. "
Message_End_Quest_Story_Cragheart_1_1,"The Shrine of the Roots is found in the forest near Lowtown. If they are being systematically looted, I worry that would be a prime target."
Message_End_Quest_Story_Cragheart_2_1,"These are some highly organised Looters.... there must be someone in charge of all this planning. We need to find out who and make an example of them."
Message_End_Quest_Story_Cragheart_2_2,"For now, however, we should check out the last of the three temples: the Shrine of Verglas, near River’s Rise"
Message_End_Quest_Story_Cragheart_3_1,"The three core shrines are now safe. Only the mythical Shrine of the Ashes remains, but no one knows of its location."
Message_End_Quest_Story_Cragheart_3_2,"Well, if we don’t know of it, nor will the looters!"
Message_End_Quest_Story_DarkRider_1,"Well, that was quite a ride, wasn’t it?"
Message_End_Quest_Story_DarkRider_2,"Okay, I’ll let you have that one, this time."
Message_End_Quest_Story_DarkRider_3,"You’re being… uncharacteristically nice. Are you feeling okay?"
Message_End_Quest_Story_DarkRider_4,"I also found this helmet next to the Rider’s empty armour. I’m not really sure where it came from, given the whole ‘headless’ situation, but I’ll sell it to you at half the price I was planning!"
Message_End_Quest_Story_DarkRider_5,"Interesting. It seems that “Dark Rider” was the source of much of the evil in our realm. By winning its deal and shutting it out, its wickedness can no longer exist here."
Message_End_Quest_Story_DarkRider_6,"Huh. Maybe I will have to look into that gardening firm then – it sounds like honest money..."
Message_End_Quest_Story_DarkRider_7,"Uh, right. In the meantime, I’ll go back to securing contracts for killing something simple, like living skeletons with three arms. Someone’s got to be ready for the next interplanar menace we’ve somehow angered..."
Message_End_Quest_Story_Doomstalker_1_1,"The blood trail led to a merchant’s caravan on its way back to Demonsgate. That caravan often supplies meat to a butcher’s shop in the Crooked Bazaar."
Message_End_Quest_Story_Doomstalker_1_2,"That’s an awfully long way to carry raw meat for a shop, isn’t it?"
Message_End_Quest_Story_Doomstalker_1_3,"I don’t think they’ve stolen an Orchid’s livestock just to sell spoiled meat, even somewhere like the Crooked Bazaar."
Message_End_Quest_Story_Doomstalker_1_4,"You don’t think the butcher’s shop is a real store, do you? Good. Fronts are one of my favourite crimes to... er, bust, of course."
Message_End_Quest_Story_Doomstalker_1_5,"Well, they would be one of your favourites, wouldn't they?"
Message_End_Quest_Story_Doomstalker_1_6,"What’s that meant to mean?"
Message_End_Quest_Story_Doomstalker_2_1,"Even this ledger smells like it's made of rancid meat!"
Message_End_Quest_Story_Doomstalker_2_2,"Well, it is full of rotten crimes…"
Message_End_Quest_Story_Doomstalker_2_3,"Don’t do that. Don’t try to make the jokes."
Message_End_Quest_Story_Doomstalker_2_4,"Right. Well, the ledger says that all that gold was tipped to the merchant for ‘a job well done’, and I happen to know the merchant’s address it lists is actually a mercenary hideout."
Message_End_Quest_Story_Doomstalker_2_5,"We may have our killers. Let’s go and make some mercenary mince-meat."
Message_End_Quest_Story_Doomstalker_2_6,"<sigh>"
Message_End_Quest_Story_Doomstalker_3_1,"I’ve finished studying the paperwork you brought back. It seems these mercenaries were simply paid to wipe out the Doomstalker’s settlement. "
Message_End_Quest_Story_Doomstalker_3_2,"I can’t find any concrete links to an employer, or even a reason, but they aren’t the only ones — the paperwork says other mercenaries were hired to attack Orchids... "
Message_End_Quest_Story_Doomstalker_3_3,"And I traced the sigil you found. It’s the logo of an abandoned warehouse in the Old Financial district. No one’s seen it on crates in decades. "
