Keys,"English [en-GB]"
PERSONALQUEST_Vengeance_Objective_Step1_Desc,"Follow the scenario ""Investigation"" to a conclusion"
PERSONALQUEST_Vengeance_Objective_Step2_Desc,"Follow the scenario ""Bloody Shack"" to a conclusion"
PERSONALQUEST_Vengeance_PROGRESS_COMPLETED_STEP_0,"You had found it next to a dead bandit in the battle’s aftermath, the small — and overfilled — coin purse addressed to the very person your growing amount of evidence has been pointing to. The label’s reverse side simply read “bribe” in messy handwriting, and bore a local bandit clan’s sigil. This was the last piece of the puzzle you needed to confirm your suspicions: you are now certain of who allowed your friend to die, and you are going to get your answers one way or another. "
PERSONALQUEST_Zealot_of_the_Blood_God,"Zealot of the Blood God"
PERSONALQUEST_Zealot_of_the_Blood_God_COMPLETED,"Sacrifice was demanded and so sacrifice was given, but now your service is complete. The blood god has shown you that there is no more use for you in their plans; you are to find your own way now. You respect your god’s wishes, of course, but you can’t help feeling betrayed at how little your devotion seemed to mean. As you leave the city, you decide you’ll live a peaceful life from now on — maybe even buy a farm. Whatever happens, the blood god will have to find a new zealot to play with in Gloomhaven."
PERSONALQUEST_Zealot_of_the_Blood_God_Desc,"<b>Become exhausted 12 times.</b> 

All these insignificant ants scurrying about. None of them know what true devotion is. Devotion is about giving over every last scrap of yourself to something greater. The writings of the old ways demand sacrifice. Only death in battle will bring back the blood god. So in every fight you will give your all. When nothing is left, the infinite awaits."
PERSONALQUEST_Zealot_of_the_Blood_God_Objective_Desc,"Become exhausted 12 times"
PERSONALQUEST_Zealot_of_the_Blood_God_Objective_PROGRESS_TOOLTIP,"Number of exhaustions:"
PERSONALQUEST_Zealot_of_the_Blood_God_Objective_PROGRESS_TOOLTIP_EMPTY,"No exhaustions yet."
POISONED FLAME,"Poisoned Flame"
PORTAL_DESCR_TOOLTIP,"Ending a movement on a portal will teleport a character to the linked portal."
PORTAL_TOOLTIP,"Portal"
PRESSURE_PLATE_TOOLTIP,"Pressure Plate"
Performs,"Performs"
Perk,"Perk"
Pierce,"PIERCE"
PierceShort,"PIERCE"
PlagueRat,"Plague Rat"
Plagueherald,"Plagueherald"
Plagueherald_ADVENTURE_DESCRIPTION,"Either misguided or ignorant of other races’ physiology, Plagueheralds believe that the spread of disease throughout a society will strengthen it and propel it towards great things. One should be wary of allying with a Plagueherald. Their ability to spread decay and death across both sides of a battlefield is a terrifying thing to behold."
Plagueherald_DIFFICULTY,"Medium"
Plagueherald_ROLE,"Ranged Damage/Support"
Plagueherald_STRENGTHS,"- <indent=%15>Can often target multiple enemies</indent>
- <indent=%15>Effective at range</indent>
- <indent=%15>Powerful debuffs utilizing Curse and Poison</indent>"
Plagueherald_WEAKNESSES,"- <indent=%15>High potential for friendly fire</indent>
- <indent=%15>Low effectiveness versus single large targets</indent>
- <indent=%15>Harrower mating rituals are... unpleasant</indent>"
PlaySong,"Play song"
Poison,"POISON"
PoisonMine,"Trap"
PoisonShort,"POISON"
Polish,"Polish"
PreventDamage,"Prevent Damage"
PriestessDialogName,"Keeper of the Oak"
PrimeDemon,"Prime Demon"
PrimeLieutenant,"Prime Lieutenant"
Pull,"PULL"
Push,"PUSH"
QUEST_JOB_AnEyeForAnEye_DESC,"Cultists raided a bandit camp and took away many of those living there. A Bandit Archer wants revenge."
QUEST_JOB_AnEyeForAnEye_INTRO,"Unusually, you have been contacted by a high ranking Bandit Archer looking for your services. Whilst out on a job, Cultists attacked her camp and killed or abducted many of her friends. Her bandit crew is now disbanded, but she wants revenge on the Cultists who killed them all. You meet her at the entrance of the Cultist’s lair, where she has already taken down a couple of their guards. You head inside with her to finish the job."
QUEST_JOB_AnEyeForAnEye_LIST,"Help a Bandit archer enact her revenge"
QUEST_JOB_AnEyeForAnEye_NAME,"An Eye for an Eye"
QUEST_JOB_CallOfTheWild_DESC,"Wild animal attacks have increased in the area, follow their trail and take down the den of creatures."
QUEST_JOB_CallOfTheWild_INTRO,"As civilisation advances, it often collides with nature, and sometimes those collisions leave lots of people dead. This is one of those cases, although the cause is clear to see from all the bite and claw marks on the victims. You have been paid to track down the wild animals that did this, and it is easy enough: the trail leads to a cave entrance in a nearby hillside."
QUEST_JOB_CallOfTheWild_LIST,"Wild creatures have been causing havoc in the local area"
QUEST_JOB_CallOfTheWild_NAME,"Call of the Wild"
QUEST_JOB_DemonAltars_DESC,"Demons are terrorising the local area. Find the source of the incursion."
QUEST_JOB_DemonAltars_INTRO,"You have received disturbing reports of groups of horrific creatures surging into a local village. Upon arriving, you find the village in ruins, and swarming with Demons. An escaping villager notices you as they run away, and briefly stops, claiming a nearby cave to be the Demons’ lair. You watch the entrance, and see a cluster of Demons crawl out. Convinced you have found their source, you sneak inside…"
QUEST_JOB_DemonAltars_LIST,"Investigate recent Demon sightings "
QUEST_JOB_DemonAltars_NAME,"Raising Hell"
QUEST_JOB_DemonicDissent_DESC,"Strange rumblings and explosions have been heard underground, villagers are terrified and have asked for help."
QUEST_JOB_DemonicDissent_INTRO,"You visit the local town and hear that it has recently been plagued by a succession of tremors, from minor rumbles, to some which have knocked down small buildings. The villagers are getting concerned it is getting worse, and want someone brave who can go investigate. There have always been rumours of a demonic rift from hundreds of years ago, but no demons have ever been seen locally. However, the rumours talk of a barrow out of town. You head to the location, and the barrow is easy enough to find: there are cracks in its surface, and a lot of fallen soil. You dig through the soil, find an ancient opening, and squeeze inside. Strange sigils cover the walls: this indeed does seem the domain of Demons. You are on your guard."
QUEST_JOB_DemonicDissent_LIST,"Investigate the tremors in the area"
QUEST_JOB_DemonicDissent_NAME,"Demonic Dissent"
QUEST_JOB_DungeonOfMisfortune_DESC,"A crypt promises riches for those that investigate its depths."
QUEST_JOB_DungeonOfMisfortune_INTRO,"A crypt has appeared with an intriguing plaque written above the entrance: ‘Welcome to the Dungeon of Misfortune. Within these walls is a chest with a guaranteed treasure within it, but you must kill enough enemies to keep the reward!’. You head to the location to try it out!"
QUEST_JOB_DungeonOfMisfortune_LIST,"A strange Crypt has appeared and could be searched."
QUEST_JOB_DungeonOfMisfortune_NAME,"Dungeon of Misfortune"
QUEST_JOB_FellHounds_DESC,"This area has recently been plagued with ever-increasing numbers of attacks by diseased hounds, discover the cause and put them down."
QUEST_JOB_FellHounds_INTRO,"The mayor of the local town informs you of increasing numbers of attacks from wild hounds. He explains wild dogs have always been a small problem, but recently they are foaming at the mouth and a bite from them makes people go mad with rage after a few days. Many people have been quarantined until the dogs can be dealt with. He points you in the direction of a patch of forest where they seem to originate from, and you head in that direction. As you pass through the edge of the undergrowth, you hear the snarling and growling of dogs, and press onwards..."
QUEST_JOB_FellHounds_LIST,"The local area has become overrun with packs of ravenous dogs, find the cause"
QUEST_JOB_FellHounds_NAME,"Fell Hounds"
QUEST_JOB_FireCult_DESC,"Cultist gatherings are summoning violent creatures. Destroy the threat."
QUEST_JOB_FireCult_INTRO,"Rumours of a large Cultist presence have led you to a dungeon’s door, long forgotten in the forest. Smoke rolls out from the hallway as you open the door, and carries the faint sound of incomprehensible mantras. On your guard, you continue into the dungeon until the chanting is deafening, and the heat inside crushing. Looking into the next room, you feel your eyes deceive you. Cultists recite unholy words in the room’s centre, but around them is every manner of flaming monster. The Cultists begin to speak understandably: ‘we give thanks to the gods of Flame for bringing us together in worship… and for providing us with the sport of mercenaries.’ You are discovered!
"
QUEST_JOB_FireCult_LIST,"Stop a dangerous cult meeting"
QUEST_JOB_FireCult_NAME,"Like Moths..."
QUEST_JOB_IMPS_SPIRITS_FOREST_INTRO_01,"Imps... those nasty little blighters who steal your washing and enchant your cat to do its business under your armchair?"
QUEST_JOB_IMPS_SPIRITS_FOREST_INTRO_02,"...I don’t think that’s the Imp’s fault."
QUEST_JOB_IMPS_SPIRITS_FOREST_MAP_INTRO,"After meeting some terrified local villagers, you head towards a section of forest where they say the ghostly sightings are more prevalent. You notice that the area sits upon an ancient Inox graveyard, and certainly you can feel some kind of static energy in the air. Night falls as you are investigating further, and then you notice strange lights and eerie laughter. Imps!"
QUEST_JOB_IMPS_SPIRITS_FOREST_OUTRO,"With the last Imp dead, the Spirits return to the earth and the dead rest again."
QUEST_JOB_MindControl_DESC,"Imps have taken control of a whole Bandit Encampment, and are causing chaos in the area."
QUEST_JOB_MindControl_INTRO,"You have received a request to deal with a problem of Bandits acting very strangely: they're attacking on sight, while apologising. You head to the area, and are met by a local village elder who brings you up to date. Apparently Bandits have been causing all kinds of mischief: setting fire to buildings, attacking anyone that confronts them, but not looting. Very unusual. You head to the known location of their encampment and find it unguarded. Stepping into the clearing, you demand an explanation!"
QUEST_JOB_MindControl_LIST,"A powerful breed of Imp are causing havoc"
QUEST_JOB_MindControl_NAME,"Mind Control"
QUEST_JOB_SavvasAid_DESC,"A Savvas wishes to reclaim a holy site for guidance. Make sure it arrives safely. "
QUEST_JOB_SavvasAid_INTRO,"We have received a request for aid from another Savvas to reach and reclaim an old, overgrown Savvas holy site. The journey escorting the Savvas is relatively painless, even if the Savvas is slightly uncomfortable around you, and you begin to wonder if your services were even required. However, once you reach the gates of the site, you find it overrun by wild animals...  "
QUEST_JOB_SavvasAid_LIST,"Guide a pilgrim to its holy site "
QUEST_JOB_SavvasAid_NAME,"Sacred Pilgrimage "
QUEST_JOB_SavvasInfighting_DESC,"Savvas infighting is threatening villages. End the violence. "
QUEST_JOB_SavvasInfighting_INTRO,"We have heard of more Savvas causing fires and blizzards destroying forests close to local settlements, and have been hired to investigate. Arriving at the most recently-reported location, you cautiously follow a trail of burning trees to a clearing. As you approach, you see two groups of Savvas locked in a magical battle. You can’t allow this recklessness to continue."
QUEST_JOB_SavvasInfighting_LIST,"Savvas are endangering villages"
QUEST_JOB_SavvasInfighting_NAME,"Civil War"
QUEST_JOB_TheDjinnPalace_DESC,"The Tinkerer is interested in how the spirit can detach from the body after death, and this crypt is teeming with undead. Perfect for some field research."
QUEST_JOB_TheDjinnPalace_INTRO,"The Tinkerer is continuing his research into the more morbid scientific subjects, and he has heard of a crypt infested with the Undead. He guides you to it, and you climb down the dusty steps into a large vaulted chamber. He explains that Spirits and Living Bones haunt the room at night, and therefore for him to get decent readings, you'll have to study them until daybreak when they will disintegrate again. As he finishes talking, you hear strange noises. Apparently, they are being summoned right now!"
QUEST_JOB_TheDjinnPalace_LIST,"Aid the Tinkerer with his research into the dead"
QUEST_JOB_TheDjinnPalace_NAME,"The Djinn Palace"
QUEST_JOB_TheHaunting_DESC,"Every night Living Spirits patrol the streets. The locals are terrified!"
QUEST_JOB_TheHaunting_INTRO,"You head to the haunted village, expecting that the job will primarily be a spell-based exorcism. You are informed that, every night, a number of Living Spirits rise up and scare the wits out of anyone in the area. You settle down for the evening and wait… As expected, at midnight spirits begin to congregate, but they do not attack. As you are the first people not to run away, the Spirits are able to communicate and inform you that they were a group of magic users slain while trying to clear a cave of Demons. They are unable to rest until their quest is complete. Two guide you to the entrance, and inside."
QUEST_JOB_TheHaunting_LIST,"Stop spirits haunting a village"
QUEST_JOB_TheHaunting_NAME,"The Haunting"
QUEST_JOB_TheStoneMan_DESC,"A sentient golem needs your help."
QUEST_JOB_TheStoneMan_INTRO,"You have been contacted by a Tinkerer about a strange character he found while exploring an ancient tomb. Apparently one of the Golems left to defend the tomb had become sentient, and instead of flattening the Tinkerer, he conversed with him. However, the fame of this stone man spread around the area, and now a group of Bandits are heading to the location to destroy the Golem and take his parts away for research. You head to the location in the woods, and are introduced to the golem just as the Bandits attack. There is no time for pleasantries."
QUEST_JOB_TheStoneMan_LIST,"Protect a new lifeform from destruction"
QUEST_JOB_TheStoneMan_NAME,"The Stone Man"
QUEST_JOB_TheVaultsOfPus_DESC,"Cultists have broken into the mausoleums of a local graveyard, and have begin to raise the dead."
QUEST_JOB_TheVaultsOfPus_INTRO,"This job is one of those that no adventurer likes, but it pays the bills. Head to a graveyard, find the crypt with the smashed front door, venture down, and kill whatever you find there."
QUEST_JOB_TheVaultsOfPus_LIST,"A local graveyard has been defiled by Cultists"
QUEST_JOB_TheVaultsOfPus_NAME,"Vaults of Pus"
QUEST_JOB_TwoTribes_DESC,"A Bandit Gang and Inox Tribe are in open warfare. You have been employed to remove both parties."
QUEST_JOB_TwoTribes_INTRO,"After meeting a local community leader, you are informed that two factions in the area have gradually been escalating a gangland feud. The Bandit gang has been looting local shrines and selling counterfeit goods, while the Inox tribe has been threatening anyone who passes through the local forest with trade. In the end, something had to give. After numerous assassination attempts and small incidents in pubs and inns, the two factions have picked a location in a forest to settle it. You are asked to crash the party and eliminate both groups, leaving no survivors. You head off to the proposed spot, and no one is keeping it secret. I mean, who would want to walk in on open warfare?"
QUEST_JOB_TwoTribes_LIST,"A local gangland feud has escalated to all-out war"
QUEST_JOB_TwoTribes_NAME,"Two Tribes"
QUEST_JOB_VERMLING_CAVE_INTRO_01,"You enter the cave. In the close environment, you can almost taste the disease."
QUEST_JOB_VERMLING_CAVE_INTRO_02,"You need to finish the mission as soon as possible. Take too long, and you yourselves will become ill."
QUEST_JOB_VERMLING_CAVE_INTRO_03,"The Vermlings are certainly ill, but beware, they are also able to transmit some of the symptoms!"
QUEST_JOB_VERMLING_CAVE_OUTRO,"I believe you have not been exposed long enough to catch the disease, but you must leave now!"
QUEST_RELIC_AncientDrill_Complete_1,"Wow, that looks like it packs a punch. I wonder if I should try and manufacture a copy of it?"
QUEST_RELIC_AncientDrill_Unlock_1,"You’ve now learned the intricacies of Shield & Pierce. Therefore, I think it’s time you seek out a powerful Relic that you’ll get great use out of with your knowledge."
QUEST_RELIC_AncientDrill_Unlock_2,"There are rumours of a great Tinkerer prospector who went missing in the hills to the east of South Shield. It was said he had carried a powerful drill that could cut through any rock."
QUEST_RELIC_AncientDrill_Unlock_3,"One of my Inox contacts in the area has a map to the last place he was seen. Perhaps you can follow signs of his route?"
QUEST_RELIC_AncientDrill_Unlock_4,"And walk straight into whatever killed him?"
QUEST_RELIC_CuriousGear_Complete_1,"I think this hasn’t ended up so bad after all. The gear in the chest should allow us to easily disarm more traps in the future."
QUEST_RELIC_CuriousGear_Unlock_1,"I’ve noticed that a vast percentage of the traps you’ve disarmed in most of these missions are primarily an Inox bear trap design, and use wood local to part of the Eastern forest."
QUEST_RELIC_CuriousGear_Unlock_2,"They are a bit of a nuisance really. Perhaps we should go and visit the tribe that makes them, and convince them to stop their manufacture."
QUEST_RELIC_CuriousGear_Unlock_3,"I think I know the tribe you mean, I have a contact there. I’ll get him to arrange a meeting."
QUEST_RELIC_DoomedCompass_Unlock_1,"I’ve been told of an abandoned Lighthouse near Sahmyrt, that whenever a ship gets near it, the helmsman steers into nearby reefs."
QUEST_RELIC_DoomedCompass_Unlock_2,"Hmm, that sounds like magic is involved. I think we should investigate."
QUEST_RELIC_DrakescaleArmor_Unlock_1,"I see you’ve been getting Poisoned and Wounded a lot but that you’ve also been keeping a handle on it."
QUEST_RELIC_DrakescaleArmor_Unlock_2,"I’ve been trying to research any relic that might help you out and I think i’ve tracked down a set of Armor that could help out."
QUEST_RELIC_DrakescaleArmor_Unlock_3,"The drawback is that it is located in a not-quite-extinct volcano."
QUEST_RELIC_DrakescaleBoots_Complete_1,"Why is it when we grab a relic, I look back on the mission we just completed and think ‘well, that would have been useful'?"
QUEST_RELIC_DrakescaleBoots_Unlock_1,"With all the Demons in the land it’s been getting a lot more difficult to get around."
QUEST_RELIC_DrakescaleBoots_Unlock_2,"I’ve heard that a group of Inox living out near Ironbell have crafted some boots which are resistant to terrain effects."
QUEST_RELIC_DrakescaleBoots_Unlock_3,"Would it be the same group of Inox that murder anyone who comes near their encampment or in fact anyone within 50 miles?"
QUEST_RELIC_DrakescaleBoots_Unlock_4,"...Maybe... I’m sure the villagers of Ironbell would be happy to see the end of them."
QUEST_RELIC_DrakescaleHelm_Complete_1,"Well, he was certainly happen to get his chest back, even if the contents were a little soggy."
QUEST_RELIC_DrakescaleHelm_Complete_2,"He was as good as his word though, this Helmet is of high quality!"
QUEST_RELIC_DrakescaleHelm_Unlock_1,"I’ve been noticing that your mercs seem to be getting Muddled a lot in combat, so I sent some feelers out to see if anyone had anything that might help."
QUEST_RELIC_DrakescaleHelm_Unlock_2,"An Inox Trader in Kailej told me he had a rare helmet in stock made out of Drakescale, but the price, well, it made my eyes water."
QUEST_RELIC_DrakescaleHelm_Unlock_3,"However, he sent me a missive today, saying his shop had been raided by Bandits who took off into the sewers."
QUEST_RELIC_DrakescaleHelm_Unlock_4,"They took a chest of his stock, which included the helmet, if you can recover it, you can keep the helm."
QUEST_RELIC_EnduranceFootwraps_Complete_1,"The Abbot was overjoyed that the Savvas had been driven from the vicinity."
QUEST_RELIC_EnduranceFootwraps_Complete_2,"He’s let us keep the footwear we found. To be honest, they look a little flimsy for mountain hiking anyway!"
QUEST_RELIC_EnduranceFootwraps_Unlock_1,"We’ve got a number of pretty spritely characters in our Guild now, perhaps we should revisit the Monks of Boneshatter Pass."
QUEST_RELIC_EnduranceFootwraps_Unlock_2,"They do have a good selection of boots, maybe we can do a quest for them?"
QUEST_RELIC_FleaBittenShawl_Complete_1,"Let me get this straight… You ventured into a sewer, fought oozes, and all you got was this lousy cape."
QUEST_RELIC_FleaBittenShawl_Complete_2,"And by lousy, I literally mean covered with lice! Why would anyone go near this thing?"
QUEST_RELIC_FleaBittenShawl_Complete_3,"I think we can use this to our advantage, this should also keep enemies away too."
QUEST_RELIC_FleaBittenShawl_Unlock_1,"I’ve noticed that a number of the Elite Vermlings you have faced sometimes have rags containing a weak magical residue."
QUEST_RELIC_FleaBittenShawl_Unlock_2,"By studying them, I’ve identified that they come primarily from a large midden to the North East of Scurvy Bay."
QUEST_RELIC_FleaBittenShawl_Unlock_3,"A midden? You mean a rubbish dump?"
QUEST_RELIC_FleaBittenShawl_Unlock_4,"Well, yes, that is another term for it. Anyway, I suggest you visit the area and see if there is anything useful to be found."
QUEST_RELIC_FleaBittenShawl_Unlock_5,"I think I’ll stay home for this one!"
QUEST_RELIC_NecklaceOfTeeth_Complete_1,"I looked through the pile of detritus in that chest, I guess you could call some of it ‘Jewelry’."
QUEST_RELIC_NecklaceOfTeeth_Complete_2,"I don’t think anyone will be wearing much of it at a ball though."
QUEST_RELIC_NecklaceOfTeeth_Complete_3,"Surprisingly, there is a necklace that seems to have magical properties, I’d wear it under your clothing so no one sees it though!"
QUEST_RELIC_NecklaceOfTeeth_Unlock_1,"We have been murdering our way across the land for quite a while now."
QUEST_RELIC_NecklaceOfTeeth_Unlock_2,"When you are paid for it, it isn’t murder, it’s a job."
QUEST_RELIC_NecklaceOfTeeth_Unlock_3,"Right, anyway, I’ve got a lead on a relic that could help us, a rumour of an evil witch in the woods who fashions her victims into jewelry."
QUEST_RELIC_NecklaceOfTeeth_Unlock_4,"Sounds wonderful."
QUEST_RELIC_OrbOfDawn_Unlock_1,"Right, we’ve killed enough of these blasted Sun Demons to get an understanding of what makes them tick."
QUEST_RELIC_OrbOfDawn_Unlock_2,"It also seems that their power is drawn from a number of ancient temples dotted around the realm."
QUEST_RELIC_OrbOfDawn_Unlock_3,"One of which has previously been unearthed near River’s Rise. We believe there is a secret room deeper in the structure where the artifact sits. You must venture into the heart of the sun to retrieve it."
QUEST_RELIC_OrbOfTwilight_Unlock_1,"Is there an infinite number of those spindly things? Surely they have to be coming from somewhere?"
QUEST_RELIC_OrbOfTwilight_Unlock_2,"Some sages from our School have identified a cursed crypt, near one of the original outbreaks, that could hold a relic which may help in our fight."
QUEST_RELIC_OrbOfTwilight_Unlock_3,"It is no surprise that the first Night Demons were seen around Drake Fire Farm, as it appears the dungeon is deep in the forest."
QUEST_RELIC_RemoteSpider_Complete_1,"That seems to be some sort of clockwork spider that poisons your enemies? Why does everything have to be so unpleasant... couldn’t they have made a cute cat or a squirrel?"
QUEST_RELIC_RemoteSpider_Unlock_1,"You've used a lot of Poison now, so I have been trying to find an item you’d get a lot of use out of with your expertise."
QUEST_RELIC_RemoteSpider_Unlock_2,"One of the Brute’s old Allies said he can help. Scabwit, tell them what you told me."
QUEST_RELIC_RemoteSpider_Unlock_3,"I know of a group of feral Vermlings who live with snakes... dirty creatures. They have been trying to take an old Tinkerer device and imbue it with snake poison."
QUEST_RELIC_RemoteSpider_Unlock_4,"Unfortunately, they have been trying it out on some of my tribe members. If you help me track them down, you can have the item."
QUEST_RELIC_RingOfSkulls_Complete_1,"This ring has powerful properties. It should help us in many battles to come."
QUEST_RELIC_RingOfSkulls_Complete_2,"Is it just me who is wondering who the poor skeleton trapped inside it used to be?"
QUEST_RELIC_RingOfSkulls_Unlock_1,"Now that you have destroyed so many summoned Living Bones, we have identified one of the ways that the Cultists are summoning them."
