Keys,"English [en-GB]"
Scenario_Campaign_035_Success_2,"A shadow is cast over his fallen body. You look to see the tall, bleeding figure of the Prime Demon standing over him. "
Scenario_Campaign_035_Success_3,"“Wealth, power, all the things you humans scrabble after every day of your miserable lives."" "
Scenario_Campaign_035_Success_4,"""These mercenaries, however, were fortunate enough to find someone who would actually give it to them instead of making empty promises."""
Scenario_Campaign_035_Success_5,"“I will stay true to my word. Only those who opposed me will die. The rest are free to continue to live and toil in this place under my rule. I will return to my realm and plan my next move.”"
Scenario_Campaign_036_Misc_1,"With a terrifying roar, the great demon commander leaps forward from the back ranks and lands the final blow against the old gate. It buckles and gives way under his force. "
Scenario_Campaign_036_Misc_2,"He seems winded, though, and is clearly very injured. If you can take him down, the whole attack force should be dispersed."
Scenario_Campaign_036_Objective_1,"Kill the Prime Demon"
Scenario_Campaign_036_Objective_2,"Protect the door for 8 rounds"
Scenario_Campaign_036_Start_1,"“That’ll teach him!” the Captain shouts at you. “Keep them at bay! I must head to the other gates and prepare for assaults there as well.” "
Scenario_Campaign_036_Start_2,"He grabs you with a firm hand. “Don’t let them through!”"
Scenario_Campaign_036_Success_1,"The demon bellows and falls, shaking the earth as it crashes down. Its clawed hand opens to reveal the artifact. "
Scenario_Campaign_036_Success_2,"“I thought it would give me enough power. I thought it could sustain me on this plane. I was foolish, and now look at me. Broken and destroyed at the feet of mortals. Humiliating.” The demon gurgles and goes still."
Scenario_Campaign_036_Success_3,"The Captain steps up beside you. “The rest of the force is dispersing,” he says. “It was unpleasant, but we prevailed, thanks to you.”"
Scenario_Campaign_037_Objective_1,"All mercenaries must escape through the exit"
Scenario_Campaign_037_Success_1,"You press ever forward, leaving the wretched trench. Looking behind you, you see the figures of more Lurkers waiting in the shadows, but they do not pursue. Perhaps they are afraid of whatever lies ahead. "
Scenario_Campaign_037_Success_2,"You go deeper through a crack in the earth until your path shifts suddenly upwards. You emerge from the cold, unforgiving water into an air pocket deep beneath the waves. "
Scenario_Campaign_037_Success_3,"You spit out your water-breathing orb, grateful to finally breathe normally and take a short rest. Through the darkness ahead of you, you see an expansive cavern, which houses a massive stone structure. "
Scenario_Campaign_037_Success_4,"This unnatural sight, so far removed from anything you are familiar with, fills you with irrational, foreboding dread. "
Scenario_Campaign_038_Objective_1,"Kill all enemies"
Scenario_Campaign_038_Objective_2,"Protect the Orchid "
Scenario_Campaign_038_Start_1,"“Yes, I can guide you through the deeper forest,” the Orchid says. “But I cannot abandon my brethren or let what these Inox are doing go unanswered.” He moves over to a guard’s corpse and picks up a blade."
Scenario_Campaign_038_Start_2,"""You can help me if you want, but either way, blood must be spilled in this place."" The Orchid rushes forward at a group of Inox, yelling wildly. "
Scenario_Campaign_038_Start_3,"Soon the whole camp is bustling with hostile activity. 

If you want a guide, it looks as though you'll need to keep him alive. "
Scenario_Campaign_038_Success_1,"With the last of the Inox and their golems dead, the Orchid drops his sword and falls to his knees."
Scenario_Campaign_038_Success_2,"“Thank you,” he says. “They killed my family when they came. They said my children were not strong enough workers.”
"
Scenario_Campaign_038_Success_3,"The Orchid dips his fingers in a pool of blood and begins to paint his face with it. “I thought killing them all would help, but I still feel hollow."""
Scenario_Campaign_038_Success_4,"“I owe you a debt for what you have done. I will gladly lead you into the western forest. On the way, however, I would like to check on a neighboring Orchid village. I fear that this may not be the last of the slaving Inox tribe.”"
Scenario_Campaign_038_Success_5,"The Orchid stands and turns to you, his face now a red mask of ferocity and hatred. “I am called Redthorn. Follow me.”"
Scenario_Campaign_039_Altar,"Orb Altar"
Scenario_Campaign_039_Objective_1,"Destroy the altar"
Scenario_Campaign_039_Room_2_1,"Hoping to get the drop on anything else that may be waiting in the cave’s next chamber to attack you, you bust down the door and storm in."
Scenario_Campaign_039_Room_2_2,"There are more enemies in this cave, of course, but you are more concerned about the glowing white orb behind the crystalline demons. "
Scenario_Campaign_039_Room_2_3,"The pieces all start to fall into place. They are controlling the weather here, blocking your passage to the peak. If you can destroy the orb, you hope the punishing weather will subside."
Scenario_Campaign_039_Success_1,"Pieces of the shattered orb fall to the snowy floor along with the corpses of the enemies who stood in your way. "
Scenario_Campaign_039_Success_2,"The screeching of the wind outside the cave lessens to a faint murmur. You exit to see clear skies above you and a path to the peak."
Scenario_Campaign_039_Success_3,"At this altitude, without a cloud in sight, you find yourself looking out over the horizon, marveling at the wondrous expanse of mountains and the forests and plains beyond them. "
Scenario_Campaign_039_Success_4,"You can even see the faint outline of Gloomhaven in the distance."
Scenario_Campaign_039_Success_5,"Looking to the west, your curiosity is piqued by a lake high in the mountains and a small stone structure resting at its edge. "
Scenario_Campaign_039_Success_6,"You make a note of the building—it might be worth investigating in the future."
Scenario_Campaign_040_Objective_1,"Occupy both pressure plates simultaneously"
Scenario_Campaign_040_Success_1,"From opposite ends of the network, you activate the switches in the order shown to you by the Voice. As quickly as it came, the alarm subsides and the walls of the rooms open, leading you back to the entrance. "
Scenario_Campaign_040_Success_2,"There, the center of the floor slides away, revealing a narrow ladder descending down into the dark."
Scenario_Campaign_040_Success_3,"“The way to the tomb is clear,” the Voice says. “Go now, and retrieve what is mine.”"
Scenario_Campaign_041_Objective_1,"All mercenaries must escape through the exit"
Scenario_Campaign_041_Room_2_1,"You break out of the main room into an antechamber. What was once dormant is now teeming with the living corpses of those long ago entombed here. "
Scenario_Campaign_041_Room_2_2,"And more than that, the way back to the surface is now closed off. You look around, desperate for some way to stop this situation from going from bad to worse."
Scenario_Campaign_041_Room_3_1,"You push through the unlocked door, arriving back at the tomb entrance, and your heart sinks at the sight of the narrow ladder leading up to freedom. "
Scenario_Campaign_041_Room_3_2,"You will have to escape this deathtrap one at a time."
Scenario_Campaign_041_Start_1,"You grow furious at the Voice for not warning you about this extra security, and then channel that fury into doing whatever it takes to emerge from this tomb alive."
Scenario_Campaign_041_Success_1,"With the grinding sound of the golems echoing from below, you quickly climb out of the ruin. Only then does the Voice return to you."
Scenario_Campaign_041_Success_2,"“My captors were more clever than I anticipated, I’m afraid. Something blocked my influence from reaching inside the tomb."" "
Scenario_Campaign_041_Success_3,"""Luckily, you were able to navigate the dangers without my assistance. I am happy you found my prison and that you decided to be the avatars of my release. After all this time, I will finally be free."""
Scenario_Campaign_041_Success_4,"With all three vessels in hand, you make your way back to the mountain cave and into the Echo Chamber. "
Scenario_Campaign_042_Objective_1,"Destroy all Vocal Chords "
Scenario_Campaign_042_SCENARIO_MODIFIER_1,"Each Vocal Chord creates a unique detriment to the players until it is destroyed:"
Scenario_Campaign_042_SCENARIO_MODIFIER_2,"6 - All monsters add <nobr>+1 Attack <sprite name=Attack></nobr> to all their attacks."
Scenario_Campaign_042_SCENARIO_MODIFIER_3,"5 - All monsters gain Advantage to all their attacks."
Scenario_Campaign_042_SCENARIO_MODIFIER_4,"4 - All monsters heal 1 hit point at the start of each of their turns."
Scenario_Campaign_042_SCENARIO_MODIFIER_5,"3 - All mercenaries and their summons suffer 1 damage at the start of each of their turns."
Scenario_Campaign_042_SCENARIO_MODIFIER_6,"2 - All mercenaries and their summons gain Disadvantage on all their attacks."
Scenario_Campaign_042_SCENARIO_MODIFIER_7,"1 - All mercenaries and their summons deduct <nobr>-1 Attack <sprite name=Attack></nobr> from all their attacks."
Scenario_Campaign_042_Start_1,"The Voice rings out again, but somehow it is different."
Scenario_Campaign_042_Start_2,"“The power of the Voice is mine! You will be the first I destroy with it!”"
Scenario_Campaign_042_Success_1,"A strong note of dissonance rings out as you snap the last chord, and then there is silence. "
Scenario_Campaign_042_Success_2,"Your vision fades, and you return to the Echo Chamber, now empty and still. "
Scenario_Campaign_042_Success_3,"You search the cavern for signs of the Voice, but all you find is a stone tablet covered in indecipherable foreign glyphs."
Scenario_Campaign_042_VocalChord,"Vocal Chord"
Scenario_Campaign_043_Objective_1,"Kill a number of drakes equal to four times the number of mercenaries "
Scenario_Campaign_043_Success_1,"The waves of red-scaled lizards seem unending, but you have harvested a significant number of corpses and make a calculated retreat. "
Scenario_Campaign_043_Success_2,"At the mouth of the cave, you break into a full sprint and the drakes don't seem too interested in pursuing you. You begin the strenuous task of lugging the hides back to the Crooked Bone. "
Scenario_Campaign_044_Objective_1,"Kill all enemies "
Scenario_Campaign_044_Objective_2,"You lose if any Captive Orchids die"
Scenario_Campaign_044_Start_1,"Redthorn notches an arrow into his bow. “No Orchids will die this day!”"
Scenario_Campaign_044_Success_1,"With the Inox dead, you move around the camp, untying the captive Orchids and helping them to their feet. They offer you their subdued thanks with nods of their heads."
Scenario_Campaign_044_Success_2,"“We are a reserved people,” Redthorn says as he approaches. “Don’t expect them to throw you a party, but know that you have done a monumental good here today."" "
Scenario_Campaign_044_Success_3,"""Most of these residents would have been slaughtered had we not arrived when we did.”"
Scenario_Campaign_044_Success_4,"He falls into silence with a downcast stare. “I still feel it in the pit of my stomach. I thought slaying my captors would make it go away."" "
Scenario_Campaign_044_Success_5,"""I thought saving another village would compensate for failing my own. But it doesn’t. The guilt is still there, and I have been changed by it."""
Scenario_Campaign_044_Success_6,"“This village is not my village, but even if it were, I could not stay. I no longer belong. If you need my help in the future, you can find me among the trees.”"
Scenario_Campaign_045_Objective_1,"Destroy all totems "
Scenario_Campaign_045_Success_1,"You crush the last of the totems and your boots sink back into the muck. You walk over to a severely injured guard, his blood mixing with the sludge around him. "
Scenario_Campaign_045_Success_2,"You grab his collar and pull his face close to your own, interrogating him on the location of the remaining rebels."
Scenario_Campaign_045_Success_3,"“I’ll tell you,” he gasps. “But only because I know that you are not truly evil. Instead of hunting us down, fight with us. Help us take back the city from those demons."" "
Scenario_Campaign_045_Success_4,"""Head east, to the border of the Watcher Mountains. Look to the north of the ash tree grove. Talk with the commander. Help free the city...”"
Scenario_Campaign_045_Success_5,"The light fades from his eyes and you drop him back down into the mud. That was easy enough."
Scenario_Campaign_045_Totem,"Cleansing Totem"
Scenario_Campaign_046_Objective_1,"Kill the Winged Horror "
Scenario_Campaign_046_Room_3_1,"You make your way through the dark fog and find a small clearing at the summit. The screech once again pierces your ears, and a massive demon with a multitude of sharp claws and leathery wings lands before you."
Scenario_Campaign_046_Room_3_2,"""You dare approach my nest?"" You can barely make out the words from its high-pitched wailing. ""I will harvest your corpses and feed them to my children!"""
Scenario_Campaign_046_Success_1,"The giant demon screeches one last time, its timbre and intensity modulating wildly as it spasms in its death throes. Not wanting to get close to its flailing claws, you wait for the creature to expire. "
Scenario_Campaign_046_Success_2,"When it finally does, a stillness washes over the area and day once again breaks in the sky above. "
Scenario_Campaign_046_Success_3,"The view is grand, apart from the blood and carnage that litters the peak. You take it all in and then slowly begin to make your way back down the mountain, satisfied that whatever evil was lurking here will no longer trouble Gloomhaven."
Scenario_Campaign_047_Objective_1,"Kill the Sightless Eye"
Scenario_Campaign_047_Room_2_1,"You reach the final chamber and find the horrible creature—a giant eyestalk with a gaping maw full of teeth instead of an iris."
Scenario_Campaign_047_Room_2_2,"Once again you feel its influence. You begin to see the pointlessness of your actions. You understand that giving into its warm embrace is the only true course of action."
Scenario_Campaign_047_Room_2_3,"But once again you refuse. It grows angry at this, undulating its many tentacles in hostility. The room shakes violently and the corridor from which you entered begins to collapse. "
Scenario_Campaign_047_Room_2_4,"You may have resisted its maddening call, but the fight is far from over."
Scenario_Campaign_047_Success_1,"With the giant eye dead, all of its minions wither and die with it. Thankfully, the room stops shaking as well. "
Scenario_Campaign_047_Success_2,"You can’t get out the way you came in, but you are able to explore the structure further, free of the crushing dread that permeated the air previously."
Scenario_Campaign_047_Success_3,"It is a long journey, but you find your way out of the trench, return to the boat, and head back to Gloomhaven, resolving to never do something like that again."
Scenario_Campaign_048_Objective_1,"Kill the Dark Rider"
Scenario_Campaign_048_Success_1,"The headless spectre screams as you land one final strike against it, and its form begins to dissipate, black wisps of smoke escaping from the cracks in its armour. "
Scenario_Campaign_048_Success_2,"The giant warhose continues to stomp forward through the clearing, but it ages rapidly before your eyes. Grey hairs sprout feverishly out of its mane, and the horse shrinks as its muscles wane. "
Scenario_Campaign_048_Success_3,"Before it even reaches the edge of the clearing, the horse falls over as its brittle bones give way, and with it, an empty set of rusted armour. Within seconds, the horse and its rider are reduced to dust. "
Scenario_Campaign_049_Objective_1,"Kill the Siege Cannon"
Scenario_Campaign_049_Room_2_1,"Fighting through the first wave of soldiers, you arrive at a clearing. The rest of the guards are standing around a very large mechanical cannon.
"
Scenario_Campaign_049_Room_2_2,"“We will use this machine to destroy the walls of Gloomhaven and take back our city,” one of the guards says to you with a hard stare. “It should be able to make short work of you scum as well.”"
Scenario_Campaign_049_Room_2_3,"The cannon whirs and vibrates, glowing red hot at the end of its barrel. “It’s ready! One of the operators yells. “Get out of the way!”"
Scenario_Campaign_049_Success_1,"The cannon lies ruined and broken at your feet, and with it, any hope the rebels had of assaulting Gloomhaven. "
Scenario_Campaign_049_Success_2,"The guards who are still alive scatter, and you return to the demon-ruled Gloomhaven victorious."
Scenario_Campaign_050_Objective_1,"Loot all Ornate Chests with Loot actions (not end-of-turn looting)"
Scenario_Campaign_050_Success_1,"You secure the last of the armory stock just as the rebel fighters break through into the fortress. Cleaning out the demons from the rest of the building becomes short work after that."
Scenario_Campaign_051_Objective_1,"Kill the Gloom"
Scenario_Campaign_051_Start_1,"The Aesther flashes its blades in a mesmerizing dance."
Scenario_Campaign_051_Start_2,"“Come then, brave lambs. Who will be the first to embrace the Gloom?”"
Scenario_Campaign_051_Success_1,"Two swords fall to the stone floor with a sharp ring. The Aesther stands limp, a look of shock on his wounded face.
"
Scenario_Campaign_051_Success_2,"“How dare you,” he mutters. The voice that was once smooth and hypnotic is now gravely and dark. “I have waited thousands of years, and you presume to rob me of the fruits of my labors?”"
Scenario_Campaign_051_Success_3,"The Aesther’s mouth drops slack in death, but still the figure stands, as if held up by invisible strings."
Scenario_Campaign_051_Success_4,"“You can destroy my vessel and banish me from this plane, but it will never be enough. I am eternal. I will return. I will feast on this world once again!”"
Scenario_Campaign_051_Success_5,"At this, the body of the Aesther crumples to the ground and fades out of existence."
Scenario_Campaign_052_Objective_1,"All mercenaries must loot one Ornate Chest before exhausting"
Scenario_Campaign_052_Objective_2,"No mercenary can exhaust before looting an Ornate Chest"
Scenario_Campaign_052_Success_1,"Inside the chests, you find the pieces to a gruesome staff, adorned in maggots, with a decayed skull at its head. "
Scenario_Campaign_052_Success_2,"When you grab the last piece, another set of hidden doors slides open behind the chests. Judging that you have no choice but to take this new route, you enter."
Scenario_Campaign_052_Success_3,"After a while you come upon an intersection of four paths where you rejoin your party and follow the final path back up to the surface."
Scenario_Campaign_053_Objective_1,"Survive for ten rounds "
Scenario_Campaign_053_Objective_2,"Prepare for a door to open"
Scenario_Campaign_053_Success_1,"Finally the ethereal warden finishes his work and lifts the Staff of Xorn high over his head. "
Scenario_Campaign_053_Success_2,"A powerful pulse of green light emanates through the room, reducing all remaining enemies to dust."
Scenario_Campaign_053_Success_3,"The specter moves toward you and offers the staff. “Take it. Bring it to the Palace of Ice in the northern mountains and unseal the tomb of Xorn. You have done well so far. Your journey is almost over.”"
Scenario_Campaign_053_Success_4,"As you grab the staff, the ghost begins to fade from view. “Thank you for allowing me to fulfill my duty, releasing me from my bonds to this realm. Now I can finally rest.”"
Scenario_Campaign_053_Success_5,"With the job complete, you quickly leave the crypt. At least the next location should be a change of scenery after all this rotten flesh and these poison-filled beasts."
Scenario_Campaign_054_Objective_1,"Kill all Harrower Infesters"
Scenario_Campaign_054_Objective_2,"After killing the Harrowers, end the Seeker of Xorn's turn adjacent to the altar"
Scenario_Campaign_054_Room_2_1,"In the main room, a large altar sits near the far wall. Many creatures have gathered here to protect it, however. "
Scenario_Campaign_054_Room_2_2,"Foremost among them is a group of Harrower warriors. The staff pulses even stronger the closer you get to them. "
Scenario_Campaign_054_Room_2_3,"It seems to hunger for their energy—to consume them and take their power for itself."
Scenario_Campaign_054_Success_1,"You place the Staff of Xorn onto the altar, and its power is sucked into the stone in a vortex of green light. The vortex grows, swallowing all of your remaining adversaries."
Scenario_Campaign_054_Success_2,"Suddenly a voice echoes through the palace: “You have returned my power, but that is not enough. I will take this body as my vessel!” "
Scenario_Campaign_054_Success_3,"The vortex condenses into a sphere that hits the Seeker in the chest faster than you can react. The Seeker falls to the ground dead."
Scenario_Campaign_054_Success_4,"You rush to the corpse, only to find horrendous insects bursting out of its skin. You step back in horror as the grotesque insect horde arises and speaks. "
Scenario_Campaign_054_Success_5,"“I am reborn! The plague walks the earth once more!”"
Scenario_Campaign_055_Objective_1,"Loot the treasure chest in the third room "
Scenario_Campaign_055_Start_1,"You collect yourself and step into the unknown."
Scenario_Campaign_055_Success_1,"The fog seems to be sapping your strength as you stumble through it, one painful step at a time. "
Scenario_Campaign_055_Success_2,"Just when you think you can’t make it any farther, however, you find a hidden cache of supplies marked with the purple emblem of your quarry."
Scenario_Campaign_055_Success_3,"You quickly open the cache and find a detailed map of the area with precise instructions on navigating your way to the camp. You snatch it up and flee off into the trees, away from the fog."
Scenario_Campaign_055_Success_4,"With this map, you feel your quest is finally nearing its end."
Scenario_Campaign_056_Objective_1,"Kill all enemies "
Scenario_Campaign_056_Objective_2,"Protect at least one captive Orchid"
Scenario_Campaign_056_Room_4_1,"You reach the main bandit encampment in a large, open clearing. Looking beyond the formidable force of enemies before you, you see a group of ragged Orchids off to one side—more victims of these monsters.
"
Scenario_Campaign_056_Room_4_2,"The captive Orchids notice your arrival and use the opportunity to slip out of their bonds and overwhelm one of their distracted captors. You smile, knowing your family will be avenged this day."
Scenario_Campaign_056_Room_4_3,"The bandits look back and forth between you and the escaping captives in a panic. One of the guards hefts his sword and charges. “Kill them all! No one shall escape!”"
Scenario_Campaign_056_Success_1,"With the last of the bandits dead, one of the surviving captives approaches your group and falls to his knees."
Scenario_Campaign_056_Success_2,"“I thank you for rescuing us,” he says quietly. “Know that my tribe will forever be your ally.”"
Scenario_Campaign_056_Success_3,"As he gathers his companions and heads off into the forest back home, you survey the carnage around you. "
Scenario_Campaign_056_Success_4,"The group of bandits has indeed been eradicated and you feel relief finally knowing revenge was delivered for your village. "
Scenario_Campaign_056_Success_5,"There are plenty of spoils here to help you start a new life as well—a first step towards a more secure future."
Scenario_Campaign_057_Objective_1,"Kill the Infiltrator "
Scenario_Campaign_057_Room_2_1,"It seems you’ve interrupted the houndmaster feeding his dogs. He doesn’t look very pleased by your intrusion."
Scenario_Campaign_057_Room_2_2,"“I guess my pets could use some fresh meat,” he grumbles, letting loose the chains."
Scenario_Campaign_057_Room_3_1,"You have found the main barracks, and as the door opens, a foreboding feeling comes over you. You recognize the lieutenant in the corner bellowing out orders. "
Scenario_Campaign_057_Room_3_2,"“Alarm! Intruders! Don’t let them get away! Slay them!” You are on the right track. Bring him to justice, then search his remains for clues."
Scenario_Campaign_057_Room_4_1,"“Halt! Trespassers! What are you doing in the provision storage of the city watch?” You turn to see two guards emerge from a door behind you. "
Scenario_Campaign_057_Room_4_2,"This wasn’t what you were after, but you don’t have any time to explain. Hopefully you can dispatch the guards quickly."
Scenario_Campaign_057_Room_5_1,"You interrupt a training exercise for several new recruits. The master isn’t pleased with the disruption and calls upon his trainees to practice their skills on his unwelcome guests."
Scenario_Campaign_057_Success_1,"Combing through the remains of the Infiltrator, you find a schedule to a meeting outside the city in a remote shack. There are notes about harvesting corpses. "
Scenario_Campaign_057_Success_2,"You look forward to crashing this meeting and exacting your revenge. With the spy revealed, the remaining city watch thanks you for exposing him."
Scenario_Campaign_058_BonePile,"Bone Pile"
Scenario_Campaign_058_Objective_1,"Kill the Harvester "
Scenario_Campaign_058_Room_3_1,"As you burst through the door, you notice a strange-looking box spattered with blood. You see it holds a curved, serrated dagger that glows red."
Scenario_Campaign_058_Room_3_2,"Recalling your dead friend’s wounds, you have a strong suspicion this was the weapon that murdered him. It’s time to return the favor to its owner."
Scenario_Campaign_058_Room_4_1,"Piles of rotting bones adorned with occult glyphs greet you as you enter the back room. At the center, a malicious human figure sits on a throne of skulls. "
Scenario_Campaign_058_Room_4_2,"He stands, gathering necromantic energies from the surrounding bone piles. “I feel the desire for vengeance burning bright within your heart. I will feast well upon it!”"
Scenario_Campaign_058_Success_1,"Bloodlust is a strange thing. Once it is sated, it leaves a hollow shell of a person behind. The dagger clatters to the floor as a cold, numb feeling spreads through you. "
Scenario_Campaign_058_Success_2,"The job is done, and it is time to move on, however hard that may be."
Scenario_Campaign_059_Objective_1,"Kill all enemies "
Scenario_Campaign_059_Objective_2,"Loot the Ornate Chest with a Loot action (not end-of-turn looting)"
Scenario_Campaign_059_Success_1,"With steely determination, you fight your way through the wild animals and reach the plant you seek at the back of the grove. "
Scenario_Campaign_059_Success_2,"When you lean down to inspect it, however, you see that the plant bears no fruit. It has been harvested very recently."
Scenario_Campaign_059_Success_3,"With confusion you glance around the grove, looking for clues to where the fruit could have gone. "
Scenario_Campaign_059_Success_4,"That’s when you see the deep axe marks in all of the trees around you. Someone chopped at the bark, not intending to cut the trees down, but only to wound them."
Scenario_Campaign_059_Success_5,"Whoever it was wanted to anger the wildlife and have them viciously attack whomever came to this grove. And then you notice the faint tracks of a Quatryl in the dirt. "
Scenario_Campaign_059_Success_6,"That conniving little... "
Scenario_Campaign_060_Objective_1,"Loot all Ornate Chests and then all mercenaries must escape through the entrance "
Scenario_Campaign_060_Objective_2,"All mercenaries must escape through the entrance "
Scenario_Campaign_060_Success_1,"You race out of the building, dodging a rain of burning debris. You barely make it through the door and clear of the structure before the whole thing collapses into a flaming mountain of rubble."
Scenario_Campaign_060_Success_2,"You cough violently, and scan the crowd once more. The Quatryl is nowhere to be found. You had no time to restrain her and now she is no doubt long gone, most likely fleeing the city."
Scenario_Campaign_060_Success_3,"It matters not. However arduous and harried the journey was, the end result is that you now have the cure necessary to save your village. It is time to leave Gloomhaven and return home."
Scenario_Campaign_060_Success_4,"Before leaving, though, you give some of the cure to the alchemists of the University. You hope that it can do some good in Gloomhaven as well."
Scenario_Campaign_061_Objective_1,"Loot all Ornate Chests with a Loot action (not end-of-turn looting)"
Scenario_Campaign_061_Room_5_1,"You reach the fort’s center with a stack of old journals under your arm. "
Scenario_Campaign_061_Room_5_2,"Scanning the floor, you see one more book lying precariously close to a Flame Demon. You also notice, however, an altar in the middle of the room, slowly pulsing with an odd energy."
Scenario_Campaign_061_Room_5_3,"You study it for a second, realizing that it seems to be pulsing at the same frequency that the building is oscillating between planes."
Scenario_Campaign_061_Room_5_4,"Perhaps if you could destroy it, you could ground the fort in your own plane."
Scenario_Campaign_061_Success_1,"You grab the last book and then smash the altar. In a bright flash, all the monsters are sucked into another plane and the fort falls silent, no longer fading in and out."
Scenario_Campaign_061_Success_2,"You gather all the books and head back down to the ground floor to study them."
Scenario_Campaign_061_Success_3,"They are mostly useless, but one of the books is exactly what you are looking for: a journal of a young girl who was in the fort when it was changed."
Scenario_Campaign_061_Success_4,"The text is old and the pages crumble, but you are able to make out some of the details. The girl, Eva, and many others fled from their city of Eastport when a horde of demons invaded."
Scenario_Campaign_061_Success_5,"She expresses some confusion over exactly where the demons came from, but the details of the many horrors she witnessed are very clear. Many of her friends were torn apart or eaten alive."
Scenario_Campaign_061_Success_6,"One of the head researchers of Eastport’s academy gathered all the survivors he could find and fled the city, hoping to hide out in this fort."
Scenario_Campaign_061_Success_7,"When it was clear that the demons had followed them and they had nowhere else to run, the researcher sent them all down to the hidden basement and attempted to perform an inter-planar ritual to save them."
Scenario_Campaign_061_Success_8,"You close the journal. He wanted to escape the demons by transporting the entire fort to another plane, but it is evident that, one way or another, the ritual went horribly wrong."
Scenario_Campaign_061_Success_9,"The only thing left to do is investigate this hidden basement."
Scenario_Campaign_062_Misc_1,"As you destroy more and more of the shambling skeletons, you begin to see the faint shimmer of their souls drift toward the back of the room, where they coalesce and infuse a large pile of bones. "
